alias_address,alias_city,data_prelievo,geocode,geometry,georeferencingString,type
Ufficio Cantina Tiefenbrunner / Büro Kellerei Tiefenbrunner,CORTACCIA SULLA STRADA DEL VINO/KURTATSCH AN DER WEINSTRASSE,04/11/2018,"Tiefenbrunner, 4, Schloßweg - Via Castello, Turmhof, Entiklar - Niclara, Kurtatsch an der Weinstraße - Cortaccia sulla Strada del Vino, Überetsch-Unterland - Oltradige-Bassa Atesina, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39040, Italia",,CORTACCIA SULLA STRADA DEL VINO Tiefenbrunner,POINT
Fontana pubblica vicino Despar / Öffentlicher Brunnen neben Despar,APPIANO SULLA STRADA DEL VINO/EPPAN AN DER WEINSTRASSE,13/11/2018,"Despar, 19b, St.-Martin-Straße - Via San Martino, Girlan - Cornaiano, Eppan an der Weinstraße - Appiano sulla Strada del Vino, Überetsch-Unterland - Oltradige-Bassa Atesina, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39057, Italia",,APPIANO SULLA STRADA DEL VINO   Despar,POINT
Outlet Center Brennero / Outlet Center Brenner,BRENNERO/BRENNER,13/11/2018,"Outlet Center Brenner, 9A, Valentinstraße - Via San Valentino, Brennerbad - Terme di Brennero, Brenner - Brennero, Wipptal - Alta Vall'Isarco, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39041, Italia",,BRENNERO Outlet Center Brennero,POINT
Ehrenburgerhof Lido / Ehrenburgerhof Lido,CHIENES/KIENS,14/03/2018,"Falkensteiner Family Hotel Lido Ehrenburgerhof, 7, Via Stazione - Bahnhofstraße, Untergols, Ehrenburg, Kiens - Chienes, Pustertal - Val Pusteria, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39030, Italia",,CHIENES Ehrenburgerhof Lido,POINT
Centro visite / Naturparkhaus,MAREBBE/ENNEBERG,09/11/2018,"Naturparkhaus, 96, Strada Catarina Lanz, Runcac, Marèo - Enneberg - Marebbe, Pustertal - Val Pusteria, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39030, Italia",,MAREBBE Centro visite,POINT
Fontana / Brunnen,SAN CANDIDO/INNICHEN,05/08/2018,"Fontana Salsa, SP590, Garoppi, Mombello Monferrato, Alessandria, Piemonte, 15020, Italia",,SAN CANDIDO Fontana,POINT
f.p. centro / Öffentlicher Brunnen Zentrum,ULTIMO/ULTEN,02/07/2018,"El Último, 32, Calle del Marqués de Santa Ana, Universidad, Centro, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28004, España",,ULTIMO f.p. centro,POINT
Hotel Markus  /  Hotel Markus,VALLE AURINA/AHRNTAL,04/09/2018,"Hotel Markus, 10, Sankt Jakob - San Giacomo, Ahrntal - Valle Aurina, Pustertal - Val Pusteria, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39030, Italia",,VALLE AURINA Hotel Markus,POINT
Bar Graf / Bar Graf,VALLE DI CASIES/GSIES,22/11/2018,"Ristirante Bar Graf, 1/A, Via Casies - Gsieser Straße, Innerpichl, Gsies - Valle di Casies, Pustertal - Val Pusteria, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39030, Italia",,VALLE DI CASIES Bar Graf,POINT
Albergo Brugger / Gasthof Brugger; WH WC,VANDOIES/VINTL,10/09/2018,"Gasthof Brugger - Albergo Brugger, 12, Lärchstraße, Scheiper, Pfunders, Vintl - Vandoies, Pustertal - Val Pusteria, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39030, Italia",,VANDOIES Albergo Brugger,POINT
f.p. caserma dei VVFF / öffentl. Brunnen bei der Feuerwehrhalle,CAINES/KUENS,10/10/2018,"Kuens - Caines, Burggrafenamt - Burgraviato, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, Italia","{'type': 'Point', 'coordinates': [11.1694866, 46.6994802]}",CAINES,POINT
Ditta Finstral zona industriale / Fa. Finstral Industriezone,CORTACCIA SULLA STRADA DEL VINO/KURTATSCH AN DER WEINSTRASSE,16/05/2018,"Industriezone Kurtatsch Etschweg - Zona Industriale Cortaccia, Breitbach - Rio Largo, Kurtatsch an der Weinstraße - Cortaccia sulla Strada del Vino, Überetsch-Unterland - Oltradige-Bassa Atesina, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39040, Italia","{'type': 'Point', 'coordinates': [11.238673053145405, 46.293547700000005]}",CORTACCIA SULLA STRADA DEL VINO zona industriale,POINT
F. p. Weg K. von Fenner / Öff. Brunnen Weg K. von Fenner,CORTACCIA SULLA STRADA DEL VINO/KURTATSCH AN DER WEINSTRASSE,04/05/2018,"Franz von Fenner Weg - Via Franz von Fenner, Entiklar - Niclara, Kurtatsch an der Weinstraße - Cortaccia sulla Strada del Vino, Überetsch-Unterland - Oltradige-Bassa Atesina, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39040, Italia","{'type': 'Point', 'coordinates': [11.2111763, 46.3033049]}",CORTACCIA SULLA STRADA DEL VINO von Fenner,POINT
Fontana pubblica Platzl / Öffentlicher Brunnen Platzl,CORTACCIA SULLA STRADA DEL VINO/KURTATSCH AN DER WEINSTRASSE,09/03/2018,"Kurtatsch an der Weinstraße - Cortaccia sulla Strada del Vino, Überetsch-Unterland - Oltradige-Bassa Atesina, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, Italia","{'type': 'Point', 'coordinates': [11.2235011, 46.3134726]}",CORTACCIA SULLA STRADA DEL VINO,POINT
