alias_city,alias_address,type,georeferencingString
Annone Veneto ,Annone Veneto - Viale Venezia,POINT,Annone Veneto  Viale Venezia
Azzano Decimo ,Azzano Decimo - Via Pradat,POINT,Azzano Decimo  Via Pradat
Brugnera ,Brugnera - Via Talmasson,POINT,Brugnera  Via Talmasson
Caorle ,Caorle - loc. Castello di Brussa Via Strada Brussa,POINT,Caorle   Castello di Brussa Via Strada Brussa
Casarsa della Delizia ,Casarsa della Delizia - Via Vittorio Veneto,POINT,Casarsa della Delizia  Via Vittorio Veneto
Cavasso Nuovo ,Cavasso Nuovo - Via Rinascita,POINT,Cavasso Nuovo  Via Rinascita
Chions ,Chions - Via Saragat,POINT,Chions  Via Saragat
Cinto Caomaggiore ,Cinto Caomaggiore - Via Udine,POINT,Cinto Caomaggiore  Via Udine
Cordovado ,Cordovado - Via Rivis,POINT,Cordovado  Via Rivis
Concordia Sagittaria ,Concordia Sagittaria - Via Giovane Italia,POINT,Concordia Sagittaria  Via Giovane Italia
Cordenons ,Cordenons - Via del Tramit,POINT,Cordenons  Via del Tramit
Cordenons ,Cordenons - serbatoio S. Giovanni,POINT,Cordenons  serbatoio S. Giovanni
Fanna ,Fanna - Fontana Pian delle Merie,POINT,Fanna  Fontana Pian delle Merie
Fontanafredda ,Fontanafredda - Via Casut,POINT,Fontanafredda  Via Casut
Fossalta di Portogruaro ,Fossalta di Portogruaro - Piazza Bornancin,POINT,Fossalta di Portogruaro  Piazza Bornancin
Frisanco ,Frisanco - Fontana Piazza XX settembre Pofabbro,POINT,Frisanco  Fontana Piazza XX settembre Pofabbro
Gruaro ,Gruaro - Via M. Serao,POINT,Gruaro  Via M. Serao
Maniago ,Maniago - Via Polcenigo,POINT,Maniago  Via Polcenigo
Meduna di Livenza ,Meduna di Livenza - Via G. Verdi,POINT,Meduna di Livenza  Via G. Verdi
Meduno ,Meduno - Via Andreuzzi - Navarons,POINT,Meduno  Via Andreuzzi  Navarons
Pasiano di Pordenone ,Pasiano di Pordenone - Via dei Grilli,POINT,Pasiano di Pordenone  Via dei Grilli
Portogruaro ,Portogruaro - Via Canaletto / Viale Trieste,POINT,Portogruaro  Via Canaletto / Viale Trieste
Portogruaro ,Portogruaro - loc. Summaga Via Masata,POINT,Portogruaro   Summaga Via Masata
Portogruaro ,Portogruaro - Viale Venezia,POINT,Portogruaro  Viale Venezia
Porcia ,Porcia - Via Papa Giovanni XXIII,POINT,Porcia  Via Papa Giovanni XXIII
Pramaggiore ,Pramaggiore - Via Callalta,POINT,Pramaggiore  Via Callalta
Prata di Pordenone ,Prata di Pordenone - Casali Villanova,POINT,Prata di Pordenone  Casali Villanova
Pravisdomini ,Pravisdomini - Via Barco,POINT,Pravisdomini  Via Barco
Sacile ,Sacile - Via Campo Marzio,POINT,Sacile  Via Campo Marzio
San Giorgio della Richinvelda ,San Giorgio della Richinvelda - loc. Provesano Via Boschetto,POINT,San Giorgio della Richinvelda   Provesano Via Boschetto
San Giorgio della Richinvelda ,San Giorgio della Richinvelda - loc. Rauscedo Via Poligono,POINT,San Giorgio della Richinvelda   Rauscedo Via Poligono
San Martino al Tagliamento ,San Martino al Tagliamento - Centrale principale,POINT,San Martino al Tagliamento  Centrale principale
San Michele al Tagliamento ,San Michele al Tagliamento - Corso del Popolo,POINT,San Michele al Tagliamento  Corso del Popolo
San Michele al Tagliamento loc. Bibione ,San Michele al Tagliamento loc. Bibione - Via Nettuno,POINT,San Michele al Tagliamento  Bibione  Via Nettuno
San Quirino ,San Quirino - Via San Rocco,POINT,San Quirino  Via San Rocco
San Stino di Livenza ,San Stino di Livenza - Via Riviera Corbolone,POINT,San Stino di Livenza  Via Riviera Corbolone
San Vito al Tagliamento ,San Vito al Tagliamento - Via Ciliti,POINT,San Vito al Tagliamento  Via Ciliti
Sesto al Reghena ,Sesto al Reghena - Via Verdi,POINT,Sesto al Reghena  Via Verdi
Teglio Veneto ,Teglio Veneto - Via Parz,POINT,Teglio Veneto  Via Parz
Tramonti di Sopra ,Tramonti di Sopra - fontana Redona,POINT,Tramonti di Sopra  fontana Redona
Tramonti di Sotto ,Tramonti di Sotto - Fontana Piazza Cantù,POINT,Tramonti di Sotto  Fontana Piazza Cantù
Vaiont ,Vaiont - Via Piancuert,POINT,Vaiont  Via Piancuert
Valvasone Arzene ,Valvasone Arzene - Arzene Via Casarsa,POINT,Valvasone Arzene  Arzene Via Casarsa
Vivaro ,Vivaro - Basaldella fontana,POINT,Vivaro  Basaldella fontana
Zoppola ,Zoppola - Via Pra di Risi,POINT,Zoppola  Via Pra di Risi
Fiume Veneto ,Fiume Veneto - mini acquedotto Via Beato Odorico,POINT,Fiume Veneto   Via Beato Odorico
Fiume Veneto ,Fiume Veneto - mini acquedotto Via Bevorchia,POINT,Fiume Veneto   Via Bevorchia
Fiume Veneto ,Fiume Veneto - mini acquedotto Via Borgo Venezia,POINT,Fiume Veneto   Via Borgo Venezia
Fiume Veneto ,Fiume Veneto - mini acquedotto Via Bosco dell'Arneret,POINT,Fiume Veneto   Via Bosco dell'Arneret
Fiume Veneto ,Fiume Veneto - mini acquedotto Via Enrico da Fiume,POINT,Fiume Veneto   Via Enrico da Fiume
Fiume Veneto ,Fiume Veneto - mini acquedotto Via Marco Polo,POINT,Fiume Veneto   Via Marco Polo
Fiume Veneto ,Fiume Veneto - mini acquedotto Via Padre Marco d'Aviano,POINT,Fiume Veneto   Via Padre Marco d'Aviano
Fiume Veneto ,Fiume Veneto - mini acquedotto Via Zol,POINT,Fiume Veneto   Via Zol
