alias_city,alias_address
Annone Veneto ,Annone Veneto - Viale Venezia
Azzano Decimo ,Azzano Decimo - Via Pradat
Brugnera ,Brugnera - Via Talmasson
Caorle ,Caorle - loc. Castello di Brussa Via Strada Brussa
Casarsa della Delizia ,Casarsa della Delizia - Via Vittorio Veneto
Cavasso Nuovo ,Cavasso Nuovo - Via Rinascita
Chions ,Chions - Via Saragat
Cinto Caomaggiore ,Cinto Caomaggiore - Via Udine
Cordovado ,Cordovado - Via Rivis
Concordia Sagittaria ,Concordia Sagittaria - Via Giovane Italia
Cordenons ,Cordenons - Via del Tramit
Cordenons ,Cordenons - serbatoio S. Giovanni
Fanna ,Fanna - Fontana Pian delle Merie
Fontanafredda ,Fontanafredda - Via Casut
Fossalta di Portogruaro ,Fossalta di Portogruaro - Piazza Bornancin
Frisanco ,Frisanco - Fontana Piazza XX settembre Pofabbro
Gruaro ,Gruaro - Via M. Serao
Maniago ,Maniago - Via Polcenigo
Meduna di Livenza ,Meduna di Livenza - Via G. Verdi
Meduno ,Meduno - Via Andreuzzi - Navarons
Pasiano di Pordenone ,Pasiano di Pordenone - Via dei Grilli
Portogruaro ,Portogruaro - Via Canaletto / Viale Trieste
Portogruaro ,Portogruaro - loc. Summaga Via Masata
Portogruaro ,Portogruaro - Viale Venezia
Porcia ,Porcia - Via Papa Giovanni XXIII
Pramaggiore ,Pramaggiore - Via Callalta
Prata di Pordenone ,Prata di Pordenone - Casali Villanova
Pravisdomini ,Pravisdomini - Via Barco
Sacile ,Sacile - Via Campo Marzio
San Giorgio della Richinvelda ,San Giorgio della Richinvelda - loc. Provesano Via Boschetto
San Giorgio della Richinvelda ,San Giorgio della Richinvelda - loc. Rauscedo Via Poligono
San Martino al Tagliamento ,San Martino al Tagliamento - Centrale principale
San Michele al Tagliamento ,San Michele al Tagliamento - Corso del Popolo
San Michele al Tagliamento loc. Bibione ,San Michele al Tagliamento loc. Bibione - Via Nettuno
San Quirino ,San Quirino - Via San Rocco
San Stino di Livenza ,San Stino di Livenza - Via Riviera Corbolone
San Vito al Tagliamento ,San Vito al Tagliamento - Via Ciliti
Sesto al Reghena ,Sesto al Reghena - Via Verdi
Teglio Veneto ,Teglio Veneto - Via Parz
Tramonti di Sopra ,Tramonti di Sopra - fontana Redona
Tramonti di Sotto ,Tramonti di Sotto - Fontana Piazza Cantù
Vaiont ,Vaiont - Via Piancuert
Valvasone Arzene ,Valvasone Arzene - Arzene Via Casarsa
Vivaro ,Vivaro - Basaldella fontana
Zoppola ,Zoppola - Via Pra di Risi
Fiume Veneto ,Fiume Veneto - mini acquedotto Via Beato Odorico
Fiume Veneto ,Fiume Veneto - mini acquedotto Via Bevorchia
Fiume Veneto ,Fiume Veneto - mini acquedotto Via Borgo Venezia
Fiume Veneto ,Fiume Veneto - mini acquedotto Via Bosco dell'Arneret
Fiume Veneto ,Fiume Veneto - mini acquedotto Via Enrico da Fiume
Fiume Veneto ,Fiume Veneto - mini acquedotto Via Marco Polo
Fiume Veneto ,Fiume Veneto - mini acquedotto Via Padre Marco d'Aviano
Fiume Veneto ,Fiume Veneto - mini acquedotto Via Zol
Fiume Veneto ,"Fiume Veneto - mini acquedotto Vie Braida, Bosco, Dei Roveri, Verdi, Suor S. Gregoris"
Fiume Veneto ,Fiume Veneto - mini acquedotto Via Chino Ermacora - Via Liut
Fiume Veneto ,Fiume Veneto - mini acquedotto Vie Praderoni - Delle Querce - Degli Olmi
Fiume Veneto ,Fiume Veneto - mini acquedotto Via delle Rive
Fiume Veneto ,Fiume Veneto - mini acquedotto Via Bartolomeo Aprilis - loc. Bannia
Fiume Veneto ,Fiume Veneto - mini acquedotto Via Damiano Chiesa loc. Bannia
Fiume Veneto ,Fiume Veneto - mini acquedotto Via Strada dei Conti loc. Bannia
Fiume Veneto ,Fiume Veneto - mini acquedotto Via dei Tigli loc. Bannia
Fiume Veneto ,Fiume Veneto - mini acquedotto Via Chiesiole - dei Pinali loc. Cimpello
Fiume Veneto ,Fiume Veneto - mini acquedotto Via della Piantalonga / Via Matteotti / Via Barbaro / Via Saba / Via Carducci / Via Mazzini
