alias_address,alias_city,ammoniaca,arsenico,cloruro,conducibilita,cromo,data_report,durezza,ferro,fluoruri,nitrato,nitrito,ph,sodio,solfato
Cimitero / Friedhofbrunnen,ALDINO/ALDEIN,<0.02,<1,<1,434,<1,07/03/2018,26,<10,<0.05,2,<0.01,7.6,2,29
Ditta Martin Speck - Neuradein / Firma Martin Speck - Neuradein,ALDINO/ALDEIN,<0.02,<1,1,448,<1,04/11/2018,29,33,0.72,2,<0.01,7.7,4,160
Fontana pubblica Kirchplatz / Öffentlicher Brunnen Kirchplatz,ALDINO/ALDEIN,<0.02,,5,458,,16/10/2018,23,,0.07,3,<0.01,8.0,,60
Hotel Schwarzhorn rubinetto cucina / Hotel Schwarzhorn Wasserhahn Küche,ALDINO/ALDEIN,<0.02,3,<1,75,<1,17/01/2018,4,25,0.29,1,<0.01,7.3,2,2
Municipio / Rathaus,ALDINO/ALDEIN,<0.02,,6,503,,28/03/2018,35,,<0.05,3,<0.01,8.0,,89
Scuola elementare Holen / Grundschule Holen,ALDINO/ALDEIN,<0.02,,13,459,,19/02/2018,27,,1.09,6,<0.01,8.2,,35
"Scuola elementare Oberradein / Grundschule, Oberradein",ALDINO/ALDEIN,<0.02,,<1,458,,13/03/2018,29,,0.05,2,<0.01,7.6,,43
Fontana Pubblica piazza paese / Öffentlicher Brunnen Dorfplatz,ANDRIANO/ANDRIAN,<0.02,3,3,456,<1,23/05/2018,23,<10,0.28,6,<0.01,8.1,37,50
Municipio / Rathaus,ANDRIANO/ANDRIAN,<0.02,,4,479,,20/03/2018,26,,0.28,6,<0.01,8.2,,59
Comune / Rathaus,ANTERIVO/ALTREI,<0.02,,2,50,,29/11/2018,2,,<0.05,<1,<0.01,6.7,,5
Fontana pubblica centro paese / Öffentlicher Brunnen Dorfplatz,ANTERIVO/ALTREI,<0.02,,<1,40,,22/05/2018,2,,<0.05,3,<0.01,7.6,,2
Asilo di lingua italiana / Italienischer Kindergarten,APPIANO SULLA STRADA DEL VINO/EPPAN AN DER WEINSTRASSE,<0.02,,1,332,,31/05/2018,6,,0.08,2,<0.01,8.0,,12
"Bar Tennis, Monticolo paese / Bar Tennis, Montiggl Dorf",APPIANO SULLA STRADA DEL VINO/EPPAN AN DER WEINSTRASSE,<0.02,6,2,323,<1,13/11/2018,20,48,0.09,5,<0.01,8.2,2,14
Castel Masaccio / Schlössl Matschatsch,APPIANO SULLA STRADA DEL VINO/EPPAN AN DER WEINSTRASSE,<0.02,<1,22,1172,<1,18/06/2018,45,12,0.07,4,<0.01,7.3,100,18
Fontana pubblica P.zza San Michele / Öffentlicher Brunnen St.-Michael-Platz,APPIANO SULLA STRADA DEL VINO/EPPAN AN DER WEINSTRASSE,<0.02,<1,<1,335,<1,30/05/2018,20,<10,0.06,2,<0.01,8.0,<1,7
Fontana pubblica Riva di sotto / öffentliche Brunnen Unterrain,APPIANO SULLA STRADA DEL VINO/EPPAN AN DER WEINSTRASSE,<0.02,,9,491,,22/05/2018,26,,0.16,4,<0.01,7.6,,46
Fontana pubblica Via della Fiera / Öffentlicher Brunnen Marktstrasse,APPIANO SULLA STRADA DEL VINO/EPPAN AN DER WEINSTRASSE,<0.02,,4,319,,17/04/2018,21,,0.15,6,<0.01,8.1,,26
Fontana pubblica davanti Unterhausenhof / Öffentl. Brunnen vor Unterhausenhof,APPIANO SULLA STRADA DEL VINO/EPPAN AN DER WEINSTRASSE,<0.02,3,4,396,<1,16/04/2018,25,<10,0.28,4,<0.01,7.8,11,13
Fontana pubblica via S. Paolo n° 20 / Öffentlicher Brunnen St.-Pauls-Straße Nr. 20,APPIANO SULLA STRADA DEL VINO/EPPAN AN DER WEINSTRASSE,<0.02,,7,643,,16/08/2018,34,,0.13,11,<0.01,7.5,,120
"Fontana pubblica vicino Brennerhof, Frangarto / Öffentlicher Brunnen neben Brennerhof, Frangart",APPIANO SULLA STRADA DEL VINO/EPPAN AN DER WEINSTRASSE,<0.02,<1,<1,334,<1,31/05/2018,18,<10,0.07,2,<0.01,8.0,<1,10
Fontana pubblica vicino Despar / Öffentlicher Brunnen neben Despar,APPIANO SULLA STRADA DEL VINO/EPPAN AN DER WEINSTRASSE,<0.02,,6,402,,16/08/2018,27,,0.3,2,<0.01,7.8,,43
Fontana pubblica vicino chiesa  /  Öffentl. Brunnen neben Kirche,APPIANO SULLA STRADA DEL VINO/EPPAN AN DER WEINSTRASSE,<0.02,,<1,310,,23/10/2018,19,,0.08,4,<0.01,8.1,,3
Fontana pubblica vicino parcheggio/Öffentl. Brunnen neben Parkplatz,APPIANO SULLA STRADA DEL VINO/EPPAN AN DER WEINSTRASSE,<0.02,<1,13,918,<1,30/05/2018,58,<10,0.19,10,<0.01,7.5,10,270
Ristorante Turmbach / Restaurant Turmbach,APPIANO SULLA STRADA DEL VINO/EPPAN AN DER WEINSTRASSE,<0.02,<1,<1,347,<1,20/06/2018,21,<10,0.1,2,<0.01,7.9,<1,16
Öff. Brunnen Platzl  Weg,APPIANO SULLA STRADA DEL VINO/EPPAN AN DER WEINSTRASSE,<0.02,,1,486,,30/08/2018,30,,0.09,3,<0.01,7.8,,77
