alias_city,alias_address,data_report,georeferencingString,type
ALDINO/ALDEIN,Cimitero / Friedhofbrunnen,07/03/2018,ALDINO Cimitero,POINT
ALDINO/ALDEIN,Ditta Martin Speck - Neuradein / Firma Martin Speck - Neuradein,04/11/2018,ALDINO Ditta Martin Speck - Neuradein,POINT
ALDINO/ALDEIN,Fontana pubblica Kirchplatz / Öffentlicher Brunnen Kirchplatz,07/02/2018,ALDINO,POINT
ALDINO/ALDEIN,Hotel Schwarzhorn rubinetto cucina / Hotel Schwarzhorn Wasserhahn Küche,13/09/2018,ALDINO Hotel Schwarzhorn,POINT
ALDINO/ALDEIN,Municipio / Rathaus,28/03/2018,ALDINO Municipio,POINT
ALDINO/ALDEIN,Scuola elementare Holen / Grundschule Holen,07/12/2018,ALDINO Scuola elementare Holen,POINT
ALDINO/ALDEIN,"Scuola elementare Oberradein / Grundschule, Oberradein",13/03/2018,ALDINO Scuola elementare,POINT
ANDRIANO/ANDRIAN,Fontana Pubblica piazza paese / Öffentlicher Brunnen Dorfplatz,07/04/2018,ANDRIANO,POINT
ANDRIANO/ANDRIAN,Municipio / Rathaus,14/11/2018,ANDRIANO Municipio,POINT
ANTERIVO/ALTREI,Comune / Rathaus,29/11/2018,ANTERIVO,POINT
ANTERIVO/ALTREI,Fontana pubblica centro paese / Öffentlicher Brunnen Dorfplatz,09/04/2018,ANTERIVO,POINT
APPIANO SULLA STRADA DEL VINO/EPPAN AN DER WEINSTRASSE,Asilo di lingua italiana / Italienischer Kindergarten,02/07/2018,APPIANO SULLA STRADA DEL VINO Asilo,POINT
APPIANO SULLA STRADA DEL VINO/EPPAN AN DER WEINSTRASSE,"Bar Tennis, Monticolo paese / Bar Tennis, Montiggl Dorf",13/11/2018,"APPIANO SULLA STRADA DEL VINO Bar Tennis, Monticolo paese",POINT
APPIANO SULLA STRADA DEL VINO/EPPAN AN DER WEINSTRASSE,Castel Masaccio / Schlössl Matschatsch,18/06/2018,APPIANO SULLA STRADA DEL VINO Castel Masaccio,POINT
APPIANO SULLA STRADA DEL VINO/EPPAN AN DER WEINSTRASSE,Fontana pubblica P.zza San Michele / Öffentlicher Brunnen St.-Michael-Platz,11/08/2018,APPIANO SULLA STRADA DEL VINO  P.zza San Michele,POINT
APPIANO SULLA STRADA DEL VINO/EPPAN AN DER WEINSTRASSE,Fontana pubblica Riva di sotto / öffentliche Brunnen Unterrain,22/05/2018,APPIANO SULLA STRADA DEL VINO  Riva di sotto,POINT
APPIANO SULLA STRADA DEL VINO/EPPAN AN DER WEINSTRASSE,Fontana pubblica Via della Fiera / Öffentlicher Brunnen Marktstrasse,13/11/2018,APPIANO SULLA STRADA DEL VINO  Via della Fiera,POINT
APPIANO SULLA STRADA DEL VINO/EPPAN AN DER WEINSTRASSE,Fontana pubblica davanti Unterhausenhof / Öffentl. Brunnen vor Unterhausenhof,16/04/2018,APPIANO SULLA STRADA DEL VINO,POINT
APPIANO SULLA STRADA DEL VINO/EPPAN AN DER WEINSTRASSE,Fontana pubblica via S. Paolo n° 20 / Öffentlicher Brunnen St.-Pauls-Straße Nr. 20,16/08/2018,APPIANO SULLA STRADA DEL VINO  via S. Paolo n° 20,POINT
APPIANO SULLA STRADA DEL VINO/EPPAN AN DER WEINSTRASSE,"Fontana pubblica vicino Brennerhof, Frangarto / Öffentlicher Brunnen neben Brennerhof, Frangart",16/04/2018,"APPIANO SULLA STRADA DEL VINO   , Frangarto",POINT
APPIANO SULLA STRADA DEL VINO/EPPAN AN DER WEINSTRASSE,Fontana pubblica vicino Despar / Öffentlicher Brunnen neben Despar,13/11/2018,APPIANO SULLA STRADA DEL VINO   Despar,POINT
APPIANO SULLA STRADA DEL VINO/EPPAN AN DER WEINSTRASSE,Fontana pubblica vicino chiesa  /  Öffentl. Brunnen neben Kirche,04/03/2018,APPIANO SULLA STRADA DEL VINO,POINT
