alias_city,alias_address,data_report
ALDINO/ALDEIN,Cimitero / Friedhofbrunnen,07/03/2018
ALDINO/ALDEIN,Ditta Martin Speck - Neuradein / Firma Martin Speck - Neuradein,04/11/2018
ALDINO/ALDEIN,Fontana pubblica Kirchplatz / Öffentlicher Brunnen Kirchplatz,16/10/2018
ALDINO/ALDEIN,Hotel Schwarzhorn rubinetto cucina / Hotel Schwarzhorn Wasserhahn Küche,17/01/2018
ALDINO/ALDEIN,Municipio / Rathaus,28/03/2018
ALDINO/ALDEIN,Scuola elementare Holen / Grundschule Holen,19/02/2018
ALDINO/ALDEIN,"Scuola elementare Oberradein / Grundschule, Oberradein",13/03/2018
ANDRIANO/ANDRIAN,Fontana Pubblica piazza paese / Öffentlicher Brunnen Dorfplatz,23/05/2018
ANDRIANO/ANDRIAN,Municipio / Rathaus,20/03/2018
ANTERIVO/ALTREI,Comune / Rathaus,29/11/2018
ANTERIVO/ALTREI,Fontana pubblica centro paese / Öffentlicher Brunnen Dorfplatz,22/05/2018
APPIANO SULLA STRADA DEL VINO/EPPAN AN DER WEINSTRASSE,Asilo di lingua italiana / Italienischer Kindergarten,31/05/2018
APPIANO SULLA STRADA DEL VINO/EPPAN AN DER WEINSTRASSE,"Bar Tennis, Monticolo paese / Bar Tennis, Montiggl Dorf",13/11/2018
APPIANO SULLA STRADA DEL VINO/EPPAN AN DER WEINSTRASSE,Castel Masaccio / Schlössl Matschatsch,18/06/2018
APPIANO SULLA STRADA DEL VINO/EPPAN AN DER WEINSTRASSE,Fontana pubblica P.zza San Michele / Öffentlicher Brunnen St.-Michael-Platz,30/05/2018
APPIANO SULLA STRADA DEL VINO/EPPAN AN DER WEINSTRASSE,Fontana pubblica Riva di sotto / öffentliche Brunnen Unterrain,22/05/2018
APPIANO SULLA STRADA DEL VINO/EPPAN AN DER WEINSTRASSE,Fontana pubblica Via della Fiera / Öffentlicher Brunnen Marktstrasse,17/04/2018
APPIANO SULLA STRADA DEL VINO/EPPAN AN DER WEINSTRASSE,Fontana pubblica davanti Unterhausenhof / Öffentl. Brunnen vor Unterhausenhof,16/04/2018
APPIANO SULLA STRADA DEL VINO/EPPAN AN DER WEINSTRASSE,Fontana pubblica via S. Paolo n° 20 / Öffentlicher Brunnen St.-Pauls-Straße Nr. 20,16/08/2018
APPIANO SULLA STRADA DEL VINO/EPPAN AN DER WEINSTRASSE,"Fontana pubblica vicino Brennerhof, Frangarto / Öffentlicher Brunnen neben Brennerhof, Frangart",31/05/2018
APPIANO SULLA STRADA DEL VINO/EPPAN AN DER WEINSTRASSE,Fontana pubblica vicino Despar / Öffentlicher Brunnen neben Despar,16/08/2018
APPIANO SULLA STRADA DEL VINO/EPPAN AN DER WEINSTRASSE,Fontana pubblica vicino chiesa  /  Öffentl. Brunnen neben Kirche,23/10/2018
APPIANO SULLA STRADA DEL VINO/EPPAN AN DER WEINSTRASSE,Fontana pubblica vicino parcheggio/Öffentl. Brunnen neben Parkplatz,30/05/2018
APPIANO SULLA STRADA DEL VINO/EPPAN AN DER WEINSTRASSE,Ristorante Turmbach / Restaurant Turmbach,20/06/2018
APPIANO SULLA STRADA DEL VINO/EPPAN AN DER WEINSTRASSE,Öff. Brunnen Platzl  Weg,30/08/2018
APPIANO SULLA STRADA DEL VINO/EPPAN AN DER WEINSTRASSE,Öffentl. Brunnen neben FF Montiggl / Öffentl. Brunnen neben FF Montiggl,22/05/2018
AVELENGO/HAFLING,GH Sonnenheim / GH Sonnenheim,18/12/2018
AVELENGO/HAFLING,Gasthof Brunnerhof / Gasthof Brunnerhof,18/12/2018
AVELENGO/HAFLING,WC comune / WC Gemeinde,18/12/2018
BADIA/ABTEI,Associazione turistica / Tourismusverein,12/05/2018
BADIA/ABTEI,Bar Cavallino / Bar Cavallino,04/04/2018
BADIA/ABTEI,Brunnen Aurora,06/11/2018
BADIA/ABTEI,Brunnen Scolina  /  Brunnen Scolina,09/11/2018
BADIA/ABTEI,Brunnen museum ladin,28/05/2018
BADIA/ABTEI,Caserma VF / FF Halle,17/09/2018
BADIA/ABTEI,Fontana Municipio / Brunnen Rathaus,09/11/2018
BADIA/ABTEI,Friedhof,06/11/2018
BADIA/ABTEI,Hotel Cristallo / Hotel Cristallo,04/04/2018
BADIA/ABTEI,Hotel Diamant / Hotel Diamant,12/12/2018
BADIA/ABTEI,Municipio / Rathaus,04/04/2018
BADIA/ABTEI,Privato/Privat,28/05/2018
BARBIANO/BARBIAN,"Albergo Kalter Keller, Via Brennero 10 / Gasthof Kalter Keller, Brennerstr. 10",05/03/2018
BARBIANO/BARBIAN,"Colma, Albergo Stern, Via Kunter 1 / Kollmann, Gasthof Stern, Am Kuntersweg 1; WH Bar",05/03/2018
BARBIANO/BARBIAN,Fa. Hofer Fliesen und Böden GmbH - Handwerkerzone 4  /  Fa. Hofer Fliesen und Böden GmbH - Handwerkerzone 4  - WH WC,05/03/2018
