Data prelievo / Entnahme Datum ,Codice Comune / Gemeindekodex,Comune / Gemeinde,Codice acquedotto / Kodex TWL,Denominazione acquedotto / TWL Benennung,Codice punto di prel. / Kodex Entnahmepunkt,Punto di prelievo / Entnahmepunkt,Conduc. Elettr. Spec.µS/cm,pH,Durezza totale F°,Durezza totale °D,Alcalinità CO3 mg/L,Alcalinità HCO3 mg/L,Ossidabilità O2 mg/L,Ammonio NH4 mg/L,Nitriti NO2 mg/L,Fluoruri mg/L,Cloruri mg/L,Nitrati NO3 mg/L,Solfati mg/L,Sodiomg/L,Boro µg/L,Alluminio µg/L,Cromo µg/L,Selenio µg/L,Vanadio µg/L,Rame mg/L,Nichel µg/L,Zinco µg/L,Arsenico µg/L,Antimonio µg/L,Cadmioµg/L,Piomboµg/L,Uranio µg/L,Ferro µg/L,Manganese µg/L,Mercurio µg/L,Idrocarburi policiclici aromatici µg/L,Benzo(a)pirene µg/L,Benzene µg/L,"1,2-Dicloroetano µg/L",Tricloroetilene (Trielina)µg/L,Tetracloroetileneµg/L,Trialometani µg/L,Cloroformioµg/L,Bromoformioµg/L,Dibromoclorometanoµg/L,Bromodiclorometanoµg/L
03/07/2018,1.0,ALDINO/ALDEIN,T0003,Redagno di Sopra / Oberradein,E03,Cimitero / Friedhofbrunnen,434,7.6,26,14.560000000000002,0,277,< 0.5,< 0.02,< 0.01,< 0.05,< 1,2,29,2,< 0.1,< 4,< 1,< 1,1,< 0.1,< 1,48,< 1,< 0.5,< 0.5,< 1,< 0.5,< 10,< 2,< 0.2,,,,,,,,,,,
11/04/2018,1.0,ALDINO/ALDEIN,T0004,Redagno di Sotto / Unterradein,E02,Ditta Martin Speck - Neuradein / Firma Martin Speck - Neuradein,448,7.7,29,16.240000000000002,0,127,< 0.5,< 0.02,< 0.01,0.72,1,2,160,4,< 0.1,13,< 1,< 1,< 1,< 0.1,< 1,273,< 1,< 0.5,< 0.5,< 1,1.7,33,< 2,< 0.2,< 0.02,< 0.001,< 0.1,< 0.1,< 1,< 1,< 3,< 1,< 1,< 1,< 1
02/07/2018,1.0,ALDINO/ALDEIN,T0001,Aldino / Aldein,E01,Fontana pubblica Kirchplatz / Öffentlicher Brunnen Kirchplatz,459,8,26,14.560000000000002,0,238,1.4,< 0.02,< 0.01,0.07,5,3,65,4,< 0.1,< 4,< 1,< 1,< 1,< 0.1,< 1,5,< 1,< 0.5,< 0.5,< 1,< 0.5,< 10,< 2,< 0.2,< 0.02,< 0.001,< 0.1,< 0.1,< 1,< 1,< 3,< 1,< 1,< 1,< 1
04/09/2018,1.0,ALDINO/ALDEIN,T0001,Aldino / Aldein,E01,Fontana pubblica Kirchplatz / Öffentlicher Brunnen Kirchplatz,451,7.9,24,13.440000000000001,0,250,,< 0.02,< 0.01,0.06,5,3,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/10/2018,1.0,ALDINO/ALDEIN,T0001,Aldino / Aldein,E01,Fontana pubblica Kirchplatz / Öffentlicher Brunnen Kirchplatz,458,8,23,12.88,0,252,,< 0.02,< 0.01,0.07,5,3,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/09/2018,1.0,ALDINO/ALDEIN,T0006,Hotel Schwarzhorn / Hotel Schwarzhorn,E01,Hotel Schwarzhorn rubinetto cucina / Hotel Schwarzhorn Wasserhahn Küche,85,7.2,4,2.24,0,57,< 0.5,< 0.02,< 0.01,0.31,< 1,1,2,2,< 0.1,7,< 1,< 1,< 1,< 0.1,< 1,13,3,< 0.5,< 0.5,< 1,1.7,< 10,< 2,< 0.2,,,,,,,,,,,
17/01/2018,1.0,ALDINO/ALDEIN,T0006,Hotel Schwarzhorn / Hotel Schwarzhorn,E01,Hotel Schwarzhorn rubinetto cucina / Hotel Schwarzhorn Wasserhahn Küche,75,7.3,4,2.24,0,52,< 0.5,< 0.02,< 0.01,0.29,< 1,1,2,2,< 0.1,60,< 1,< 1,< 1,< 0.1,< 1,7,3,< 0.5,< 0.5,< 1,1.5,25,< 2,< 0.2,,,,,,,,,,,
17/01/2018,1.0,ALDINO/ALDEIN,T0006,Hotel Schwarzhorn / Hotel Schwarzhorn,E01,Hotel Schwarzhorn rubinetto cucina / Hotel Schwarzhorn Wasserhahn Küche,75,7.3,32,17.92,0,247,,< 0.02,< 0.01,0.33,3,6,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2018,1.0,ALDINO/ALDEIN,T0001,Aldino / Aldein,E02,Municipio / Rathaus,503,8,35,19.6,0,255,,< 0.02,< 0.01,< 0.05,6,3,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/07/2018,1.0,ALDINO/ALDEIN,T0002,Olmi / Holen,E03,Scuola elementare Holen / Grundschule Holen,470,8.1,26,14.560000000000002,0,277,0.8,< 0.02,< 0.01,1.13,14,6,35,10,< 0.1,220,< 1,< 1,< 1,< 0.1,< 1,120,1,< 0.5,< 0.5,6,4.4,427,13,< 0.2,,,,,,,,,,,
19/02/2018,1.0,ALDINO/ALDEIN,T0002,Olmi / Holen,E03,Scuola elementare Holen / Grundschule Holen,459,8.2,27,15.120000000000001,0,263,,< 0.02,< 0.01,1.09,13,6,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/03/2018,1.0,ALDINO/ALDEIN,T0003,Redagno di Sopra / Oberradein,E02,"Scuola elementare Oberradein / Grundschule, Oberradein",458,7.6,29,16.240000000000002,0,286,,< 0.02,< 0.01,0.05,< 1,2,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/07/2018,2.0,ANDRIANO/ANDRIAN,T0001,Andriano / Andrian,E01,Fontana Pubblica piazza paese / Öffentlicher Brunnen Dorfplatz,628,7.9,17,9.520000000000001,0,228,< 0.5,< 0.02,< 0.01,0.07,< 1,2,7,< 1,< 0.1,< 4,< 1,< 1,5,< 0.1,< 1,2,< 1,< 0.5,< 0.5,< 1,1.7,< 10,< 2,< 0.2,< 0.02,< 0.001,< 0.1,< 0.1,< 1,< 1,< 3,< 1,< 1,< 1,< 1
23/05/2018,2.0,ANDRIANO/ANDRIAN,T0001,Andriano / Andrian,E01,Fontana Pubblica piazza paese / Öffentlicher Brunnen Dorfplatz,456,8.1,23,12.88,0,275,< 0.5,< 0.02,< 0.01,0.28,3,6,50,37,< 0.1,< 4,< 1,< 1,< 1,< 0.1,< 1,1,3,< 0.5,< 0.5,< 1,17.3,< 10,< 2,< 0.2,< 0.02,< 0.001,< 0.1,< 0.1,< 1,< 1,< 3,< 1,< 1,< 1,< 1
14/11/2018,2.0,ANDRIANO/ANDRIAN,T0001,Andriano / Andrian,E02,Municipio / Rathaus,511,8.1,26,14.560000000000002,0,278,,< 0.02,< 0.01,0.29,3,6,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,
