alias_address,alias_city,ammoniaca,arsenico,calcio,cloro_residuo,cloruro,conducibilita,data_report,durezza,ferro,fluoruri,magnesio,manganese,nitrato,nitrito,ph,potassio,residuo_fisso,sodio,solfato
Comune,Campogalliano,<0.10,<1.0,141,0.07,128,1096,01/01/2019 - 31/12/2019,45,15,<0.20,23,<1.0,14,<0.05,7.2,2.5,832,86,187
Comune,Novi,<0.10,<1.0,141,0.07,128,1096,01/01/2019 - 31/12/2019,45,15,<0.20,23,<1.0,14,<0.05,7.2,2.5,832,86,187
Comune,Soliera,<0.10,<1.0,141,0.07,128,1096,01/01/2019 - 31/12/2019,45,15,<0.20,23,<1.0,14,<0.05,7.2,2.5,832,86,187
Comune,Carpi,<0.10,<1.0,159,0.07,124,1188,01/01/2019 -31/12/2019,53,13,<0.20,32,<1.0,17,<0.05,7.1,3.0,901,89,197
Comune,Bastiglia,<0.10,<1.0,140,0.06,103,1024,01/01/2019 - 31/12/2019,44,12.3,<0.20,23,<1.0,29,<0.05,7.2,2.2,777,75,169
Comune,Bomporto,<0.10,<1.0,140,0.06,103,1024,01/01/2019 - 31/12/2019,44,12.3,<0.20,23,<1.0,29,<0.05,7.2,2.2,777,75,169
Comune,Camposanto,<0.10,<1.0,140,0.06,103,1024,01/01/2019 - 31/12/2019,44,12.3,<0.20,23,<1.0,29,<0.05,7.2,2.2,777,75,169
Comune,Cavezzo,<0.10,<1.0,140,0.06,103,1024,01/01/2019 - 31/12/2019,44,12.3,<0.20,23,<1.0,29,<0.05,7.2,2.2,777,75,169
Comune,Concordia,<0.10,<1.0,140,0.06,103,1024,01/01/2019 - 31/12/2019,44,12.3,<0.20,23,<1.0,29,<0.05,7.2,2.2,777,75,169
Comune,Medolla,<0.10,<1.0,140,0.06,103,1024,01/01/2019 - 31/12/2019,44,12.3,<0.20,23,<1.0,29,<0.05,7.2,2.2,777,75,169
Comune,Mirandola,<0.10,<1.0,140,0.06,103,1024,01/01/2019 - 31/12/2019,44,12.3,<0.20,23,<1.0,29,<0.05,7.2,2.2,777,75,169
Comune,S. Felice S.P.,<0.10,<1.0,140,0.06,103,1024,01/01/2019 - 31/12/2019,44,12.3,<0.20,23,<1.0,29,<0.05,7.2,2.2,777,75,169
Comune,San Possidonio,<0.10,<1.0,140,0.06,103,1024,01/01/2019 - 31/12/2019,44,12.3,<0.20,23,<1.0,29,<0.05,7.2,2.2,777,75,169
Comune,San Prospero,<0.10,<1.0,140,0.06,103,1024,01/01/2019 - 31/12/2019,44,12.3,<0.20,23,<1.0,29,<0.05,7.2,2.2,777,75,169
Comune,Poggio Rusco,<0.10,<1.0,140,0.06,103,1024,01/01/2019 - 31/12/2019,44,12.3,<0.20,23,<1.0,29,<0.05,7.2,2.2,777,75,169
Comune,S. Giovanni Dosso,<0.10,<1.0,140,0.06,103,1024,01/01/2019 - 31/12/2019,44,12.3,<0.20,23,<1.0,29,<0.05,7.2,2.2,777,75,169
Comune,S. Giacomo Segnate,<0.10,<1.0,140,0.06,103,1024,01/01/2019 - 31/12/2019,44,12.3,<0.20,23,<1.0,29,<0.05,7.2,2.2,777,75,169
Comune,Quistello,<0.10,<1.0,140,0.06,103,1024,01/01/2019 - 31/12/2019,44,12.3,<0.20,23,<1.0,29,<0.05,7.2,2.2,777,75,169
Comune,Moglia,<0.10,<1.0,144,0.05,123,1084,01/01/2019 -31/12/2019,46,24,<0.20,25,<1.0,18,<0.05,7.3,2.4,822,85,186
Comune,Revere,<0.10,6.6,93,<0.05,54,766,01/01/2019 - 31/12/2019,34,23,0.32,26,8,<1.0,<0.05,7.6,3.4,552,50,18
Comune,Borgofranco,<0.10,6.6,93,<0.05,54,766,01/01/2019 - 31/12/2019,34,23,0.32,26,8,<1.0,<0.05,7.6,3.4,552,50,18
