alias_city,alias_address,georeferencingString,type
Campogalliano,Comune,"Campogalliano, Emilia Romagna",POINT
Novi,Comune,"Novi, Emilia Romagna",POINT
Soliera,Comune,"Soliera, Emilia Romagna",POINT
Carpi,Comune,"Carpi, Emilia Romagna",POINT
Bastiglia,Comune,"Bastiglia, Emilia Romagna",POINT
Bomporto,Comune,"Bomporto, Emilia Romagna",POINT
Camposanto,Comune,"Camposanto, Emilia Romagna",POINT
Cavezzo,Comune,"Cavezzo, Emilia Romagna",POINT
Concordia,Comune,"Concordia, Emilia Romagna",POINT
Medolla,Comune,"Medolla, Emilia Romagna",POINT
Mirandola,Comune,"Mirandola, Emilia Romagna",POINT
S. Felice S.P.,Comune,"S. Felice S.P., Emilia Romagna",POINT
San Possidonio,Comune,"San Possidonio, Emilia Romagna",POINT
San Prospero,Comune,"San Prospero, Emilia Romagna",POINT
Poggio Rusco,Comune,"Poggio Rusco, Emilia Romagna",POINT
S. Giovanni Dosso,Comune,"S. Giovanni Dosso, Emilia Romagna",POINT
S. Giacomo Segnate,Comune,"S. Giacomo Segnate, Emilia Romagna",POINT
Quistello,Comune,"Quistello, Emilia Romagna",POINT
Moglia,Comune,"Moglia, Emilia Romagna",POINT
Revere,Comune,"Revere, Emilia Romagna",POINT
Borgofranco,Comune,"Borgofranco, Emilia Romagna",POINT
