alias_city,alias_address,urlReport
Codigoro,Comune,http://www.cadf.it/resourcesmodule/download_resource/id/7591/src/@random4d089f43b685e/
Comacchio,Comune,http://www.cadf.it/resourcesmodule/download_resource/id/7593/src/@random4d089f43b685e/
Copparo,Comune,http://www.cadf.it/resourcesmodule/download_resource/id/7594/src/@random4d089f43b685e/
Fiscaglia,Comune,http://www.cadf.it/resourcesmodule/download_resource/id/7595/src/@random4d089f43b685e/
Goro,Comune,http://www.cadf.it/resourcesmodule/download_resource/id/7591/src/@random4d089f43b685e/
Jolanda di Savoia ,Comune,http://www.cadf.it/resourcesmodule/download_resource/id/7597/src/@random4d089f43b685e/
Lagosanto ,Comune,http://www.cadf.it/resourcesmodule/download_resource/id/7598/src/@random4d089f43b685e/
Mesola ,Comune,http://www.cadf.it/resourcesmodule/download_resource/id/7599/src/@random4d089f43b685e/
Ostellato,Comune,http://www.cadf.it/resourcesmodule/download_resource/id/7600/src/@random4d089f43b685e/
Riva del Po,Comune,http://www.cadf.it/resourcesmodule/download_resource/id/7601/src/@random4d089f43b685e/
Tresignana,Comune,http://www.cadf.it/resourcesmodule/download_resource/id/7602/src/@random4d089f43b685e/
