alias_address,alias_city,ammoniaca,arsenico,bicarbonato,calcio,cloruro,conducibilita,data_report,durezza,fluoruri,magnesio,manganese,nitrato,nitrito,ph,potassio,residuo_fisso,solfato
Comune,SAN SECONDO,<0.05,<0.2,424,124,26.3,753,23/10/2019,40,<0.10,23,<5.0,36.2,<0.01,7.1,2.4,510,46.1
Comune,VIDALENZO,<0.05,<0.2,419,127,29,744,23/10/2019,41,0.11,22,<5.0,38.8,<0.01,7.4,2.5,516,49
Comune,COLORNO,<0.05,<0.2,322,114,29,633,23/10/2019,34,<0.10,13,<5.0,31,<0.01,7.4,1.7,415,42.1
Comune,MONTEFESTONE,<0.05,<0.2,380,78,39.7,721,26/11/2019,24,<0.10,10,<5.0,32.4,<0.01,7.3,1.8,489,37.3
Comune,ROCCABIANCA,<0.05,<0.2,328,116,32.3,639,16/10/2019,34,0.14,13,<5.0,37.1,<0.01,7.7,1.9,433,44
Comune,RONCO C.C.,<0.05,<0.2,328,118,32.6,7.3,16/10/2019,35,<0.10,13,<5.0,38.4,<0.01,7.3,1.8,321,46
POINT,RONCOLE VERDI - BUSSETO,<0.05,<0.2,415,124,28,749,08/10/2019,40,0.105,22,<5.0,39,<0.01,7.2,2.5,749,46
Comune,POLESINE,<0.05,<0.2,412,127,26.6,734,29/10/2019,41,<0.10,22,<5.0,35,<0.01,7.3,2.4,501,44.7
Comune,TRECASALI,<0.05,<0.2,316,118,31.8,649,16/01/2019,35,<0.10,12,<5.0,36.7,<0.01,7.3,1.8,426,42.4
Comune,SORAGNA,<0.05,<0.2,423,125,21.1,758,24/09/2019,41,<0.10,23,<5.0,31.3,<0.01,7.1,2.5,491,37.8
Comune,FONTANELLATO,<0.05,<0.2,403,124,27.4,730,08/10/2019,39,0.13,20,<5.0,49.4,<0.01,7.1,1.9,495,37
Comune,TORRILE,<0.05,<0.2,324,118,31.3,655,16/01/2019,35,<0.10,13,<5.0,36.3,<0.01,7.3,1.8,431,43.7
Comune,SALSOMAGGIORE,<0.05,<0.2,379,124,38.1,716,26/11/2019,38,<0.10,16,<5.0,32.2,<0.01,7.3,2.1,476,37.2
