alias_city,georeferencingString,alias_address,type
SAN SECONDO,"San Secondo Parmense, PR, Emilia Romagna",Comune,POINT
VIDALENZO,"Vidalenzo, PR, Emilia Romagna",Comune,POINT
COLORNO,"Colorno, PR, Emilia Romagna",Comune,POINT
MONTEFESTONE,"FIDENZA, PR, Emilia Romagna",Comune,POINT
ROCCABIANCA,"ROCCABIANCA, PR, Emilia Romagna",Comune,POINT
RONCO C.C.,"Ronco Campo Canneto, PR, Emilia Romagna",Comune,POINT
RONCOLE VERDI - BUSSETO,Roncole Verdi,POINT
POLESINE,"Polesine Parmense, PR, Emilia Romagna",Comune,POINT
TRECASALI,"Trecasali, PR, Emilia Romagna",Comune,POINT
SORAGNA,"SORAGNA, PR, Emilia Romagna",Comune,POINT
FONTANELLATO,"FONTANELLATO, PR, Emilia Romagna",Comune,POINT
TORRILE,"TORRILE, PR, Emilia Romagna",Comune,POINT
SALSOMAGGIORE,"Salsomaggiore Terme, PR, Emilia Romagna",Comune,POINT
