alias_address,alias_city,ammoniaca,arsenico,bicarbonato,calcio,cloro_residuo,cloruro,conducibilita,data_report,durezza,fluoruri,magnesio,manganese,nitrato,nitrito,ph,potassio,residuo_fisso,sodio,solfato
Comune,Alto Reno - loc. Porretta Terme,<0.02,<1,121,35,0.2,6,250,Dati Medi Carta dei Servizi anno 2019 II Semestre,11,<0.10,6,8,1,<0.02,7.6,1,247,3,11
Comune,Anzola dell'Emilia,<0.02,<1,352,113,0.2,50,875,Dati Medi Carta dei Servizi anno 2019 II Semestre,38,<0.10,23,<5,13,<0.02,7.3,3,510,34,74
Comune,Argelato,<0.02,<1,386,101,0.1,16,777,Dati Medi Carta dei Servizi anno 2019 II Semestre,35,<0.10,23,6,3,<0.02,7.2,2,466,27,61
Comune,Argenta,0.02,1,165,53,0.1,24,424,Dati Medi Carta dei Servizi anno 2019 II Semestre,18,<0.10,11,<5,6,<0.02,7.6,3,281,18,28
Comune,Alfonsine,<0.02,<1,164,51,0.1,26,451,Dati Medi Carta dei Servizi anno 2019 II Semestre,18,<0.10,11,5,5,<0.02,7.7,2,329,17,28
Comune,Baricella,0.04,<1,376,101,0.1,23,807,Dati Medi Carta dei Servizi anno 2019 II Semestre,35,<0.10,22,<5,5,<0.02,7.2,2,469,27,74
Comune,Bentivoglio,<0.02,<1,375,111,0.1,23,807,Dati Medi Carta dei Servizi anno 2019 II Semestre,36,<0.10,24,<5,5,0.06,7.3,2,461,27,72
Comune,Bologna,<0.02,<1,293,93,0.2,37,713,Dati Medi Carta dei Servizi anno 2019 II Semestre,32,<0.10,19,<5,9,<0.02,7.4,2,464,27,63
Comune,Borgo Tossignano,<0.02,<1,171,39,0.1,47,535,Dati Medi Carta dei Servizi anno 2019 II Semestre,17,<0.10,18,<5,<0.5,<0.02,7.7,3,357,35,44
Comune,Budrio,<0.02,<1,365,121,0.2,29,846,Dati Medi Carta dei Servizi anno 2019 II Semestre,41,<0.10,25,8,10,<0.02,7.2,4,515,32,91
Comune,Bondeno,<0.02,<1,216,65,0.1,18,495,Dati Medi Carta dei Servizi anno 2019 II Semestre,22,0.11,14,<5,2,<0.02,7.4,3,320,17,34
Comune,Bagnacavallo,<0.02,<1,165,53,0.1,33,445,Dati Medi Carta dei Servizi anno 2019 II Semestre,18,<0.10,12,<5,5,<0.02,7.8,3,331,21,33
Comune,Bagnara di Romagna,0.04,<1,224,69,0.03,42,632,Dati Medi Carta dei Servizi anno 2019 II Semestre,25,0.10,19,<5,9,<0.02,7.6,3,421,24,57
Comune,Brisighella,<0.02,<1,244,57,0.1,9,498,Dati Medi Carta dei Servizi anno 2019 II Semestre,22,0.11,17,<5,1,<0.02,7.7,2,375,18,34
Comune,Bellaria-Igea Marina,0.03,<1,219,64,0.1,17,493,Dati Medi Carta dei Servizi anno 2019 II Semestre,22,<0.10,14,<5,6,<0.02,7.4,2,369,13,29
Comune,Bagno di Romagna,<0.02,<1,221,57,0.1,16,547,Dati Medi Carta dei Servizi anno 2019 II Semestre,19,0.17,11,<5,2,<0.02,7.5,3,357,26,32
Comune,Bertinoro,0.02,<1,187,53,0.1,11,406,Dati Medi Carta dei Servizi anno 2019 II Semestre,17,<0.10,10,<5,2,<0.02,7.7,2,269,8,19
Comune,Borghi,<0.02,<1,221,70,0.1,17,488,Dati Medi Carta dei Servizi anno 2019 II Semestre,24,<0.10,15,<5,5,<0.02,7.4,2,357,13,29
Comune,Calderara di Reno,0.03,<1,353,113,0.2,49,870,Dati Medi Carta dei Servizi anno 2019 II Semestre,36,<0.10,22,<5,13,<0.02,7.3,3,521,31,71
Comune,Camugnano,<0.02,<1,139,42,0.2,4,291,Dati Medi Carta dei Servizi anno 2019 II Semestre,15,<0.10,10,<5,1,<0.02,8.1,1,264,4,17
Comune,Casalecchio di Reno,<0.02,<1,220,72,0.1,31,633,Dati Medi Carta dei Servizi anno 2019 II Semestre,24,<0.10,14,<5,5,<0.02,7.5,2,356,23,42
Comune,Casalfiumanese,<0.02,<1,169,40,0.1,48,537,Dati Medi Carta dei Servizi anno 2019 II Semestre,17,0.11,19,<5,<0.5,<0.02,7.6,3,381,36,44
Comune,Castel d'Aiano,<0.02,<1,401,136,0.1,56,884,Dati Medi Carta dei Servizi anno 2019 II Semestre,38,<0.10,10,<5,8,<0.02,7.2,1,475,22,19
Comune,Castel Del Rio,<0.02,<1,300,70,0.2,11,606,Dati Medi Carta dei Servizi anno 2019 II Semestre,26,0.11,20,<5,1,<0.02,7.5,2,406,16,46
Comune,Castel di Casio,0.02,<1,117,37,0.2,7,249,Dati Medi Carta dei Servizi anno 2019 II Semestre,12,<0.10,6,<5,1,<0.02,7.7,<1,236,6,10
Comune,Castel Guelfo di Bologna,0.08,<1,158,47,0.1,33,469,Dati Medi Carta dei Servizi anno 2019 II Semestre,18,<0.10,15,<5,2,<0.02,7.8,3,360,22,40
Comune,Castel Maggiore,0.05,<1,378,108,0.1,28,839,Dati Medi Carta dei Servizi anno 2019 II Semestre,37,<0.10,23,<5,7,<0.02,7.3,2,456,29,78
Comune,Castel San Pietro Terme,0.05,<1,153,52,0.1,33,460,Dati Medi Carta dei Servizi anno 2019 II Semestre,20,0.10,16,<5,2,<0.02,7.7,3,335,24,37
Comune,Castello d'Argile,<0.02,<1,384,98,0.3,17,787,Dati Medi Carta dei Servizi anno 2019 II Semestre,33,<0.10,22,<5,3,<0.02,7.4,2,469,27,64
Comune,Castenaso,0.02,<1,377,125,0.2,30,827,Dati Medi Carta dei Servizi anno 2019 II Semestre,42,<0.10,27,<5,7,<0.02,7.2,4,478,32,81
Comune,Castiglione dei Pepoli,<0.02,<1,124,37,0.2,5,269,Dati Medi Carta dei Servizi anno 2019 II Semestre,13,<0.10,9,<5,2,<0.02,7.7,1,219,4,16
Comune,Cento,<0.02,<1,196,54,0.2,21,478,Dati Medi Carta dei Servizi anno 2019 II Semestre,18,<0.10,11,<5,3,<0.02,7.5,3,331,16,32
Comune,Castelfranco Emilia,<0.02,<1,248,75,0.2,13,550,Dati Medi Carta dei Servizi anno 2019 II Semestre,24,<0.10,13,<5,13,<0.02,7.4,2,340,12,33
Comune,Castelnuovo Rangone,<0.02,<1,269,79,0.2,16,566,Dati Medi Carta dei Servizi anno 2019 II Semestre,25,<0.10,14,<5,16,<0.02,7.4,2,305,15,28
Comune,Castelvetro di Modena,<0.02,<1,290,96,0.2,30,679,Dati Medi Carta dei Servizi anno 2019 II Semestre,31,<0.10,18,<5,20,<0.02,7.2,3,439,23,37
Comune,Casola Valsenio,<0.02,<1,262,56,0.1,11,554,Dati Medi Carta dei Servizi anno 2019 II Semestre,24,0.16,26,<5,1,<0.02,7.9,4,383,21,50
Comune,Castel Bolognese,0.04,<1,481,168,0.04,56,1112,Dati Medi Carta dei Servizi anno 2019 II Semestre,61,0.12,48,<5,20,<0.02,7.6,5,748,46,147
Comune,Cervia,<0.02,<1,189,59,0.1,22,461,Dati Medi Carta dei Servizi anno 2019 II Semestre,20,<0.10,13,<5,5,<0.02,7.6,2,341,16,29
Comune,Conselice,0.08,<1,140,57,0.1,33,440,Dati Medi Carta dei Servizi anno 2019 II Semestre,21,<0.10,15,<5,2,<0.02,7.6,3,325,19,38
Comune,Cotignola,<0.02,<1,181,53,0.1,16,418,Dati Medi Carta dei Servizi anno 2019 II Semestre,18,<0.10,11,<5,3,<0.02,7.7,2,297,11,23
Comune,Casteldelci,<0.02,<1,176,53,0.1,5,315,Dati Medi Carta dei Servizi anno 2019 II Semestre,16,<0.10,5,<5,2,<0.02,7.9,1,231,8,6
Comune,Cattolica,<0.02,<1,274,81,0.1,50,721,Dati Medi Carta dei Servizi anno 2019 II Semestre,30,0.14,23,<5,15,<0.02,7.3,3,470,33,43
Comune,Coriano,0.02,<1,213,59,0.1,16,475,Dati Medi Carta dei Servizi anno 2019 II Semestre,20,<0.10,13,<5,5,<0.02,7.4,2,332,10,27
Comune,Castrocaro terme e Terra del sole,<0.02,<1,214,60,0.1,13,450,Dati Medi Carta dei Servizi anno 2019 II Semestre,20,<0.10,13,<5,3,<0.02,7.6,2,333,12,30
Comune,Cesena,0.02,<1,225,66,0.05,16,522,Dati Medi Carta dei Servizi anno 2019 II Semestre,22,<0.10,15,<5,8,<0.02,7.6,2,332,12,31
Comune,Cesenatico,<0.02,<1,202,57,0.03,13,439,Dati Medi Carta dei Servizi anno 2019 II Semestre,19,<0.10,12,<5,4,<0.02,7.5,2,297,11,24
Comune,Civitella di Romagna,<0.02,<1,194,57,0.1,10,396,Dati Medi Carta dei Servizi anno 2019 II Semestre,19,<0.10,12,<5,1,<0.02,7.8,2,318,8,24
Comune,Dozza,<0.02,<1,362,125,0.1,45,819,Dati Medi Carta dei Servizi anno 2019 II Semestre,40,0.16,22,<5,14,<0.02,7.3,3,491,38,37
Comune,Dovadola,<0.02,<1,278,76,0.1,10,581,Dati Medi Carta dei Servizi anno 2019 II Semestre,28,0.15,21,<5,1,<0.02,7.4,3,368,19,50
Comune,Fontanelice,<0.02,<1,183,48,0.1,41,531,Dati Medi Carta dei Servizi anno 2019 II Semestre,19,0.15,17,<5,1,<0.02,7.3,3,345,30,42
Comune,Ferrara,<0.02,2,166,51,0.2,24,440,Dati Medi Carta dei Servizi anno 2019 II Semestre,17,<0.10,11,<5,6,<0.02,7.6,3,313,19,29
Comune,Fiorano Modenese,<0.02,<1,230,122,0.04,154,1232,Dati Medi Carta dei Servizi anno 2019 II Semestre,37,<0.10,17,<5,15,<0.02,7.4,3,783,92,204
Comune,Formigine,<0.02,<1,286,165,0.1,153,1366,Dati Medi Carta dei Servizi anno 2019 II Semestre,51,<0.10,25,<5,28,<0.02,7.2,4,843,104,197
Comune,Frassinoro,0.02,<1,199,55,0.3,2,361,Dati Medi Carta dei Servizi anno 2019 II Semestre,16,<0.10,6,<5,1,<0.02,7.4,1,283,7,15
Comune,Faenza,0.02,1,192,50,0.1,11,413,Dati Medi Carta dei Servizi anno 2019 II Semestre,17,<0.10,10,<5,2,<0.02,7.6,2,303,16,20
Comune,Fusignano,0.04,<1,169,54,0.1,34,472,Dati Medi Carta dei Servizi anno 2019 II Semestre,19,<0.10,12,<5,5,<0.02,7.8,4,329,22,34
Comune,Firenzuola,<0.02,<1,94,25,0.1,4,197,Dati Medi Carta dei Servizi anno 2019 II Semestre,8,<0.10,4,<5,2,<0.02,7.7,<1,197,4,6
Comune,Forlì,<0.02,<1,205,59,0.1,14,446,Dati Medi Carta dei Servizi anno 2019 II Semestre,20,<0.10,13,<5,3,<0.02,7.6,2,319,11,23
Comune,Forlimpopoli,<0.02,<1,183,57,0.1,10,401,Dati Medi Carta dei Servizi anno 2019 II Semestre,19,<0.10,11,<5,2,<0.02,7.7,2,289,9,20
