alias_address,alias_city,geocode,geometry,georeferencingString,type
Comune,Alto Reno - loc. Porretta Terme,"Porretta Terme, Alto Reno Terme, Bologna","{'type': 'Point', 'coordinates': [10.975550000000055, 44.158300000000054]}","Alto Reno - loc. Porretta Terme, Emilia Romagna",POINT
Comune,Anzola dell'Emilia,"Anzola dell'Emilia, Bologna","{'type': 'Point', 'coordinates': [11.193010000000072, 44.54613000000006]}","Anzola dell'Emilia, Emilia Romagna",POINT
Comune,Argelato,"Argelato, Bologna","{'type': 'Point', 'coordinates': [11.343650000000025, 44.64567000000005]}","Argelato, Emilia Romagna",POINT
Comune,Argenta,"Argenta, Ferrara","{'type': 'Point', 'coordinates': [11.83224000000007, 44.61412000000007]}","Argenta, Emilia Romagna",POINT
Comune,Alfonsine,"Alfonsine, Ravenna","{'type': 'Point', 'coordinates': [12.044170000000065, 44.50609000000003]}","Alfonsine, Emilia Romagna",POINT
Comune,Baricella,"Baricella, Bologna","{'type': 'Point', 'coordinates': [11.53761000000003, 44.64888000000008]}","Baricella, Emilia Romagna",POINT
Comune,Bentivoglio,"Bentivoglio, Bologna","{'type': 'Point', 'coordinates': [11.415470000000028, 44.63627000000008]}","Bentivoglio, Emilia Romagna",POINT
Comune,Bologna,Bologna,"{'type': 'Point', 'coordinates': [11.345070000000021, 44.50484000000006]}","Bologna, Emilia Romagna",POINT
Comune,Borgo Tossignano,"Borgo Tossignano, Bologna","{'type': 'Point', 'coordinates': [11.588480000000061, 44.27839000000006]}","Borgo Tossignano, Emilia Romagna",POINT
Comune,Budrio,"Budrio, Bologna","{'type': 'Point', 'coordinates': [11.528190000000052, 44.54209000000003]}","Budrio, Emilia Romagna",POINT
Comune,Bondeno,"Bondeno, Ferrara","{'type': 'Point', 'coordinates': [11.410960000000046, 44.89098000000007]}","Bondeno, Emilia Romagna",POINT
Comune,Bagnacavallo,"Bagnacavallo, Ravenna","{'type': 'Point', 'coordinates': [11.979600000000062, 44.41823000000005]}","Bagnacavallo, Emilia Romagna",POINT
Comune,Bagnara di Romagna,"Bagnara di Romagna, Ravenna","{'type': 'Point', 'coordinates': [11.826200000000028, 44.390570000000025]}","Bagnara di Romagna, Emilia Romagna",POINT
Comune,Brisighella,"Brisighella, Ravenna","{'type': 'Point', 'coordinates': [11.775770000000023, 44.223610000000065]}","Brisighella, Emilia Romagna",POINT
Comune,Bellaria-Igea Marina,"Bellaria-Igea Marina, Rimini","{'type': 'Point', 'coordinates': [12.453130000000044, 44.15721000000008]}","Bellaria-Igea Marina, Emilia Romagna",POINT
Comune,Bagno di Romagna,"Bagno di Romagna, Forlì-Cesena","{'type': 'Point', 'coordinates': [11.959950000000049, 43.83644000000004]}","Bagno di Romagna, Emilia Romagna",POINT
Comune,Bertinoro,"Bertinoro, Forlì-Cesena","{'type': 'Point', 'coordinates': [12.133510000000058, 44.14928000000003]}","Bertinoro, Emilia Romagna",POINT
Comune,Borghi,"Borghi, Forlì-Cesena","{'type': 'Point', 'coordinates': [12.35710000000006, 44.03188000000006]}","Borghi, Emilia Romagna",POINT
Comune,Calderara di Reno,"Calderara di Reno, Bologna","{'type': 'Point', 'coordinates': [11.271120000000053, 44.56332000000003]}","Calderara di Reno, Emilia Romagna",POINT
Comune,Camugnano,"Camugnano, Bologna","{'type': 'Point', 'coordinates': [11.09686000000005, 44.17210000000006]}","Camugnano, Emilia Romagna",POINT
Comune,Casalecchio di Reno,"Casalecchio di Reno, Bologna","{'type': 'Point', 'coordinates': [11.278570000000059, 44.48037000000005]}","Casalecchio di Reno, Emilia Romagna",POINT
Comune,Casalfiumanese,"Casalfiumanese, Bologna","{'type': 'Point', 'coordinates': [11.631400000000042, 44.29913000000005]}","Casalfiumanese, Emilia Romagna",POINT
Comune,Castel d'Aiano,"Castel d'Aiano, Bologna","{'type': 'Point', 'coordinates': [11.001330000000053, 44.28025000000008]}","Castel d'Aiano, Emilia Romagna",POINT
Comune,Castel Del Rio,"Castel del Rio, Bologna","{'type': 'Point', 'coordinates': [11.504510000000039, 44.21099000000004]}","Castel Del Rio, Emilia Romagna",POINT
Comune,Castel di Casio,"Castel di Casio, Bologna","{'type': 'Point', 'coordinates': [11.035840000000064, 44.16348000000005]}","Castel di Casio, Emilia Romagna",POINT
Comune,Castel Guelfo di Bologna,"Castel Guelfo di Bologna, Bologna","{'type': 'Point', 'coordinates': [11.676420000000064, 44.433190000000025]}","Castel Guelfo di Bologna, Emilia Romagna",POINT
Comune,Castel Maggiore,"Castel Maggiore, Bologna","{'type': 'Point', 'coordinates': [11.363140000000044, 44.574380000000076]}","Castel Maggiore, Emilia Romagna",POINT
Comune,Castel San Pietro Terme,"Castel San Pietro Terme, Bologna","{'type': 'Point', 'coordinates': [11.587200000000053, 44.40180000000004]}","Castel San Pietro Terme, Emilia Romagna",POINT
Comune,Castello d'Argile,"Castello d'Argile, Bologna","{'type': 'Point', 'coordinates': [11.297840000000065, 44.68077000000005]}","Castello d'Argile, Emilia Romagna",POINT
Comune,Castenaso,"Castenaso, Bologna","{'type': 'Point', 'coordinates': [11.468990000000076, 44.50894000000005]}","Castenaso, Emilia Romagna",POINT
Comune,Castiglione dei Pepoli,"Castiglione dei Pepoli, Bologna","{'type': 'Point', 'coordinates': [11.15280000000007, 44.141440000000046]}","Castiglione dei Pepoli, Emilia Romagna",POINT
Comune,Cento,"Cento, Ferrara","{'type': 'Point', 'coordinates': [11.290460000000053, 44.731400000000065]}","Cento, Emilia Romagna",POINT
Comune,Castelfranco Emilia,"Castelfranco Emilia, Modena","{'type': 'Point', 'coordinates': [11.052550000000053, 44.595020000000034]}","Castelfranco Emilia, Emilia Romagna",POINT
Comune,Castelnuovo Rangone,"Castelnuovo Rangone, Modena","{'type': 'Point', 'coordinates': [10.939090000000022, 44.54898000000003]}","Castelnuovo Rangone, Emilia Romagna",POINT
Comune,Castelvetro di Modena,"Castelvetro di Modena, Modena","{'type': 'Point', 'coordinates': [10.94431000000003, 44.50452000000007]}","Castelvetro di Modena, Emilia Romagna",POINT
Comune,Casola Valsenio,"Casola Valsenio, Ravenna","{'type': 'Point', 'coordinates': [11.625600000000077, 44.22472000000005]}","Casola Valsenio, Emilia Romagna",POINT
Comune,Castel Bolognese,"Castel Bolognese, Ravenna","{'type': 'Point', 'coordinates': [11.799830000000043, 44.31950000000006]}","Castel Bolognese, Emilia Romagna",POINT
Comune,Cervia,"Cervia, Ravenna","{'type': 'Point', 'coordinates': [12.345870000000048, 44.26010000000008]}","Cervia, Emilia Romagna",POINT
