alias_city,alias_address,georeferencingString,type
Alto Reno - loc. Porretta Terme,Comune,"Alto Reno - loc. Porretta Terme, Emilia Romagna",POINT
Anzola dell'Emilia,Comune,"Anzola dell'Emilia, Emilia Romagna",POINT
Argelato,Comune,"Argelato, Emilia Romagna",POINT
Argenta,Comune,"Argenta, Emilia Romagna",POINT
Alfonsine,Comune,"Alfonsine, Emilia Romagna",POINT
Baricella,Comune,"Baricella, Emilia Romagna",POINT
Bentivoglio,Comune,"Bentivoglio, Emilia Romagna",POINT
Bologna,Comune,"Bologna, Emilia Romagna",POINT
Borgo Tossignano,Comune,"Borgo Tossignano, Emilia Romagna",POINT
Budrio,Comune,"Budrio, Emilia Romagna",POINT
Bondeno,Comune,"Bondeno, Emilia Romagna",POINT
Bagnacavallo,Comune,"Bagnacavallo, Emilia Romagna",POINT
Bagnara di Romagna,Comune,"Bagnara di Romagna, Emilia Romagna",POINT
Brisighella,Comune,"Brisighella, Emilia Romagna",POINT
Bellaria-Igea Marina,Comune,"Bellaria-Igea Marina, Emilia Romagna",POINT
Bagno di Romagna,Comune,"Bagno di Romagna, Emilia Romagna",POINT
Bertinoro,Comune,"Bertinoro, Emilia Romagna",POINT
Borghi,Comune,"Borghi, Emilia Romagna",POINT
Calderara di Reno,Comune,"Calderara di Reno, Emilia Romagna",POINT
Camugnano,Comune,"Camugnano, Emilia Romagna",POINT
Casalecchio di Reno,Comune,"Casalecchio di Reno, Emilia Romagna",POINT
Casalfiumanese,Comune,"Casalfiumanese, Emilia Romagna",POINT
Castel d'Aiano,Comune,"Castel d'Aiano, Emilia Romagna",POINT
Castel Del Rio,Comune,"Castel Del Rio, Emilia Romagna",POINT
Castel di Casio,Comune,"Castel di Casio, Emilia Romagna",POINT
Castel Guelfo di Bologna,Comune,"Castel Guelfo di Bologna, Emilia Romagna",POINT
Castel Maggiore,Comune,"Castel Maggiore, Emilia Romagna",POINT
Castel San Pietro Terme,Comune,"Castel San Pietro Terme, Emilia Romagna",POINT
Castello d'Argile,Comune,"Castello d'Argile, Emilia Romagna",POINT
Castenaso,Comune,"Castenaso, Emilia Romagna",POINT
Castiglione dei Pepoli,Comune,"Castiglione dei Pepoli, Emilia Romagna",POINT
Cento,Comune,"Cento, Emilia Romagna",POINT
Castelfranco Emilia,Comune,"Castelfranco Emilia, Emilia Romagna",POINT
Castelnuovo Rangone,Comune,"Castelnuovo Rangone, Emilia Romagna",POINT
Castelvetro di Modena,Comune,"Castelvetro di Modena, Emilia Romagna",POINT
Casola Valsenio,Comune,"Casola Valsenio, Emilia Romagna",POINT
Castel Bolognese,Comune,"Castel Bolognese, Emilia Romagna",POINT
Cervia,Comune,"Cervia, Emilia Romagna",POINT
Conselice,Comune,"Conselice, Emilia Romagna",POINT
Cotignola,Comune,"Cotignola, Emilia Romagna",POINT
Casteldelci,Comune,"Casteldelci, Emilia Romagna",POINT
Cattolica,Comune,"Cattolica, Emilia Romagna",POINT
Coriano,Comune,"Coriano, Emilia Romagna",POINT
Castrocaro terme e Terra del sole,Comune,"Castrocaro terme e Terra del sole, Emilia Romagna",POINT
Cesena,Comune,"Cesena, Emilia Romagna",POINT
Cesenatico,Comune,"Cesenatico, Emilia Romagna",POINT
Civitella di Romagna,Comune,"Civitella di Romagna, Emilia Romagna",POINT
Dozza,Comune,"Dozza, Emilia Romagna",POINT
Dovadola,Comune,"Dovadola, Emilia Romagna",POINT
Fontanelice,Comune,"Fontanelice, Emilia Romagna",POINT
Ferrara,Comune,"Ferrara, Emilia Romagna",POINT
Fiorano Modenese,Comune,"Fiorano Modenese, Emilia Romagna",POINT
Formigine,Comune,"Formigine, Emilia Romagna",POINT
Frassinoro,Comune,"Frassinoro, Emilia Romagna",POINT
Faenza,Comune,"Faenza, Emilia Romagna",POINT
Fusignano,Comune,"Fusignano, Emilia Romagna",POINT
Firenzuola,Comune,"Firenzuola, Emilia Romagna",POINT
Forlì,Comune,"Forlì, Emilia Romagna",POINT
Forlimpopoli,Comune,"Forlimpopoli, Emilia Romagna",POINT
Gaggio Montano,Comune,"Gaggio Montano, Emilia Romagna",POINT
Galliera,Comune,"Galliera, Emilia Romagna",POINT
Granarolo dell'Emilia,Comune,"Granarolo dell'Emilia, Emilia Romagna",POINT
Grizzana Morandi,Comune,"Grizzana Morandi, Emilia Romagna",POINT
Guiglia,Comune,"Guiglia, Emilia Romagna",POINT
Gemmano,Comune,"Gemmano, Emilia Romagna",POINT
Galeata,Comune,"Galeata, Emilia Romagna",POINT
Gambettola,Comune,"Gambettola, Emilia Romagna",POINT
Gatteo,Comune,"Gatteo, Emilia Romagna",POINT
Loiano,Comune,"Loiano, Emilia Romagna",POINT
Lama Mocogno,Comune,"Lama Mocogno, Emilia Romagna",POINT
Lugo,Comune,"Lugo, Emilia Romagna",POINT
Longiano,Comune,"Longiano, Emilia Romagna",POINT
Malalbergo,Comune,"Malalbergo, Emilia Romagna",POINT
Marzabotto,Comune,"Marzabotto, Emilia Romagna",POINT
Medicina,Comune,"Medicina, Emilia Romagna",POINT
Minerbio,Comune,"Minerbio, Emilia Romagna",POINT
Molinella,Comune,"Molinella, Emilia Romagna",POINT
Monghidoro,Comune,"Monghidoro, Emilia Romagna",POINT
Imola,Comune,"Imola, Emilia Romagna",POINT
Ozzano dell'Emilia,Comune,"Ozzano dell'Emilia, Emilia Romagna",POINT
Monte San Pietro,Comune,"Monte San Pietro, Emilia Romagna",POINT
Monterenzio,Comune,"Monterenzio, Emilia Romagna",POINT
Monzuno,Comune,"Monzuno, Emilia Romagna",POINT
Mordano,Comune,"Mordano, Emilia Romagna",POINT
Masi Torello,Comune,"Masi Torello, Emilia Romagna",POINT
Maranello,Comune,"Maranello, Emilia Romagna",POINT
Marano sul Panaro,Comune,"Marano sul Panaro, Emilia Romagna",POINT
Modena,Comune,"Modena, Emilia Romagna",POINT
Montecreto,Comune,"Montecreto, Emilia Romagna",POINT
Montefiorino,Comune,"Montefiorino, Emilia Romagna",POINT
Massa Lombarda,Comune,"Massa Lombarda, Emilia Romagna",POINT
Misano Adriatico,Comune,"Misano Adriatico, Emilia Romagna",POINT
Mondaino,Comune,"Mondaino, Emilia Romagna",POINT
Montefiore Conca,Comune,"Montefiore Conca, Emilia Romagna",POINT
Montegridolfo,Comune,"Montegridolfo, Emilia Romagna",POINT
Montescudo - Monte Colombo,Comune,"Montescudo - Monte Colombo, Emilia Romagna",POINT
Morciano di Romagna,Comune,"Morciano di Romagna, Emilia Romagna",POINT
Marradi,Comune,"Marradi, Emilia Romagna",POINT
Meldola,Comune,"Meldola, Emilia Romagna",POINT
Mercato Saraceno,Comune,"Mercato Saraceno, Emilia Romagna",POINT
Modigliana,Comune,"Modigliana, Emilia Romagna",POINT
