alias_address,alias_city,ammoniaca,arsenico,bicarbonato,calcio,cloro_residuo,cloruro,conducibilita,data_report,durezza,fluoruri,magnesio,manganese,nitrato,nitrito,ph,potassio,residuo_fisso,sodio,solfato
Tutte Le Zone,CALESTANO,<0.02,<1,316,89,0.17,4,458,periodo dal 01/07/2019 al 31/12/2019,26,<0.1,10,<1,2,<0.01,7.7,0.90,292,7,15
Tutte Le Zone,COLLECCHIO,<0.02,<1,367,117,0.13,31,689,periodo dal 01/07/2019 al 31/12/2019,36,<0.1,16,<1,33,<0.01,7.3,1.52,440,19,33
Tutte Le Zone,CORNIGLIO,<0.02,<1,264,72,0.16,3,402,periodo dal 01/07/2019 al 31/12/2019,22,<0.1,11,<1,1,<0.01,7.8,0.89,258,9,25
Tutte Le Zone,FELINO,<0.02,<1,364,115,0.16,27,620,periodo dal 01/07/2019 al 31/12/2019,35,<0.1,15,<1,16,<0.01,7.4,1.64,446,22,36
Tutte Le Zone,FONTEVIVO,<0.02,<1,414,122,0.11,37,765,periodo dal 01/07/2019 al 31/12/2019,41,<0.1,25,<1,35,<0.01,7.2,2.60,507,23,43
Tutte Le Zone,LANGHIRANO,<0.02,<1,346,97,0.15,10,496,periodo dal 01/07/2019 al 31/12/2019,30,0.16,15,<1,5,<0.01,7.6,1.85,352,13,28
Tutte Le Zone,LESIGNANO DE' BAGNI,<0.02,<1,287,77,0.16,12,476,periodo dal 01/07/2019 al 31/12/2019,24,<0.1,12,<1,1,<0.01,7.6,2.20,309,19,36
Tutte Le Zone,MEDESANO,<0.02,<1,280,75,0.12,48,626,periodo dal 01/07/2019 al 31/12/2019,26,<0.1,18,<1,4,<0.01,7.7,2.73,373,36,46
Tutte Le Zone,MEZZANI,<0.02,<1,327,119,0.07,30,627,periodo dal 01/07/2019 al 31/12/2019,35,<0.1,13,2.09,33,<0.01,7.3,1.84,434,16,42
Tutte Le Zone,MONCHIO DELLE CORTI,<0.02,<1,159,48,0.15,5,274,periodo dal 01/07/2019 al 31/12/2019,14,<0.1,4,<1,1,<0.01,7.8,0.62,158,6,13
Tutte Le Zone,MONTECHIARUGOLO,<0.02,<1,259,84,0.15,22,484,periodo dal 01/07/2019 al 31/12/2019,26,<0.1,12,<1,23,<0.01,7.0,1.26,341,21,29
Tutte Le Zone,NEVIANO DEGLI ARDUINI,0.02,<1,336,93,0.17,9,530,periodo dal 01/07/2019 al 31/12/2019,29,<0.1,15,<1,2,<0.01,7.6,2.00,346,14,37
Tutte Le Zone,NOCETO,<0.02,<1,417,124,0.16,35,756,periodo dal 01/07/2019 al 31/12/2019,42,<0.1,26,<1,24,<0.01,7.3,2.61,509,23,54
Tutte Le Zone,PALANZANO,<0.02,<1,318,83,0.16,4,484,periodo dal 01/07/2019 al 31/12/2019,27,<0.1,15,<1,1,<0.01,7.7,1.23,314,14,31
Tutte Le Zone,PARMA,<0.02,<1,288,104,0.12,37,566,periodo dal 01/07/2019 al 31/12/2019,31,<0.1,13,<1,26,<0.01,7.2,1.92,383,18,28
Tutte Le Zone,SALA BAGANZA,<0.02,<1,293,83,0.13,16,525,periodo dal 01/07/2019 al 31/12/2019,26,<0.1,13,<1,6,<0.01,7.6,1.98,328,17,32
Tutte Le Zone,SORBOLO,<0.02,<1,325,118,0.08,30,627,periodo dal 01/07/2019 al 31/12/2019,35,<0.1,13,<1,33,<0.01,7.3,1.82,429,16,41
Tutte Le Zone,TIZZANO VAL PARMA,<0.02,<1,279,77,0.18,5,431,periodo dal 01/07/2019 al 31/12/2019,24,<0.1,12,<1,2,<0.01,7.8,1.15,283,11,28
Tutte Le Zone,TRAVERSETOLO,<0.02,<1,427,144,0.16,70,896,periodo dal 01/07/2019 al 31/12/2019,45,<0.1,22,<1,32,<0.01,7.9,1.95,598,37,64
Tutte Le Zone,AGAZZANO,<0.02,<1,333,103,0.08,17,649,periodo dal 01/07/2019 al 31/12/2019,34,0.07,19,<1,25,<0.01,7.4,2.45,435,25,71
Tutte Le Zone,ALSENO,<0.02,0.1,256,72,0.05,18,458,periodo dal 01/07/2019 al 31/12/2019,23,<0.1,13,1.44,3,<0.01,7.8,1.7,277,13,22
Tutte Le Zone,BESENZONE,0.08,<1,378,108,0.06,26,684,periodo dal 01/07/2019 al 31/12/2019,37,<0.1,24,<1,20,0.03,7.5,1.66,455,21,50
Tutte Le Zone,BETTOLA,<0.02,<1,164,24,0.08,2,244,periodo dal 01/07/2019 al 31/12/2019,14,<0.1,20,<1,1,<0.01,8.0,0.63,160,4,7
Tutte Le Zone,BOBBIO,<0.02,<1,201,25,0.08,3,297,periodo dal 01/07/2019 al 31/12/2019,18,<0.1,28,<1,2,<0.01,8.0,0.44,196,4,13
Tutte Le Zone,BORGONOVO VAL TIDONE,<0.02,<1,346,100,0.08,14,616,periodo dal 01/07/2019 al 31/12/2019,34,<0.1,21,<1,20,<0.01,7.5,2.85,429,23,62
Tutte Le Zone,CADEO,<0.02,<1,372,113,0.06,11,618,periodo dal 01/07/2019 al 31/12/2019,35,<0.1,18,<1,36,<0.01,7.4,1.38,424,12,28
Tutte Le Zone,CALENDASCO,<0.02,<1,253,62,0.17,19,472,periodo dal 01/07/2019 al 31/12/2019,25,<0.1,23,<1,20,<0.01,7.8,1.10,302,11,23
Tutte Le Zone,CAMINATA,<0.02,<1,299,73,0.20,11,557,periodo dal 01/07/2019 al 31/12/2019,26,0.06,20,<1,5,<0.01,7.5,3.28,341,23,60
Tutte Le Zone,CAORSO,<0.02,0.11,429,103,0.07,9,677,periodo dal 01/07/2019 al 31/12/2019,41,<0.1,36,11,<0.5,0.01,7.5,1.72,453,10,58
Tutte Le Zone,CARPANETO PIACENTINO,<0.02,<1,311,117,0.12,64,690,periodo dal 01/07/2019 al 31/12/2019,36,<0.1,17,<1,21,<0.01,7.3,1.32,438,14,31
Tutte Le Zone,CASTEL SAN GIOVANNI,<0.02,0.03,320,103,0.15,17,621,periodo dal 01/07/2019 al 31/12/2019,32,0.15,16,<1,35,<0.01,7.1,1.93,416,22,53
Tutte Le Zone,CASTELL'ARQUATO,<0.02,0.11,222,61,0.05,16,391,periodo dal 01/07/2019 al 31/12/2019,20,0.02,12,2.75,1,<0.01,8.0,1.99,243,12,23
