alias_address,alias_address_value,alias_city,alias_province,geocode,geometry,georeferencingString,type
"Bedogno, Bergonzano, Calinzano, Casa Valle, La Valle E Puianello (Nella Zona Compresa Fra L&#39;Incrocio Con Via Napoli E Il Confim&Igrave;Ne Con Il Comune Di Vezzano)",267,QUATTRO CASTELLA,RE,"Bedogno, Quattro Castella, RE","{'type': 'Point', 'coordinates': [10.48598000000004, 44.60722000000004]}","Bedogno, QUATTRO CASTELLA, RE, Emilia Romagna",POINT
Tutte Le Zone,31,CALESTANO,PR,"Calestano, PR","{'type': 'Point', 'coordinates': [10.12190000000004, 44.601150000000075]}",", CALESTANO, PR, Emilia Romagna",POINT
Tutte Le Zone,2,COLLECCHIO,PR,"Collecchio, PR","{'type': 'Point', 'coordinates': [10.21592000000004, 44.75236000000007]}",", COLLECCHIO, PR, Emilia Romagna",POINT
Tutte Le Zone,48,CORNIGLIO,PR,"Corniglio, PR","{'type': 'Point', 'coordinates': [10.08907000000005, 44.475490000000036]}",", CORNIGLIO, PR, Emilia Romagna",POINT
Tutte Le Zone,3,FELINO,PR,"Felino, PR","{'type': 'Point', 'coordinates': [10.241190000000074, 44.69590000000005]}",", FELINO, PR, Emilia Romagna",POINT
Tutte Le Zone,5,FONTEVIVO,PR,"Fontevivo, PR","{'type': 'Point', 'coordinates': [10.174300000000073, 44.857470000000035]}",", FONTEVIVO, PR, Emilia Romagna",POINT
Tutte Le Zone,7,LANGHIRANO,PR,"Langhirano, PR","{'type': 'Point', 'coordinates': [10.264940000000024, 44.61512000000005]}",", LANGHIRANO, PR, Emilia Romagna",POINT
Tutte Le Zone,8,LESIGNANO DE' BAGNI,PR,"Lesignano de' Bagni, PR","{'type': 'Point', 'coordinates': [10.300640000000044, 44.64504000000005]}",", LESIGNANO DE' BAGNI, PR, Emilia Romagna",POINT
Tutte Le Zone,9,MEDESANO,PR,"Medesano, PR","{'type': 'Point', 'coordinates': [10.140750000000025, 44.75603000000007]}",", MEDESANO, PR, Emilia Romagna",POINT
Tutte Le Zone,10,MEZZANI,PR,"Via G. Mozzani, 43052, Colorno, PR","{'type': 'Point', 'coordinates': [10.375042500000001, 44.929791]}",", MEZZANI, PR, Emilia Romagna",POINT
Tutte Le Zone,35,MONCHIO DELLE CORTI,PR,"Monchio delle Corti, PR","{'type': 'Point', 'coordinates': [10.12268000000006, 44.41061000000008]}",", MONCHIO DELLE CORTI, PR, Emilia Romagna",POINT
