alias_province,alias_city,alias_address,alias_address_value,georeferencingString,type
PR,CALESTANO,Tutte Le Zone,31,", CALESTANO, PR, Emilia Romagna",POINT
PR,COLLECCHIO,Tutte Le Zone,2,", COLLECCHIO, PR, Emilia Romagna",POINT
PR,CORNIGLIO,Tutte Le Zone,48,", CORNIGLIO, PR, Emilia Romagna",POINT
PR,FELINO,Tutte Le Zone,3,", FELINO, PR, Emilia Romagna",POINT
PR,FONTEVIVO,Tutte Le Zone,5,", FONTEVIVO, PR, Emilia Romagna",POINT
PR,LANGHIRANO,Tutte Le Zone,7,", LANGHIRANO, PR, Emilia Romagna",POINT
PR,LESIGNANO DE' BAGNI,Tutte Le Zone,8,", LESIGNANO DE' BAGNI, PR, Emilia Romagna",POINT
PR,MEDESANO,Tutte Le Zone,9,", MEDESANO, PR, Emilia Romagna",POINT
PR,MEZZANI,Tutte Le Zone,10,", MEZZANI, PR, Emilia Romagna",POINT
PR,MONCHIO DELLE CORTI,Tutte Le Zone,35,", MONCHIO DELLE CORTI, PR, Emilia Romagna",POINT
PR,MONTECHIARUGOLO,Tutte Le Zone,11,", MONTECHIARUGOLO, PR, Emilia Romagna",POINT
PR,NEVIANO DEGLI ARDUINI,Tutte Le Zone,36,", NEVIANO DEGLI ARDUINI, PR, Emilia Romagna",POINT
PR,NOCETO,Tutte Le Zone,12,", NOCETO, PR, Emilia Romagna",POINT
PR,PALANZANO,Tutte Le Zone,433,", PALANZANO, PR, Emilia Romagna",POINT
PR,PARMA,Tutte Le Zone,1,", PARMA, PR, Emilia Romagna",POINT
PR,SALA BAGANZA,Tutte Le Zone,14,", SALA BAGANZA, PR, Emilia Romagna",POINT
PR,SORBOLO,Tutte Le Zone,18,", SORBOLO, PR, Emilia Romagna",POINT
PR,TIZZANO VAL PARMA,Tutte Le Zone,19,", TIZZANO VAL PARMA, PR, Emilia Romagna",POINT
PR,TRAVERSETOLO,Tutte Le Zone,20,", TRAVERSETOLO, PR, Emilia Romagna",POINT
PC,AGAZZANO,Tutte Le Zone,49,", AGAZZANO, PC, Emilia Romagna",POINT
PC,ALSENO,Tutte Le Zone,50,", ALSENO, PC, Emilia Romagna",POINT
PC,BESENZONE,Tutte Le Zone,51,", BESENZONE, PC, Emilia Romagna",POINT
PC,BETTOLA,Tutte Le Zone,52,", BETTOLA, PC, Emilia Romagna",POINT
PC,BOBBIO,Tutte Le Zone,53,", BOBBIO, PC, Emilia Romagna",POINT
PC,BORGONOVO VAL TIDONE,Tutte Le Zone,54,", BORGONOVO VAL TIDONE, PC, Emilia Romagna",POINT
PC,CADEO,Tutte Le Zone,55,", CADEO, PC, Emilia Romagna",POINT
PC,CALENDASCO,Tutte Le Zone,56,", CALENDASCO, PC, Emilia Romagna",POINT
PC,CAMINATA,Tutte Le Zone,57,", CAMINATA, PC, Emilia Romagna",POINT
PC,CAORSO,Tutte Le Zone,58,", CAORSO, PC, Emilia Romagna",POINT
PC,CARPANETO PIACENTINO,Tutte Le Zone,59,", CARPANETO PIACENTINO, PC, Emilia Romagna",POINT
PC,CASTEL SAN GIOVANNI,Tutte Le Zone,60,", CASTEL SAN GIOVANNI, PC, Emilia Romagna",POINT
PC,CASTELL'ARQUATO,Tutte Le Zone,61,", CASTELL'ARQUATO, PC, Emilia Romagna",POINT
PC,CASTELVETRO PIACENTINO,Tutte Le Zone,62,", CASTELVETRO PIACENTINO, PC, Emilia Romagna",POINT
PC,CERIGNALE,Tutte Le Zone,65,", CERIGNALE, PC, Emilia Romagna",POINT
PC,COLI,Tutte Le Zone,63,", COLI, PC, Emilia Romagna",POINT
PC,CORTE BRUGNATELLA,Tutte Le Zone,64,", CORTE BRUGNATELLA, PC, Emilia Romagna",POINT
PC,CORTEMAGGIORE,Tutte Le Zone,437,", CORTEMAGGIORE, PC, Emilia Romagna",POINT
PC,FARINI,Tutte Le Zone,66,", FARINI, PC, Emilia Romagna",POINT
PC,FERRIERE,Tutte Le Zone,67,", FERRIERE, PC, Emilia Romagna",POINT
PC,FIORENZUOLA D'ARDA,Tutte Le Zone,68,", FIORENZUOLA D'ARDA, PC, Emilia Romagna",POINT
PC,GAZZOLA,Tutte Le Zone,69,", GAZZOLA, PC, Emilia Romagna",POINT
PC,GOSSOLENGO,Tutte Le Zone,70,", GOSSOLENGO, PC, Emilia Romagna",POINT
PC,GRAGNANO TREBBIENSE,Tutte Le Zone,71,", GRAGNANO TREBBIENSE, PC, Emilia Romagna",POINT
PC,GROPPARELLO,Tutte Le Zone,72,", GROPPARELLO, PC, Emilia Romagna",POINT
PC,LUGAGNANO VAL D'ARDA,Tutte Le Zone,73,", LUGAGNANO VAL D'ARDA, PC, Emilia Romagna",POINT
PC,MONTICELLI D'ONGINA,Tutte Le Zone,74,", MONTICELLI D'ONGINA, PC, Emilia Romagna",POINT
PC,MORFASSO,Tutte Le Zone,75,", MORFASSO, PC, Emilia Romagna",POINT
PC,NIBBIANO,Tutte Le Zone,76,", NIBBIANO, PC, Emilia Romagna",POINT
PC,OTTONE,Tutte Le Zone,77,", OTTONE, PC, Emilia Romagna",POINT
PC,PECORARA,Tutte Le Zone,78,", PECORARA, PC, Emilia Romagna",POINT
PC,PIACENZA,Tutte Le Zone,79,", PIACENZA, PC, Emilia Romagna",POINT
PC,PIANELLO VAL TIDONE,Tutte Le Zone,80,", PIANELLO VAL TIDONE, PC, Emilia Romagna",POINT
PC,PIOZZANO,Tutte Le Zone,81,", PIOZZANO, PC, Emilia Romagna",POINT
PC,PODENZANO,Tutte Le Zone,82,", PODENZANO, PC, Emilia Romagna",POINT
PC,PONTE DELL'OLIO,Tutte Le Zone,83,", PONTE DELL'OLIO, PC, Emilia Romagna",POINT
PC,PONTENURE,Tutte Le Zone,84,", PONTENURE, PC, Emilia Romagna",POINT
PC,RIVERGARO,Tutte Le Zone,85,", RIVERGARO, PC, Emilia Romagna",POINT
PC,ROTTOFRENO,Tutte Le Zone,86,", ROTTOFRENO, PC, Emilia Romagna",POINT
PC,SAN GIORGIO PIACENTINO,Tutte Le Zone,87,", SAN GIORGIO PIACENTINO, PC, Emilia Romagna",POINT
PC,SAN PIETRO IN CERRO,Tutte Le Zone,96,", SAN PIETRO IN CERRO, PC, Emilia Romagna",POINT
PC,SARMATO,Tutte Le Zone,88,", SARMATO, PC, Emilia Romagna",POINT
PC,TRAVO,Tutte Le Zone,89,", TRAVO, PC, Emilia Romagna",POINT
PC,VERNASCA,Tutte Le Zone,90,", VERNASCA, PC, Emilia Romagna",POINT
PC,VIGOLZONE,Tutte Le Zone,91,", VIGOLZONE, PC, Emilia Romagna",POINT
PC,VILLANOVA SULL'ARDA,Tutte Le Zone,92,", VILLANOVA SULL'ARDA, PC, Emilia Romagna",POINT
PC,ZERBA,Tutte Le Zone,93,", ZERBA, PC, Emilia Romagna",POINT
PC,ZIANO PIACENTINO,Tutte Le Zone,94,", ZIANO PIACENTINO, PC, Emilia Romagna",POINT
RE,ALBINEA,Albinea Tutte Le Altre Zone,174,"Albinea Tutte Le Altre Zone, ALBINEA, RE, Emilia Romagna",POINT
RE,ALBINEA,"Capriolo, Caselline, La Razza",380,"Capriolo, Caselline, La Razza, ALBINEA, RE, Emilia Romagna",POINT
RE,BAGNOLO IN PIANO,Bagnolo In Piano,176,"Bagnolo In Piano, BAGNOLO IN PIANO, RE, Emilia Romagna",POINT
RE,BAISO,Baiso,177,"Baiso, BAISO, RE, Emilia Romagna",POINT
RE,BIBBIANO,Piazzola,178,"Piazzola, BIBBIANO, RE, Emilia Romagna",POINT
RE,BIBBIANO,Ghiardo E Zona Industriale,179,"Ghiardo E Zona Industriale, BIBBIANO, RE, Emilia Romagna",POINT
RE,BIBBIANO,Bibbiano Centro,180,"Bibbiano Centro, BIBBIANO, RE, Emilia Romagna",POINT
RE,BIBBIANO,Corniano,181,"Corniano, BIBBIANO, RE, Emilia Romagna",POINT
RE,BIBBIANO,Fossa Di Barco,182,"Fossa Di Barco, BIBBIANO, RE, Emilia Romagna",POINT
RE,BIBBIANO,Barco E Zona Ind. Barco,183,"Barco E Zona Ind. Barco, BIBBIANO, RE, Emilia Romagna",POINT
RE,BORETTO,Boretto,184,"Boretto, BORETTO, RE, Emilia Romagna",POINT
RE,BRESCELLO,Brescello,185,"Brescello, BRESCELLO, RE, Emilia Romagna",POINT
RE,BUSANA,"Campeggio, Tavernetta E Hotel Ilton",187,"Campeggio, Tavernetta E Hotel Ilton, BUSANA, RE, Emilia Romagna",POINT
RE,BUSANA,"Cervarezza, Frassinedolo, C&Agrave; De Ferrari, Casale Di Talada",188,"Cervarezza, Frassinedolo, C&Agrave; De Ferrari, Casale Di Talada, BUSANA, RE, Emilia Romagna",POINT
RE,CADELBOSCO DI SOPRA,Cadelbosco Sopra,189,"Cadelbosco Sanpra, CADELBOSCO DI SOPRA, RE, Emilia Romagna",POINT
RE,CAMPAGNOLA EMILIA,Campagnola Emilia,190,"Campagnola Emilia, CAMPAGNOLA EMILIA, RE, Emilia Romagna",POINT
RE,CAMPEGINE,Campegine,191,"Campegine, CAMPEGINE, RE, Emilia Romagna",POINT
RE,CANOSSA,Carbonizzo,192,"Carbonizzo, CANOSSA, RE, Emilia Romagna",POINT
RE,CANOSSA,Cerezzola,193,"Cerezzola, CANOSSA, RE, Emilia Romagna",POINT
RE,CANOSSA,Ciano D'Enza,194,"Ciano D'Enza, CANOSSA, RE, Emilia Romagna",POINT
RE,CANOSSA,Vico,195,"Vico, CANOSSA, RE, Emilia Romagna",POINT
RE,CANOSSA,Canossa Tutte Le Altre Zone,196,"Canossa Tutte Le Altre Zone, CANOSSA, RE, Emilia Romagna",POINT
RE,CARPINETI,Carpineti,197,"Carpineti, CARPINETI, RE, Emilia Romagna",POINT
RE,CASALGRANDE,S. Donnino,198,"San Donnino, CASALGRANDE, RE, Emilia Romagna",POINT
RE,CASALGRANDE,Casalgrande Tutte Le Altre Zone,199,"Casalgrande Tutte Le Altre Zone, CASALGRANDE, RE, Emilia Romagna",POINT
RE,CASALGRANDE,Via Statuaria Dal Rio Riazzone A Piazza Spinelli,401,"Via Sanatuaria Dal Rio Riazzone A Piazza Saninelli, CASALGRANDE, RE, Emilia Romagna",POINT
RE,CASINA,Casina,200,"Casina, CASINA, RE, Emilia Romagna",POINT
RE,CASTELLARANO,Roteglia,201,"Roteglia, CASTELLARANO, RE, Emilia Romagna",POINT
RE,CASTELLARANO,Castellarano Tutte Le Altre Zone,202,"Castellarano Tutte Le Altre Zone, CASTELLARANO, RE, Emilia Romagna",POINT
RE,CASTELNOVO DI SOTTO,Castelnovo Sotto,204,"Castelnovo Santto, CASTELNOVO DI SOTTO, RE, Emilia Romagna",POINT
RE,CASTELNOVO NE' MONTI,Castelnovo Ne' Monti,203,"Castelnovo Ne' Monti, CASTELNOVO NE' MONTI, RE, Emilia Romagna",POINT
RE,CAVRIAGO,Corte Tegge,205,"Corte Tegge, CAVRIAGO, RE, Emilia Romagna",POINT
RE,CAVRIAGO,Zona Ind. Corte Tegge,206,"Zona Ind. Corte Tegge, CAVRIAGO, RE, Emilia Romagna",POINT
RE,CAVRIAGO,Cavriago Tutte Le Altre Zone,207,"Cavriago Tutte Le Altre Zone, CAVRIAGO, RE, Emilia Romagna",POINT
RE,COLLAGNA,Cerreto Alpi,208,"Cerreto Alpi, COLLAGNA, RE, Emilia Romagna",POINT
RE,COLLAGNA,Cerreto Lago,209,"Cerreto Lago, COLLAGNA, RE, Emilia Romagna",POINT
RE,COLLAGNA,Cerreto Passo,210,"Cerreto Passo, COLLAGNA, RE, Emilia Romagna",POINT
RE,COLLAGNA,Collagna Centro,211,"Collagna Centro, COLLAGNA, RE, Emilia Romagna",POINT
RE,COLLAGNA,Oratorio,212,"Oratorio, COLLAGNA, RE, Emilia Romagna",POINT
RE,COLLAGNA,Ponte Del Barone,213,"Ponte Del Barone, COLLAGNA, RE, Emilia Romagna",POINT
RE,COLLAGNA,Valbona,214,"Valbona, COLLAGNA, RE, Emilia Romagna",POINT
