alias_address,alias_city,ammoniaca,calcio,cloro_residuo,conducibilita,data_report,durezza,ferro,magnesio,ph
Territorio,Terenzo Scuole (Servizi igienici),<0.05,13,0.15,90,29 aprile 2020,,,<2,7.5
Territorio,Fornovo di Taro Scuole (Servizi igienici),<0.05,80,0.12,610,29 aprile 2020,29,,23,7.7
Territorio,Fornovo di Taro Serbatoio Tebaldi,<0.05,80,0.15,609,29 aprile 2020,29,,23,7.7
Territorio,Terenzo Municipio,<0.05,90,0.17,496,29 aprile 2020,28,,13,7.6
Territorio,Varsi Scuole (Servizi igienici),<0.05,57,0.64,395,21 aprile 2020,20,,15,7.9
Territorio,Varano Melegari  Scuole (Servizi igienici),<0.05,87,0.14,616,21 aprile 2020,31,,21,7.6
Territorio,Valmozzola Prelerna cimitero (Acq Monte Barigazzo) (punto unico con Solignano),<0.05,49,0.19,320,21 aprile 2020,18,,14,8.0
Territorio,Tornolo Scuole (Servizi igienici) Tarsogno,<0.05,12,0.18,83,21 aprile 2020,3.0,,<2,7.5
Territorio,Tornolo Piazza del monumento (municipio Tornolo),<0.05,14,0.15,91,21 aprile 2020,3.6,,<2,8.3
Territorio,Tornolo Scuole (Servizi igienici),<0.05,14,0.15,91,21 aprile 2020,3.6,,<2,8.2
Territorio,Pellegrino Parmense Scuole (Servizi igienici),<0.05,98,0.21,526,21 aprile 2020,,,10,
Territorio,Pellegrino Parmense Casa Rossa / Fontana via Roma,<0.05,98,0.21,526,21 aprile 2020,29,,10,
Territorio,Compiano P.zza Duca Abruzzi,<0.05,70,0.17,346,21 aprile 2020,20,,5.7,7.8
Territorio,Bedonia Scuole (Servizi igienici),<0.05,76,0.11,358,21 aprile 2020,20,,3.1,7.6
Territorio,Compiano Scuole Isola (servizi igienici),<0.05,70,0.20,345,21 aprile 2020,20,,5.7,7.9
Territorio,Varano De’ Melegari via G. Marconi,<0.05,88,0.16,613,21 aprile 2020,,,21,7.6
Territorio,Bedonia Castagnola,<0.05,86,0.10,388,21 aprile 2020,22,,2.1,7.9
Territorio,Bedonia Piazza Municipo,<0.05,87,0.15,391,21 aprile 2020,23,,2.1,8.0
Territorio,Bedonia Piazza Seminario,<0.05,76,0.18,357,21 aprile 2020,20,,3.2,7.6
Territorio,Bardi Scuole (Servizi igienici),<0.05,50,0.19,355,31 marzo 2020,18,,14,7.7
Territorio,Bardi Piazza Vittoria,<0.05,51,0.22,353,31 marzo 2020,18,,14,7.7
Territorio,Solignano Scuole (Servizi igienici),<0.05,70,0.52,460,30 marzo 2020,24,,16,7.8
Territorio,Solignano Cimitero Rubbiano,<0.05,68,0.36,445,30 marzo 2020,23,,15,7.7
Territorio,Solignano Fontanella Stazione,<0.05,70,0.52,460,30 marzo 2020,24,,16,7.8
Territorio,Bore Scuole (Servizi igienici),<0.05,80,0.24,393,30 marzo 2020,22,,5.8,7.9
Territorio,Bore Fontana capoluogo via Roma,<0.05,81,0.26,392,30 marzo 2020,23,,5.9,7.9
Territorio,Fornovo di Taro Stazione FS Fornovo,<0.05,82,0.50,609,03 marzo 2020,30,,24,7.8
Territorio,Fornovo di Taro Asilo Riccò,<0.05,83,0.22,610,03 marzo 2020,30,,24,7.9
Territorio,Borgo Val di Taro Asilo San Rocco,<0.05,12,0.25,84,03 marzo 2020,3,17,<2,7.6
Territorio,Borgo Val di Taro Giardini  IV Novembre,<0.05,6.3,0.19,<50,03 marzo 2020,2,14,<2,7.4
Territorio,Borgo Val di Taro P.zza Cavour,<0.05,10,0.10,74.0,03 marzo 2020,3,69,<2,7.6
Territorio,Piantonia cimitero (Monte Bosso) Fornovo,<0.05,23,0.18,336,03 marzo 2020,20,,35,8.1
Territorio,Varsi P.zza Chiesa,<0.05,55,0.26,373,15 novembre 2019,20,,15,8.1
Territorio,Tornolo Santa Maria Taro / Fontana chiesa,<0.05,16,<0.05,102,15 novembre 2019,5,,3,8.1
Territorio,Compiano Isola,<0.05,74,<0.05,373,15 novembre 2019,21,,7,8.1
Territorio,Albareto Scuole (Servizi igienici),<0.05,14,0.20,93,02 agosto 2019,4,40,<2,7.7
Territorio,Albareto Municipio,<0.05,14,0.20,91,02 agosto 2019,4,26,<2,7.7
Territorio,Valmozzola Stazione,<0.05,94,0.20,507,18 giugno 2019,29,,13,7.4
Territorio,Terenzo Palmia / Fontana paese (Monte bosso),<0.05,95,0.12,462,20 maggio 2019,27,,8.5,7.8
Territorio,Terenzo Prinzera belvedere (punto unico con Fornovo),<0.05,33,0.12,500,20 maggio 2019,29,,50,7.7
