alias_address,alias_city,geocode,geometry,georeferencingString,type
Territorio,Varsi P.zza Chiesa,"Varsi, PR","{'type': 'Point', 'coordinates': [9.846050000000048, 44.662840000000074]}",Varsi PR,POINT
Territorio,Bedonia Piazza Municipo,"Bedonia, PR","{'type': 'Point', 'coordinates': [9.62987000000004, 44.50469000000004]}",Bedonia PR,POINT
Territorio,Terenzo Scuole (Servizi igienici),"Strada della Posta 15, 43040, Terenzo, PR","{'type': 'Point', 'coordinates': [10.089638298084141, 44.61022643825374]}","Str. della Posta, 15, 43040 Terenzo PR, Italy",POINT
Territorio,Fornovo di Taro Scuole (Servizi igienici),"Via Guglielmo Marconi 23, 43045, Fornovo di Taro, PR","{'type': 'Point', 'coordinates': [10.101330431011734, 44.68921248017759]}","Via Guglielmo Marconi, 23, 43045 Fornovo di Taro PR, Italy",POINT
Territorio,Fornovo di Taro Serbatoio Tebaldi,"Piazza Libertà 10, 43045, Fornovo di Taro, PR","{'type': 'Point', 'coordinates': [10.099052568988283, 44.68970651982241]}","Piazza Libertà, 10, 43045 Fornovo di Taro PR, Italy",POINT
Territorio,Terenzo Municipio,"Strada Municipio, 43040, Terenzo, Parma","{'type': 'Point', 'coordinates': [10.088115313930759, 44.609753052027514]}","Terenzo Municipio, Terenzo, Province of Parma, Italy",POINT
Territorio,Varsi Scuole (Servizi igienici),"Strada Perotti 77, 43049, Varsi, PR","{'type': 'Point', 'coordinates': [9.853150050120792, 44.660260719771166]}","Str. Perotti, 77, 43049 Varsi PR, Italy",POINT
Territorio,Varano Melegari  Scuole (Servizi igienici),"Via Castagnola 2, 43040, Varano de' Melegari, PR","{'type': 'Point', 'coordinates': [10.01569644491886, 44.68671280930822]}","Via Castagnola, 2, 43040 Varano de' Melegari PR, Italy",POINT
Territorio,Valmozzola Prelerna cimitero (Acq Monte Barigazzo) (punto unico con Solignano),"Località Pieve Gusaliggio 38, 43050, Valmozzola, PR","{'type': 'Point', 'coordinates': [9.868686664435414, 44.5810773444514]}","Località Pieve Gusaliggio, 38-42, 43050 Solignano PR, Italy",POINT
Territorio,Tornolo Scuole (Servizi igienici) Tarsogno,"Via Promenade, 43059, Tornolo, PR","{'type': 'Point', 'coordinates': [9.623136873349685, 44.484485143839386]}","Via Promenade, 2, 43059 Tornolo PR, Italy",POINT
Territorio,Tornolo Piazza del monumento (municipio Tornolo),"Via Promenade 1, 43059, Tornolo, PR","{'type': 'Point', 'coordinates': [9.624602902302517, 44.48479984041202]}","Via Promenade, 1, 43059 Tornolo PR, Italy",POINT
Territorio,Tornolo Scuole (Servizi igienici),"Via Promenade 1, 43059, Tornolo, PR","{'type': 'Point', 'coordinates': [9.624602902302517, 44.48479984041202]}","Via Promenade, 1, 43059 Tornolo PR, Italy",POINT
