alias_city,georeferencingString,alias_address,type
Terenzo Scuole (Servizi igienici),"Str. della Posta, 15, 43040 Terenzo PR, Italy",Territorio,POINT
Fornovo di Taro Scuole (Servizi igienici),"Via Guglielmo Marconi, 23, 43045 Fornovo di Taro PR, Italy",Territorio,POINT
Fornovo di Taro Serbatoio Tebaldi,"Piazza Libertà, 10, 43045 Fornovo di Taro PR, Italy",Territorio,POINT
Terenzo Municipio,"Terenzo Municipio, Terenzo, Province of Parma, Italy",Territorio,POINT
Varsi Scuole (Servizi igienici),"Str. Perotti, 77, 43049 Varsi PR, Italy",Territorio,POINT
Varano Melegari  Scuole (Servizi igienici),"Via Castagnola, 2, 43040 Varano de' Melegari PR, Italy",Territorio,POINT
Valmozzola Prelerna cimitero (Acq Monte Barigazzo) (punto unico con Solignano),"Località Pieve Gusaliggio, 38-42, 43050 Solignano PR, Italy",Territorio,POINT
Tornolo Scuole (Servizi igienici) Tarsogno,"Via Promenade, 2, 43059 Tornolo PR, Italy",Territorio,POINT
Tornolo Piazza del monumento (municipio Tornolo),"Via Promenade, 1, 43059 Tornolo PR, Italy",Territorio,POINT
Tornolo Scuole (Servizi igienici),"Via Promenade, 1, 43059 Tornolo PR, Italy",Territorio,POINT
Pellegrino Parmense Scuole (Servizi igienici),"Piazza L. Berzieri, 28, 43047 Pellegrino Parmense PR, Italy",Territorio,POINT
Pellegrino Parmense Casa Rossa / Fontana via Roma,"Via Roma, 57, 43047 Pellegrino Parmense PR, Italy",Territorio,POINT
Compiano P.zza Duca Abruzzi,"Via Marco Rossi Sidoli, 21, 43053 Compiano PR, Italy",Territorio,POINT
Bedonia Scuole (Servizi igienici),"Via Serpaglio, 21, 43041 Bedonia PR, Italy",Territorio,POINT
Compiano Scuole Isola (servizi igienici),"43053 Isola Province of Parma, Italy",Territorio,POINT
Varano De’ Melegari via G. Marconi,"Via Guglielmo Marconi, 43040 Varano de' Melegari PR, Italy",Territorio,POINT
Bedonia Castagnola,"Castagnola, Bedonia, Province of Parma, Italy",Territorio,POINT
Bedonia Piazza Municipo,"Municipio di Bedonia, Piazza Caduti per la Patria, Bedonia, Province of Parma, Italy",Territorio,POINT
Bedonia Piazza Seminario,"Seminario Vescovile Di Bedonia, via Don S.Raffi, Bedonia, Province of Parma, Italy",Territorio,POINT
Bardi Scuole (Servizi igienici),"SP359R, 5, 43032 Bardi PR, Italy",Territorio,POINT
Bardi Piazza Vittoria,"Piazza Vittoria, Bardi, Province of Parma, Italy",Territorio,POINT
Solignano Scuole (Servizi igienici),"Via Giuseppe Verdi, 12, 43040 Solignano PR, Italy",Territorio,POINT
Solignano Cimitero Rubbiano,"Via Giuseppe Verdi, 12, 43040 Solignano PR, Italy",Territorio,POINT
Solignano Fontanella Stazione,"Via Roma, 6, 43040 Solignano PR, Italy",Territorio,POINT
Bore Scuole (Servizi igienici),"Via S. Lorenzo, 6, 43030 Bore PR, Italy",Territorio,POINT
Bore Fontana capoluogo via Roma,"SP359R, 39, 43030 Bore PR, Italy",Territorio,POINT
Fornovo di Taro Stazione FS Fornovo,"Via Antonio Gramsci, 23, 43045 Fornovo di Taro PR, Italy",Territorio,POINT
Fornovo di Taro Asilo Riccò,"SS62, 34, 43045 Riccò PR, Italy",Territorio,POINT
Borgo Val di Taro Asilo San Rocco,"SP523, 43043 Borgo Val di Taro PR, Italy",Territorio,POINT
Borgo Val di Taro Giardini  IV Novembre,"Via della Repubblica, 6, 43043 Borgo Val di Taro PR, Italy",Territorio,POINT
Borgo Val di Taro P.zza Cavour,"Via Fabio Filzi, 4, 43043 Borgo Val di Taro PR, Italy",Territorio,POINT
Piantonia cimitero (Monte Bosso) Fornovo,"Piantonia, Fornovo di Taro, Province of Parma, Italy",Territorio,POINT
Varsi P.zza Chiesa,"Via Provinciale, 4, 43049 Varsi PR, Italy",Territorio,POINT
Tornolo Santa Maria Taro / Fontana chiesa,"Via Preilo, 7, 43059 Tornolo PR, Italy",Territorio,POINT
Compiano Isola,"Frazione Isola, 77, 43053 Isola PR, Italy",Territorio,POINT
Albareto Scuole (Servizi igienici),"Scuola Primaria E Secondaria Di Primo Grado, Via Anna Frank, Borgo Val di Taro, Province of Parma, Italy",Territorio,POINT
Albareto Municipio,"Albareto Municipio, Albareto, Province of Parma, Italy",Territorio,POINT
Valmozzola Stazione,"Valmozzola Stazione, Valmozzola, Province of Parma, Italy",Territorio,POINT
Terenzo Palmia / Fontana paese (Monte bosso),"Str. della Posta, 27, 43040 Terenzo PR, Italy",Territorio,POINT
Terenzo Prinzera belvedere (punto unico con Fornovo),"Str. Terenzo - Bardone, 8, 43040 Terenzo PR, Italy",Territorio,POINT
