POINTKey,alias_address,alias_city,geocode,geometry,georeferencingString,type
BORDANO,LOCALITA' STAVOLI CAMPO,BORDANO,"Bordano, UTI del Gemonese, Friuli Venezia Giulia, Italia","{'type': 'Point', 'coordinates': [13.104621, 46.315327]}",BORDANO,POINT
CHIUSAFORTE,FRAZ. PEZZEIT,CHIUSAFORTE,"Chiusaforte, UTI del Canal del Ferro - Val Canale, Friuli Venezia Giulia, Italia","{'type': 'Point', 'coordinates': [13.309025, 46.4083337]}",CHIUSAFORTE,POINT
CIVIDALE DEL FRIULI,BORGO BROSSANA,CIVIDALE DEL FRIULI,"Cividale del Friuli, UTI del Natisone, Friuli Venezia Giulia, 33043, Italia","{'type': 'Point', 'coordinates': [13.4303277, 46.0936233]}",CIVIDALE DEL FRIULI,POINT
DOGNA,FRAZIONE BALADOR,DOGNA,"Dogna, UTI del Canal del Ferro - Val Canale, Friuli Venezia Giulia, Italia","{'type': 'Point', 'coordinates': [13.3150229, 46.4479321]}",DOGNA,POINT
FIUMICELLO VILLA VICENTINA,BORGO CANDALETIS,FIUMICELLO VILLA VICENTINA,"Fiumicello Villa Vicentina, UTI Agro Aquileiese, Friuli Venezia Giulia, 33059, Italia","{'type': 'Point', 'coordinates': [13.413018658333332, 45.7836083]}",FIUMICELLO VILLA VICENTINA,POINT
FORNI AVOLTRI,CASE SPARSE CASOLARE CIOLOS,FORNI AVOLTRI,"Forni Avoltri, UTI della Carnia, Friuli Venezia Giulia, Italia","{'type': 'Point', 'coordinates': [12.776908, 46.586831]}",FORNI AVOLTRI,POINT
MALBORGHETTO VALBRUNA,BORGO ALTO,MALBORGHETTO VALBRUNA,"Malborghetto Valbruna, UTI del Canal del Ferro - Val Canale, Friuli Venezia Giulia, Italia","{'type': 'Point', 'coordinates': [13.433149879990614, 46.49784915]}",MALBORGHETTO VALBRUNA,POINT
MOGGIO UDINESE,BORGO AUPA,MOGGIO UDINESE,"Moggio Udinese, UTI del Canal del Ferro - Val Canale, Friuli Venezia Giulia, 33015, Italia","{'type': 'Point', 'coordinates': [13.197221, 46.40763]}",MOGGIO UDINESE,POINT
MONTENARS,BORGO BULONS,MONTENARS,"Montenars, UTI del Gemonese, Friuli Venezia Giulia, Italia","{'type': 'Point', 'coordinates': [13.178824, 46.255026]}",MONTENARS,POINT
OVARO,BORGO DI SOPRA,OVARO,"Ovaro, UTI della Carnia, Friuli Venezia Giulia, 33025, Italia","{'type': 'Point', 'coordinates': [12.8653894, 46.4829428]}",OVARO,POINT
PAULARO,BORGO DEI MULINI,PAULARO,"Paularo, UTI della Carnia, Friuli Venezia Giulia, 33027, Italia","{'type': 'Point', 'coordinates': [13.1165605, 46.5303455]}",PAULARO,POINT
PONTEBBA,CASALE COSTA,PONTEBBA,"Pontebba, UTI del Canal del Ferro - Val Canale, Friuli Venezia Giulia, 33016, Italia","{'type': 'Point', 'coordinates': [13.3064259, 46.5065309]}",PONTEBBA,POINT
PRATO CARNICO,FRAZ. PIERA,PRATO CARNICO,"Prato Carnico, UTI della Carnia, Friuli Venezia Giulia, Italia","{'type': 'Point', 'coordinates': [12.8093611, 46.520705]}",PRATO CARNICO,POINT
RAVASCLETTO,CONDOMINIO AL SOLE,RAVASCLETTO,"Ravascletto, UTI della Carnia, Friuli Venezia Giulia, Italia","{'type': 'Point', 'coordinates': [12.9221152, 46.5229362]}",RAVASCLETTO,POINT
RAVEO,FRAZIONE ESEMON DI SOPRA,RAVEO,"Raveo, UTI della Carnia, Friuli Venezia Giulia, Italia","{'type': 'Point', 'coordinates': [12.871113, 46.434428]}",RAVEO,POINT
RESIA,LOC. BOROVICIE,RESIA,"Resia, UTI del Canal del Ferro - Val Canale, Friuli Venezia Giulia, Italia","{'type': 'Point', 'coordinates': [13.336066288071667, 46.34737345]}",RESIA,POINT
RESIUTTA,FRAZIONE POVICI DI SOPRA,RESIUTTA,"Resiutta, UTI del Canal del Ferro - Val Canale, Friuli Venezia Giulia, Italia","{'type': 'Point', 'coordinates': [13.218578, 46.393086]}",RESIUTTA,POINT
