alias_address,alias_city,georeferencingString,type
LOCALITA' NOVACCA,AIELLO DEL FRIULI,AIELLO DEL FRIULI,POLYGON
LOCALITA' NOVACCO,AIELLO DEL FRIULI,AIELLO DEL FRIULI,POLYGON
LOCALITA' UTTANO,AIELLO DEL FRIULI,AIELLO DEL FRIULI,POLYGON
PIAZZA ROMA,AIELLO DEL FRIULI,AIELLO DEL FRIULI,POLYGON
STRADA PROVINCIALE 126 DI VISCO,AIELLO DEL FRIULI,AIELLO DEL FRIULI,POLYGON
VIA ALESSANDRO MANZONI,AIELLO DEL FRIULI,AIELLO DEL FRIULI,POLYGON
VIA ALESSANDRO VOLTA,AIELLO DEL FRIULI,AIELLO DEL FRIULI,POLYGON
VIA C. BATTISTI,AIELLO DEL FRIULI,AIELLO DEL FRIULI,POLYGON
VIA CADUTI DI NASSIRIYA,AIELLO DEL FRIULI,AIELLO DEL FRIULI,POLYGON
VIA CASA BIANCA,AIELLO DEL FRIULI,AIELLO DEL FRIULI,POLYGON
VIA CATERINA PERCOTO,AIELLO DEL FRIULI,AIELLO DEL FRIULI,POLYGON
VIA CAVOUR,AIELLO DEL FRIULI,AIELLO DEL FRIULI,POLYGON
VIA CESARE BATTISTI,AIELLO DEL FRIULI,AIELLO DEL FRIULI,POLYGON
VIA COLAVINI,AIELLO DEL FRIULI,AIELLO DEL FRIULI,POLYGON
VIA DA ANCONA,AIELLO DEL FRIULI,AIELLO DEL FRIULI,POLYGON
VIA DA BARCIS,AIELLO DEL FRIULI,AIELLO DEL FRIULI,POLYGON
VIA DAI FRARIS,AIELLO DEL FRIULI,AIELLO DEL FRIULI,POLYGON
VIA DAI OLPS,AIELLO DEL FRIULI,AIELLO DEL FRIULI,POLYGON
VIA DAI PRAZ,AIELLO DEL FRIULI,AIELLO DEL FRIULI,POLYGON
VIA DAL CRIST,AIELLO DEL FRIULI,AIELLO DEL FRIULI,POLYGON
VIA DANTE ALIGHIERI,AIELLO DEL FRIULI,AIELLO DEL FRIULI,POLYGON
VIA DELL' INDUSTRIA,AIELLO DEL FRIULI,AIELLO DEL FRIULI,POLYGON
VIA DON DIODATO,AIELLO DEL FRIULI,AIELLO DEL FRIULI,POLYGON
VIA DON STACUL,AIELLO DEL FRIULI,AIELLO DEL FRIULI,POLYGON
VIA ENRICO FERMI,AIELLO DEL FRIULI,AIELLO DEL FRIULI,POLYGON
VIA EUROPA,AIELLO DEL FRIULI,AIELLO DEL FRIULI,POLYGON
VIA EUROPA / LOTIZZ. ARCO,AIELLO DEL FRIULI,AIELLO DEL FRIULI,POLYGON
VIA FIUME,AIELLO DEL FRIULI,AIELLO DEL FRIULI,POLYGON
VIA FRANCESCO PETRARCA,AIELLO DEL FRIULI,AIELLO DEL FRIULI,POLYGON
VIA FRATELLI DE SENIBUS,AIELLO DEL FRIULI,AIELLO DEL FRIULI,POLYGON
VIA G. ROSSINI,AIELLO DEL FRIULI,AIELLO DEL FRIULI,POLYGON
VIA GENOVA CAVALLERIA,AIELLO DEL FRIULI,AIELLO DEL FRIULI,POLYGON
VIA GIOACHINO ROSSINI,AIELLO DEL FRIULI,AIELLO DEL FRIULI,POLYGON
VIA GIOVANNI BATTISTA GASPARDIS,AIELLO DEL FRIULI,AIELLO DEL FRIULI,POLYGON
VIA GIUSEPPE BUGATTO,AIELLO DEL FRIULI,AIELLO DEL FRIULI,POLYGON
VIA GIUSEPPE GARIBALDI,AIELLO DEL FRIULI,AIELLO DEL FRIULI,POLYGON
VIA GIUSEPPE MAZZINI,AIELLO DEL FRIULI,AIELLO DEL FRIULI,POLYGON
VIA GIUSEPPE VERDI,AIELLO DEL FRIULI,AIELLO DEL FRIULI,POLYGON
VIA GORIZIA,AIELLO DEL FRIULI,AIELLO DEL FRIULI,POLYGON
VIA GUGLIELMO MARCONI,AIELLO DEL FRIULI,AIELLO DEL FRIULI,POLYGON
VIA GUGLIELMO OBERDAN,AIELLO DEL FRIULI,AIELLO DEL FRIULI,POLYGON
VIA II GIUGNO,AIELLO DEL FRIULI,AIELLO DEL FRIULI,POLYGON
VIA IPPOLITO NIEVO,AIELLO DEL FRIULI,AIELLO DEL FRIULI,POLYGON
VIA LEONARDO DA VINCI,AIELLO DEL FRIULI,AIELLO DEL FRIULI,POLYGON
VIA MACILLIS,AIELLO DEL FRIULI,AIELLO DEL FRIULI,POLYGON
VIA MAMELI,AIELLO DEL FRIULI,AIELLO DEL FRIULI,POLYGON
VIA MARCONI,AIELLO DEL FRIULI,AIELLO DEL FRIULI,POLYGON
VIA MILACUZZA,AIELLO DEL FRIULI,AIELLO DEL FRIULI,POLYGON
VIA PIERINA DE SAVORGNANI,AIELLO DEL FRIULI,AIELLO DEL FRIULI,POLYGON
VIA PIETRO ZORUTTI,AIELLO DEL FRIULI,AIELLO DEL FRIULI,POLYGON
VIA STRADALTA,AIELLO DEL FRIULI,AIELLO DEL FRIULI,POLYGON
VIA TOSORAT,AIELLO DEL FRIULI,AIELLO DEL FRIULI,POLYGON
VIA TRIESTE,AIELLO DEL FRIULI,AIELLO DEL FRIULI,POLYGON
VIA UTTANO,AIELLO DEL FRIULI,AIELLO DEL FRIULI,POLYGON
VIA VITTORIO ALFIERI,AIELLO DEL FRIULI,AIELLO DEL FRIULI,POLYGON
VIA VITTORIO EMANUELE III,AIELLO DEL FRIULI,AIELLO DEL FRIULI,POLYGON
VIA XXIV MAGGIO,AIELLO DEL FRIULI,AIELLO DEL FRIULI,POLYGON
VIALE VITTORIO EMANUELE II,AIELLO DEL FRIULI,AIELLO DEL FRIULI,POLYGON
LOCALITA' DAUR DE GLESIE,AMARO,AMARO,POLYGON
LOCALITA' RONC,AMARO,AMARO,POLYGON
LOCALITA' TOUF,AMARO,AMARO,POLYGON
PIAZZA CENTA,AMARO,AMARO,POLYGON
PIAZZA FONTANA,AMARO,AMARO,POLYGON
PIAZZA MAGGIORE,AMARO,AMARO,POLYGON
SS 52 CARNICA KM 5-906,AMARO,AMARO,POLYGON
VIA ALESSANDRO MANZONI,AMARO,AMARO,POLYGON
VIA ALPINA,AMARO,AMARO,POLYGON
VIA BEARZI,AMARO,AMARO,POLYGON
VIA CARMIGNANO DI BRENTA,AMARO,AMARO,POLYGON
VIA CASE SPARSE,AMARO,AMARO,POLYGON
VIA CASTELLO,AMARO,AMARO,POLYGON
VIA CENTA,AMARO,AMARO,POLYGON
VIA CENTRO STUDI,AMARO,AMARO,POLYGON
VIA CHIUSA,AMARO,AMARO,POLYGON
VIA CITTA' DI ALBA,AMARO,AMARO,POLYGON
VIA CITTA DI ALBA,AMARO,AMARO,POLYGON
VIA COOPERATIVA CARNICA,AMARO,AMARO,POLYGON
VIA DANTE,AMARO,AMARO,POLYGON
VIA DELLA FABBRICA,AMARO,AMARO,POLYGON
VIA DELLA FONTANA,AMARO,AMARO,POLYGON
VIA DELLE CASE SPARSE,AMARO,AMARO,POLYGON
VIA DI MEZZO,AMARO,AMARO,POLYGON
VIA EUGENIO MONTALE,AMARO,AMARO,POLYGON
VIA FONTANA,AMARO,AMARO,POLYGON
VIA FOSCOLO,AMARO,AMARO,POLYGON
VIA FRATELLI SOLARI,AMARO,AMARO,POLYGON
VIA GIACOMO LEOPARDI,AMARO,AMARO,POLYGON
VIA J. LINUSSIO,AMARO,AMARO,POLYGON
VIA JACOPO LINUSSIO,AMARO,AMARO,POLYGON
VIA LATTERIA,AMARO,AMARO,POLYGON
VIA MANSIONARIO,AMARO,AMARO,POLYGON
VIA MANZONI,AMARO,AMARO,POLYGON
VIA NAZIONALE,AMARO,AMARO,POLYGON
VIA NUOVA,AMARO,AMARO,POLYGON
VIA OSCURA,AMARO,AMARO,POLYGON
VIA PALE DAL TOUF,AMARO,AMARO,POLYGON
VIA P.CANDONI,AMARO,AMARO,POLYGON
VIA PROMETEO CANDONI,AMARO,AMARO,POLYGON
VIA ROMA,AMARO,AMARO,POLYGON
VIA ROSTA DELLA MAINA,AMARO,AMARO,POLYGON
VIA S. FRANCESCO,AMARO,AMARO,POLYGON
VIA S. VALENTINO,AMARO,AMARO,POLYGON
VIA SAN FRANCESCO,AMARO,AMARO,POLYGON
VIA SAN NICOLO',AMARO,AMARO,POLYGON
VIA SAN VALENTINO,AMARO,AMARO,POLYGON
VIA SELET,AMARO,AMARO,POLYGON
"VIA SELET, 5",AMARO,AMARO,POLYGON
VIA SERBATOIO,AMARO,AMARO,POLYGON
VIA SILVIO PELLICO,AMARO,AMARO,POLYGON
VIA STAZIONE,AMARO,AMARO,POLYGON
VIA U FOSCOLO,AMARO,AMARO,POLYGON
VIA UGO FOSCOLO,AMARO,AMARO,POLYGON
VIA VIOLA,AMARO,AMARO,POLYGON
VIALE VALLI DI CARNIA,AMARO,AMARO,POLYGON
VICOLO COSTANTINIS,AMARO,AMARO,POLYGON
VILLAGGIO LINUSSIO,AMARO,AMARO,POLYGON
VILLAGGIO RUBNER,AMARO,AMARO,POLYGON
ZONA INDUSTRIALE,AMARO,AMARO,POLYGON
BORGO CA' MARTIN,AMPEZZO,AMPEZZO BORGO CA' MARTIN,POINT
BORGO CLEDIS,AMPEZZO,AMPEZZO BORGO CLEDIS,POINT
BORGO CLENDIS,AMPEZZO,AMPEZZO BORGO CLENDIS,POINT
BORGO GARZOT,AMPEZZO,AMPEZZO BORGO GARZOT,POINT
FRAZ. OLTRIS,AMPEZZO,AMPEZZO FRAZ. OLTRIS,POINT
FRAZ. VOLTOIS,AMPEZZO,AMPEZZO FRAZ. VOLTOIS,POINT
FRAZIONE OLTRIS,AMPEZZO,AMPEZZO FRAZIONE OLTRIS,POINT
FRAZIONE VOLTOIS,AMPEZZO,AMPEZZO FRAZIONE VOLTOIS,POINT
LOCALITA' CHIAVUIGNIS,AMPEZZO,AMPEZZO LOCALITA' CHIAVUIGNIS,POINT
LOCALITA' GOF,AMPEZZO,AMPEZZO LOCALITA' GOF,POINT
LOCALITA' PLAN DAL SAC,AMPEZZO,AMPEZZO LOCALITA' PLAN DAL SAC,POINT
PIAZZA CARLO FACHIN,AMPEZZO,AMPEZZO PIAZZA CARLO FACHIN,POINT
PIAZZA ROMA,AMPEZZO,AMPEZZO PIAZZA ROMA,POINT
PIAZZA ZONA LIBERA 1944,AMPEZZO,AMPEZZO PIAZZA ZONA LIBERA 1944,POINT
PIAZZALE AI CADUTI,AMPEZZO,AMPEZZO PIAZZALE AI CADUTI,POINT
PIAZZALE DEI CADUTI,AMPEZZO,AMPEZZO PIAZZALE DEI CADUTI,POINT
