alias_address,alias_city,georeferencingString
Selezionare prima il Comune,Scegliere il Comune,Scegliere il Comune Selezionare prima il Comune
LOCALITA' NOVACCA,AIELLO DEL FRIULI,AIELLO DEL FRIULI LOCALITA' NOVACCA
LOCALITA' NOVACCO,AIELLO DEL FRIULI,AIELLO DEL FRIULI LOCALITA' NOVACCO
LOCALITA' UTTANO,AIELLO DEL FRIULI,AIELLO DEL FRIULI LOCALITA' UTTANO
PIAZZA ROMA,AIELLO DEL FRIULI,AIELLO DEL FRIULI PIAZZA ROMA
STRADA PROVINCIALE 126 DI VISCO,AIELLO DEL FRIULI,AIELLO DEL FRIULI STRADA PROVINCIALE 126 DI VISCO
VIA ALESSANDRO MANZONI,AIELLO DEL FRIULI,AIELLO DEL FRIULI VIA ALESSANDRO MANZONI
VIA ALESSANDRO VOLTA,AIELLO DEL FRIULI,AIELLO DEL FRIULI VIA ALESSANDRO VOLTA
VIA C. BATTISTI,AIELLO DEL FRIULI,AIELLO DEL FRIULI VIA C. BATTISTI
VIA CADUTI DI NASSIRIYA,AIELLO DEL FRIULI,AIELLO DEL FRIULI VIA CADUTI DI NASSIRIYA
VIA CASA BIANCA,AIELLO DEL FRIULI,AIELLO DEL FRIULI VIA CASA BIANCA
VIA CATERINA PERCOTO,AIELLO DEL FRIULI,AIELLO DEL FRIULI VIA CATERINA PERCOTO
VIA CAVOUR,AIELLO DEL FRIULI,AIELLO DEL FRIULI VIA CAVOUR
VIA CESARE BATTISTI,AIELLO DEL FRIULI,AIELLO DEL FRIULI VIA CESARE BATTISTI
VIA COLAVINI,AIELLO DEL FRIULI,AIELLO DEL FRIULI VIA COLAVINI
VIA DA ANCONA,AIELLO DEL FRIULI,AIELLO DEL FRIULI VIA DA ANCONA
VIA DA BARCIS,AIELLO DEL FRIULI,AIELLO DEL FRIULI VIA DA BARCIS
VIA DAI FRARIS,AIELLO DEL FRIULI,AIELLO DEL FRIULI VIA DAI FRARIS
VIA DAI OLPS,AIELLO DEL FRIULI,AIELLO DEL FRIULI VIA DAI OLPS
VIA DAI PRAZ,AIELLO DEL FRIULI,AIELLO DEL FRIULI VIA DAI PRAZ
VIA DAL CRIST,AIELLO DEL FRIULI,AIELLO DEL FRIULI VIA DAL CRIST
VIA DANTE ALIGHIERI,AIELLO DEL FRIULI,AIELLO DEL FRIULI VIA DANTE ALIGHIERI
VIA DELL' INDUSTRIA,AIELLO DEL FRIULI,AIELLO DEL FRIULI VIA DELL' INDUSTRIA
VIA DON DIODATO,AIELLO DEL FRIULI,AIELLO DEL FRIULI VIA DON DIODATO
VIA DON STACUL,AIELLO DEL FRIULI,AIELLO DEL FRIULI VIA DON STACUL
VIA ENRICO FERMI,AIELLO DEL FRIULI,AIELLO DEL FRIULI VIA ENRICO FERMI
VIA EUROPA,AIELLO DEL FRIULI,AIELLO DEL FRIULI VIA EUROPA
VIA EUROPA / LOTIZZ. ARCO,AIELLO DEL FRIULI,AIELLO DEL FRIULI VIA EUROPA / LOTIZZ. ARCO
VIA FIUME,AIELLO DEL FRIULI,AIELLO DEL FRIULI VIA FIUME
VIA FRANCESCO PETRARCA,AIELLO DEL FRIULI,AIELLO DEL FRIULI VIA FRANCESCO PETRARCA
VIA FRATELLI DE SENIBUS,AIELLO DEL FRIULI,AIELLO DEL FRIULI VIA FRATELLI DE SENIBUS
VIA G. ROSSINI,AIELLO DEL FRIULI,AIELLO DEL FRIULI VIA G. ROSSINI
VIA GENOVA CAVALLERIA,AIELLO DEL FRIULI,AIELLO DEL FRIULI VIA GENOVA CAVALLERIA
VIA GIOACHINO ROSSINI,AIELLO DEL FRIULI,AIELLO DEL FRIULI VIA GIOACHINO ROSSINI
VIA GIOVANNI BATTISTA GASPARDIS,AIELLO DEL FRIULI,AIELLO DEL FRIULI VIA GIOVANNI BATTISTA GASPARDIS
VIA GIUSEPPE BUGATTO,AIELLO DEL FRIULI,AIELLO DEL FRIULI VIA GIUSEPPE BUGATTO
VIA GIUSEPPE GARIBALDI,AIELLO DEL FRIULI,AIELLO DEL FRIULI VIA GIUSEPPE GARIBALDI
VIA GIUSEPPE MAZZINI,AIELLO DEL FRIULI,AIELLO DEL FRIULI VIA GIUSEPPE MAZZINI
VIA GIUSEPPE VERDI,AIELLO DEL FRIULI,AIELLO DEL FRIULI VIA GIUSEPPE VERDI
VIA GORIZIA,AIELLO DEL FRIULI,AIELLO DEL FRIULI VIA GORIZIA
VIA GUGLIELMO MARCONI,AIELLO DEL FRIULI,AIELLO DEL FRIULI VIA GUGLIELMO MARCONI
VIA GUGLIELMO OBERDAN,AIELLO DEL FRIULI,AIELLO DEL FRIULI VIA GUGLIELMO OBERDAN
VIA II GIUGNO,AIELLO DEL FRIULI,AIELLO DEL FRIULI VIA II GIUGNO
VIA IPPOLITO NIEVO,AIELLO DEL FRIULI,AIELLO DEL FRIULI VIA IPPOLITO NIEVO
VIA LEONARDO DA VINCI,AIELLO DEL FRIULI,AIELLO DEL FRIULI VIA LEONARDO DA VINCI
VIA MACILLIS,AIELLO DEL FRIULI,AIELLO DEL FRIULI VIA MACILLIS
VIA MAMELI,AIELLO DEL FRIULI,AIELLO DEL FRIULI VIA MAMELI
VIA MARCONI,AIELLO DEL FRIULI,AIELLO DEL FRIULI VIA MARCONI
VIA MILACUZZA,AIELLO DEL FRIULI,AIELLO DEL FRIULI VIA MILACUZZA
VIA PIERINA DE SAVORGNANI,AIELLO DEL FRIULI,AIELLO DEL FRIULI VIA PIERINA DE SAVORGNANI
VIA PIETRO ZORUTTI,AIELLO DEL FRIULI,AIELLO DEL FRIULI VIA PIETRO ZORUTTI
VIA STRADALTA,AIELLO DEL FRIULI,AIELLO DEL FRIULI VIA STRADALTA
VIA TOSORAT,AIELLO DEL FRIULI,AIELLO DEL FRIULI VIA TOSORAT
VIA TRIESTE,AIELLO DEL FRIULI,AIELLO DEL FRIULI VIA TRIESTE
VIA UTTANO,AIELLO DEL FRIULI,AIELLO DEL FRIULI VIA UTTANO
VIA VITTORIO ALFIERI,AIELLO DEL FRIULI,AIELLO DEL FRIULI VIA VITTORIO ALFIERI
VIA VITTORIO EMANUELE III,AIELLO DEL FRIULI,AIELLO DEL FRIULI VIA VITTORIO EMANUELE III
VIA XXIV MAGGIO,AIELLO DEL FRIULI,AIELLO DEL FRIULI VIA XXIV MAGGIO
VIALE VITTORIO EMANUELE II,AIELLO DEL FRIULI,AIELLO DEL FRIULI VIALE VITTORIO EMANUELE II
LOCALITA' DAUR DE GLESIE,AMARO,AMARO LOCALITA' DAUR DE GLESIE
LOCALITA' RONC,AMARO,AMARO LOCALITA' RONC
LOCALITA' TOUF,AMARO,AMARO LOCALITA' TOUF
PIAZZA CENTA,AMARO,AMARO PIAZZA CENTA
PIAZZA FONTANA,AMARO,AMARO PIAZZA FONTANA
PIAZZA MAGGIORE,AMARO,AMARO PIAZZA MAGGIORE
SS 52 CARNICA KM 5-906,AMARO,AMARO SS 52 CARNICA KM 5-906
VIA ALESSANDRO MANZONI,AMARO,AMARO VIA ALESSANDRO MANZONI
VIA ALPINA,AMARO,AMARO VIA ALPINA
VIA BEARZI,AMARO,AMARO VIA BEARZI
VIA CARMIGNANO DI BRENTA,AMARO,AMARO VIA CARMIGNANO DI BRENTA
VIA CASE SPARSE,AMARO,AMARO VIA CASE SPARSE
VIA CASTELLO,AMARO,AMARO VIA CASTELLO
VIA CENTA,AMARO,AMARO VIA CENTA
VIA CENTRO STUDI,AMARO,AMARO VIA CENTRO STUDI
VIA CHIUSA,AMARO,AMARO VIA CHIUSA
VIA CITTA' DI ALBA,AMARO,AMARO VIA CITTA' DI ALBA
