alias_address,alias_city,Type,georeferencingString
LOCALITA' NOVACCA,AIELLO DEL FRIULI,POLYGON,AIELLO DEL FRIULI
LOCALITA' NOVACCO,AIELLO DEL FRIULI,POLYGON,AIELLO DEL FRIULI
LOCALITA' UTTANO,AIELLO DEL FRIULI,POLYGON,AIELLO DEL FRIULI
PIAZZA ROMA,AIELLO DEL FRIULI,POLYGON,AIELLO DEL FRIULI
STRADA PROVINCIALE 126 DI VISCO,AIELLO DEL FRIULI,POLYGON,AIELLO DEL FRIULI
VIA ALESSANDRO MANZONI,AIELLO DEL FRIULI,POLYGON,AIELLO DEL FRIULI
VIA ALESSANDRO VOLTA,AIELLO DEL FRIULI,POLYGON,AIELLO DEL FRIULI
VIA C. BATTISTI,AIELLO DEL FRIULI,POLYGON,AIELLO DEL FRIULI
VIA CADUTI DI NASSIRIYA,AIELLO DEL FRIULI,POLYGON,AIELLO DEL FRIULI
VIA CASA BIANCA,AIELLO DEL FRIULI,POLYGON,AIELLO DEL FRIULI
VIA CATERINA PERCOTO,AIELLO DEL FRIULI,POLYGON,AIELLO DEL FRIULI
VIA CAVOUR,AIELLO DEL FRIULI,POLYGON,AIELLO DEL FRIULI
VIA CESARE BATTISTI,AIELLO DEL FRIULI,POLYGON,AIELLO DEL FRIULI
VIA COLAVINI,AIELLO DEL FRIULI,POLYGON,AIELLO DEL FRIULI
VIA DA ANCONA,AIELLO DEL FRIULI,POLYGON,AIELLO DEL FRIULI
VIA DA BARCIS,AIELLO DEL FRIULI,POLYGON,AIELLO DEL FRIULI
VIA DAI FRARIS,AIELLO DEL FRIULI,POLYGON,AIELLO DEL FRIULI
VIA DAI OLPS,AIELLO DEL FRIULI,POLYGON,AIELLO DEL FRIULI
VIA DAI PRAZ,AIELLO DEL FRIULI,POLYGON,AIELLO DEL FRIULI
VIA DAL CRIST,AIELLO DEL FRIULI,POLYGON,AIELLO DEL FRIULI
VIA DANTE ALIGHIERI,AIELLO DEL FRIULI,POLYGON,AIELLO DEL FRIULI
VIA DELL' INDUSTRIA,AIELLO DEL FRIULI,POLYGON,AIELLO DEL FRIULI
VIA DON DIODATO,AIELLO DEL FRIULI,POLYGON,AIELLO DEL FRIULI
VIA DON STACUL,AIELLO DEL FRIULI,POLYGON,AIELLO DEL FRIULI
VIA ENRICO FERMI,AIELLO DEL FRIULI,POLYGON,AIELLO DEL FRIULI
VIA EUROPA,AIELLO DEL FRIULI,POLYGON,AIELLO DEL FRIULI
VIA EUROPA / LOTIZZ. ARCO,AIELLO DEL FRIULI,POLYGON,AIELLO DEL FRIULI
VIA FIUME,AIELLO DEL FRIULI,POLYGON,AIELLO DEL FRIULI
VIA FRANCESCO PETRARCA,AIELLO DEL FRIULI,POLYGON,AIELLO DEL FRIULI
VIA FRATELLI DE SENIBUS,AIELLO DEL FRIULI,POLYGON,AIELLO DEL FRIULI
VIA G. ROSSINI,AIELLO DEL FRIULI,POLYGON,AIELLO DEL FRIULI
VIA GENOVA CAVALLERIA,AIELLO DEL FRIULI,POLYGON,AIELLO DEL FRIULI
VIA GIOACHINO ROSSINI,AIELLO DEL FRIULI,POLYGON,AIELLO DEL FRIULI
VIA GIOVANNI BATTISTA GASPARDIS,AIELLO DEL FRIULI,POLYGON,AIELLO DEL FRIULI
VIA GIUSEPPE BUGATTO,AIELLO DEL FRIULI,POLYGON,AIELLO DEL FRIULI
VIA GIUSEPPE GARIBALDI,AIELLO DEL FRIULI,POLYGON,AIELLO DEL FRIULI
VIA GIUSEPPE MAZZINI,AIELLO DEL FRIULI,POLYGON,AIELLO DEL FRIULI
VIA GIUSEPPE VERDI,AIELLO DEL FRIULI,POLYGON,AIELLO DEL FRIULI
VIA GORIZIA,AIELLO DEL FRIULI,POLYGON,AIELLO DEL FRIULI
VIA GUGLIELMO MARCONI,AIELLO DEL FRIULI,POLYGON,AIELLO DEL FRIULI
VIA GUGLIELMO OBERDAN,AIELLO DEL FRIULI,POLYGON,AIELLO DEL FRIULI
VIA II GIUGNO,AIELLO DEL FRIULI,POLYGON,AIELLO DEL FRIULI
VIA IPPOLITO NIEVO,AIELLO DEL FRIULI,POLYGON,AIELLO DEL FRIULI
VIA LEONARDO DA VINCI,AIELLO DEL FRIULI,POLYGON,AIELLO DEL FRIULI
VIA MACILLIS,AIELLO DEL FRIULI,POLYGON,AIELLO DEL FRIULI
VIA MAMELI,AIELLO DEL FRIULI,POLYGON,AIELLO DEL FRIULI
VIA MARCONI,AIELLO DEL FRIULI,POLYGON,AIELLO DEL FRIULI
VIA MILACUZZA,AIELLO DEL FRIULI,POLYGON,AIELLO DEL FRIULI
VIA PIERINA DE SAVORGNANI,AIELLO DEL FRIULI,POLYGON,AIELLO DEL FRIULI
VIA PIETRO ZORUTTI,AIELLO DEL FRIULI,POLYGON,AIELLO DEL FRIULI
VIA STRADALTA,AIELLO DEL FRIULI,POLYGON,AIELLO DEL FRIULI
VIA TOSORAT,AIELLO DEL FRIULI,POLYGON,AIELLO DEL FRIULI
VIA TRIESTE,AIELLO DEL FRIULI,POLYGON,AIELLO DEL FRIULI
VIA UTTANO,AIELLO DEL FRIULI,POLYGON,AIELLO DEL FRIULI
VIA VITTORIO ALFIERI,AIELLO DEL FRIULI,POLYGON,AIELLO DEL FRIULI
VIA VITTORIO EMANUELE III,AIELLO DEL FRIULI,POLYGON,AIELLO DEL FRIULI
VIA XXIV MAGGIO,AIELLO DEL FRIULI,POLYGON,AIELLO DEL FRIULI
VIALE VITTORIO EMANUELE II,AIELLO DEL FRIULI,POLYGON,AIELLO DEL FRIULI
LOCALITA' DAUR DE GLESIE,AMARO,POLYGON,AMARO
LOCALITA' RONC,AMARO,POLYGON,AMARO
LOCALITA' TOUF,AMARO,POLYGON,AMARO
PIAZZA CENTA,AMARO,POLYGON,AMARO
PIAZZA FONTANA,AMARO,POLYGON,AMARO
PIAZZA MAGGIORE,AMARO,POLYGON,AMARO
SS 52 CARNICA KM 5-906,AMARO,POLYGON,AMARO
VIA ALESSANDRO MANZONI,AMARO,POLYGON,AMARO
VIA ALPINA,AMARO,POLYGON,AMARO
VIA BEARZI,AMARO,POLYGON,AMARO
VIA CARMIGNANO DI BRENTA,AMARO,POLYGON,AMARO
VIA CASE SPARSE,AMARO,POLYGON,AMARO
VIA CASTELLO,AMARO,POLYGON,AMARO
VIA CENTA,AMARO,POLYGON,AMARO
VIA CENTRO STUDI,AMARO,POLYGON,AMARO
VIA CHIUSA,AMARO,POLYGON,AMARO
VIA CITTA' DI ALBA,AMARO,POLYGON,AMARO
VIA CITTA DI ALBA,AMARO,POLYGON,AMARO
VIA COOPERATIVA CARNICA,AMARO,POLYGON,AMARO
VIA DANTE,AMARO,POLYGON,AMARO
VIA DELLA FABBRICA,AMARO,POLYGON,AMARO
VIA DELLA FONTANA,AMARO,POLYGON,AMARO
VIA DELLE CASE SPARSE,AMARO,POLYGON,AMARO
VIA DI MEZZO,AMARO,POLYGON,AMARO
VIA EUGENIO MONTALE,AMARO,POLYGON,AMARO
VIA FONTANA,AMARO,POLYGON,AMARO
VIA FOSCOLO,AMARO,POLYGON,AMARO
VIA FRATELLI SOLARI,AMARO,POLYGON,AMARO
VIA GIACOMO LEOPARDI,AMARO,POLYGON,AMARO
VIA J. LINUSSIO,AMARO,POLYGON,AMARO
VIA JACOPO LINUSSIO,AMARO,POLYGON,AMARO
VIA LATTERIA,AMARO,POLYGON,AMARO
VIA MANSIONARIO,AMARO,POLYGON,AMARO
VIA MANZONI,AMARO,POLYGON,AMARO
VIA NAZIONALE,AMARO,POLYGON,AMARO
VIA NUOVA,AMARO,POLYGON,AMARO
VIA OSCURA,AMARO,POLYGON,AMARO
VIA PALE DAL TOUF,AMARO,POLYGON,AMARO
VIA P.CANDONI,AMARO,POLYGON,AMARO
VIA PROMETEO CANDONI,AMARO,POLYGON,AMARO
VIA ROMA,AMARO,POLYGON,AMARO
VIA ROSTA DELLA MAINA,AMARO,POLYGON,AMARO
VIA S. FRANCESCO,AMARO,POLYGON,AMARO
VIA S. VALENTINO,AMARO,POLYGON,AMARO
VIA SAN FRANCESCO,AMARO,POLYGON,AMARO
VIA SAN NICOLO',AMARO,POLYGON,AMARO
VIA SAN VALENTINO,AMARO,POLYGON,AMARO
VIA SELET,AMARO,POLYGON,AMARO
VIA SELET, 5,AMARO,POLYGON,AMARO
VIA SERBATOIO,AMARO,POLYGON,AMARO
VIA SILVIO PELLICO,AMARO,POLYGON,AMARO
VIA STAZIONE,AMARO,POLYGON,AMARO
VIA U FOSCOLO,AMARO,POLYGON,AMARO
VIA UGO FOSCOLO,AMARO,POLYGON,AMARO
VIA VIOLA,AMARO,POLYGON,AMARO
VIALE VALLI DI CARNIA,AMARO,POLYGON,AMARO
VICOLO COSTANTINIS,AMARO,POLYGON,AMARO
VILLAGGIO LINUSSIO,AMARO,POLYGON,AMARO
VILLAGGIO RUBNER,AMARO,POLYGON,AMARO
ZONA INDUSTRIALE,AMARO,POLYGON,AMARO
BORGO CA' MARTIN,AMPEZZO,POLYGON,AMPEZZO
BORGO CLEDIS,AMPEZZO,POLYGON,AMPEZZO
BORGO CLENDIS,AMPEZZO,POLYGON,AMPEZZO
BORGO GARZOT,AMPEZZO,POLYGON,AMPEZZO
FRAZ. OLTRIS,AMPEZZO,POLYGON,AMPEZZO
FRAZ. VOLTOIS,AMPEZZO,POLYGON,AMPEZZO
FRAZIONE OLTRIS,AMPEZZO,POLYGON,AMPEZZO
FRAZIONE VOLTOIS,AMPEZZO,POLYGON,AMPEZZO
LOCALITA' CHIAVUIGNIS,AMPEZZO,POLYGON,AMPEZZO
LOCALITA' GOF,AMPEZZO,POLYGON,AMPEZZO
LOCALITA' PLAN DAL SAC,AMPEZZO,POLYGON,AMPEZZO
PIAZZA CARLO FACHIN,AMPEZZO,POLYGON,AMPEZZO
PIAZZA ROMA,AMPEZZO,POLYGON,AMPEZZO
PIAZZA ZONA LIBERA 1944,AMPEZZO,POLYGON,AMPEZZO
PIAZZALE AI CADUTI,AMPEZZO,POLYGON,AMPEZZO
PIAZZALE DEI CADUTI,AMPEZZO,POLYGON,AMPEZZO
