alias_address,alias_city,georeferencingString,polygonKey,type
LOCALITA' NOVACCA,AIELLO DEL FRIULI,AIELLO DEL FRIULI,AIELLO DEL FRIULI,POLYGON
LOCALITA' DAUR DE GLESIE,AMARO,AMARO,AMARO,POLYGON
BORGO MONTE,ARTEGNA,ARTEGNA,ARTEGNA,POLYGON
CENTRO COMM. A4,BAGNARIA ARSA,BAGNARIA ARSA,BAGNARIA ARSA,POLYGON
LARGO DON VICARIO,BASILIANO,BASILIANO,BASILIANO,POLYGON
ANDRONA DEI FRATI,BERTIOLO,BERTIOLO,BERTIOLO,POLYGON
LOCALITA' BICINICCO DI SOPRA,BICINICCO,BICINICCO,BICINICCO,POLYGON
FRAZ. GRAUGNICCO,CAMINO AL TAGLIAMENTO,CAMINO AL TAGLIAMENTO,CAMINO AL TAGLIAMENTO,POLYGON
FERMO POSTA,CAMPOFORMIDO,CAMPOFORMIDO,CAMPOFORMIDO,POLYGON
BORGO ISONZO,CAMPOLONGO TAPOGLIANO,CAMPOLONGO TAPOGLIANO,CAMPOLONGO TAPOGLIANO,POLYGON
PIAZZA SAN ROCCO,CARLINO,CARLINO,CARLINO,POLYGON
BORGO BAIUTTI,CASSACCO,CASSACCO,CASSACCO,POLYGON
LOCALITA' BIVIO PARADISO,CASTIONS DI STRADA,CASTIONS DI STRADA,CASTIONS DI STRADA,POLYGON
PIAZZA DE SENIBUS,CHIOPRIS-VISCONE,CHIOPRIS-VISCONE,CHIOPRIS-VISCONE,POLYGON
AREA COMPARTO C2,CODROIPO,CODROIPO,CODROIPO,POLYGON
AUTOSTRADA A23 UD/TARVISIO,COLLOREDO DI MONTE ALBANO,COLLOREDO DI MONTE ALBANO,COLLOREDO DI MONTE ALBANO,POLYGON
FRAZ. MIELI,COMEGLIANS,COMEGLIANS,COMEGLIANS,POLYGON
BORC DA LA FONTANE,COSEANO,COSEANO,COSEANO,POLYGON
BORGO DEI FABBRI,DIGNANO,DIGNANO,DIGNANO,POLYGON
CASALI FORNACE PECILE,FAGAGNA,FAGAGNA,FAGAGNA,POLYGON
PIAZZA CELSO CESCUTTI,FLAIBANO,FLAIBANO,FLAIBANO,POLYGON
LOCALITA' CHIANET,FORGARIA NEL FRIULI,FORGARIA NEL FRIULI,FORGARIA NEL FRIULI,POLYGON
BORGO BASELIA,FORNI DI SOTTO,FORNI DI SOTTO,FORNI DI SOTTO,POLYGON
AREA AUTOSTRADALE,GONARS,GONARS,GONARS,POLYGON
ARCO DEL GRECALE,LATISANA,LATISANA,LATISANA,POLYGON
CASERA POZ,LAUCO,LAUCO,LAUCO,POLYGON
CALLE SAN GIACOMO,LESTIZZA,LESTIZZA,LESTIZZA,POLYGON
ARCO DEL BIANCOSPINO,LIGNANO SABBIADORO,LIGNANO SABBIADORO,LIGNANO SABBIADORO,POLYGON
BORGO BOCON,MAGNANO IN RIVIERA,MAGNANO IN RIVIERA,MAGNANO IN RIVIERA,POLYGON
BORGO CHIESA,MAJANO,MAJANO,MAJANO,POLYGON
CALLE BERTRANDO,MARANO LAGUNARE,MARANO LAGUNARE,MARANO LAGUNARE,POLYGON
BORGO PEDRUSSI,MARTIGNACCO,MARTIGNACCO,MARTIGNACCO,POLYGON
CORTE BELLIN,MERETO DI TOMBA,MERETO DI TOMBA,MERETO DI TOMBA,POLYGON
LARGO FORO BOARIO,MORTEGLIANO,MORTEGLIANO,MORTEGLIANO,POLYGON
CASALI SAN ANDREA,MORUZZO,MORUZZO,MORUZZO,POLYGON
PIAZZA LUIGI SBAIZ,MUZZANA DEL TURGNANO,MUZZANA DEL TURGNANO,MUZZANA DEL TURGNANO,POLYGON
CALLE DEI CESTAI,OSOPPO,OSOPPO,OSOPPO,POLYGON
PIAZZA DAL FOR,PAGNACCO,PAGNACCO,PAGNACCO,POLYGON
CASALI BRAGAGNON,PALAZZOLO DELLO STELLA,PALAZZOLO DELLO STELLA,PALAZZOLO DELLO STELLA,POLYGON
BORGO AQUILEIA,PALMANOVA,PALMANOVA,PALMANOVA,POLYGON
FRAZ. COLLOREDO VIA  DI SOTTO,PASIAN DI PRATO,PASIAN DI PRATO,PASIAN DI PRATO,POLYGON
CASALI NARDON,POCENIA,POCENIA,POCENIA,POLYGON
CASALI BRATTA,PORPETTO,PORPETTO,PORPETTO,POLYGON
LARGO MONSIGNORE CICUTTINI,POVOLETTO,POVOLETTO,POVOLETTO,POLYGON
FRAZ. SAMMARDENCHIA,POZZUOLO DEL FRIULI,POZZUOLO DEL FRIULI,POZZUOLO DEL FRIULI,POLYGON
CALLE DELLA LOGGIA,PRECENICCO,PRECENICCO,PRECENICCO,POLYGON
CASE PER VACANZE MELARIA,PREONE,PREONE,PREONE,POLYGON
LOCALITA' SAN GIOVANNI,RAGOGNA,RAGOGNA,RAGOGNA,POLYGON
CORTE DIVISIONE JULIA,REANA DEL ROJALE,REANA DEL ROJALE,REANA DEL ROJALE,POLYGON
FRAZ. ARCANO SUPERIORE,RIVE D'ARCANO,RIVE D'ARCANO,RIVE D'ARCANO,POLYGON
CASALI MOLINO,RIVIGNANO TEOR,RIVIGNANO TEOR,RIVIGNANO TEOR,POLYGON
ANDRONA VALENTINIS,RONCHIS,RONCHIS,RONCHIS,POLYGON
CORTE DEL TROVATORE,RUDA,RUDA,RUDA,POLYGON
CASALI VENIER - LOCALITA' CIMANO,SAN DANIELE DEL FRIULI,SAN DANIELE DEL FRIULI,SAN DANIELE DEL FRIULI,POLYGON
FRAZ. CROSTO',SAN LEONARDO,SAN LEONARDO,SAN LEONARDO,POLYGON
LOCALITA' NOGAREDO AL TORRE,SAN VITO AL TORRE,SAN VITO AL TORRE,SAN VITO AL TORRE,POLYGON
BORGO RIGHINI,SAN VITO DI FAGAGNA,SAN VITO DI FAGAGNA,SAN VITO DI FAGAGNA,POLYGON
BORGO DI SOPRA,SANTA MARIA LA LONGA,SANTA MARIA LA LONGA,SANTA MARIA LA LONGA,POLYGON
ANDRONA ZORATTI,SEDEGLIANO,SEDEGLIANO,SEDEGLIANO,POLYGON
ANDRONA MARELLO,TALMASSONS,TALMASSONS,TALMASSONS,POLYGON
FRAZ. BRANCO VIA  E.DE AMICIS,TAVAGNACCO,TAVAGNACCO,TAVAGNACCO,POLYGON
CORTE GIACOMELLI,UDINE,UDINE,UDINE,POLYGON
LOCALITA' CASALI DI BELGRADO,VARMO,VARMO,VARMO,POLYGON
PIAZZA IV NOVEMBRE,VISCO,VISCO,VISCO,POLYGON
BORGO CA' MARTIN,AMPEZZO,AMPEZZO BORGO CA' MARTIN,,POINT
BORGO CLEDIS,AMPEZZO,AMPEZZO BORGO CLEDIS,,POINT
BORGO CLENDIS,AMPEZZO,AMPEZZO BORGO CLENDIS,,POINT
BORGO GARZOT,AMPEZZO,AMPEZZO BORGO GARZOT,,POINT
FRAZ. OLTRIS,AMPEZZO,AMPEZZO FRAZ. OLTRIS,,POINT
FRAZ. VOLTOIS,AMPEZZO,AMPEZZO FRAZ. VOLTOIS,,POINT
FRAZIONE OLTRIS,AMPEZZO,AMPEZZO FRAZIONE OLTRIS,,POINT
FRAZIONE VOLTOIS,AMPEZZO,AMPEZZO FRAZIONE VOLTOIS,,POINT
LOCALITA' CHIAVUIGNIS,AMPEZZO,AMPEZZO LOCALITA' CHIAVUIGNIS,,POINT
LOCALITA' GOF,AMPEZZO,AMPEZZO LOCALITA' GOF,,POINT
LOCALITA' PLAN DAL SAC,AMPEZZO,AMPEZZO LOCALITA' PLAN DAL SAC,,POINT
PIAZZA CARLO FACHIN,AMPEZZO,AMPEZZO PIAZZA CARLO FACHIN,,POINT
PIAZZA ROMA,AMPEZZO,AMPEZZO PIAZZA ROMA,,POINT
PIAZZA ZONA LIBERA 1944,AMPEZZO,AMPEZZO PIAZZA ZONA LIBERA 1944,,POINT
PIAZZALE AI CADUTI,AMPEZZO,AMPEZZO PIAZZALE AI CADUTI,,POINT
PIAZZALE DEI CADUTI,AMPEZZO,AMPEZZO PIAZZALE DEI CADUTI,,POINT
STRADA DEL MONTE PURA,AMPEZZO,AMPEZZO STRADA DEL MONTE PURA,,POINT
STRADA ESTERNA CORSO,AMPEZZO,AMPEZZO STRADA ESTERNA CORSO,,POINT
VIA BRAZZOLETTA,AMPEZZO,AMPEZZO VIA BRAZZOLETTA,,POINT
VIA CA' MARTIN,AMPEZZO,AMPEZZO VIA CA' MARTIN,,POINT
VIA CHIZZO,AMPEZZO,AMPEZZO VIA CHIZZO,,POINT
VIA CLEVA,AMPEZZO,AMPEZZO VIA CLEVA,,POINT
VIA COLCJAR,AMPEZZO,AMPEZZO VIA COLCJAR,,POINT
VIA CONCERCI,AMPEZZO,AMPEZZO VIA CONCERCI,,POINT
VIA CONCERCIN,AMPEZZO,AMPEZZO VIA CONCERCIN,,POINT
VIA DELL' ASILO,AMPEZZO,AMPEZZO VIA DELL' ASILO,,POINT
VIA DELLA BUSA,AMPEZZO,AMPEZZO VIA DELLA BUSA,,POINT
VIA DELLA CLEVA,AMPEZZO,AMPEZZO VIA DELLA CLEVA,,POINT
VIA DELLA POSTA,AMPEZZO,AMPEZZO VIA DELLA POSTA,,POINT
VIA ELLERO,AMPEZZO,AMPEZZO VIA ELLERO,,POINT
VIA FLERIS,AMPEZZO,AMPEZZO VIA FLERIS,,POINT
VIA GIUSEPPE ELLERO,AMPEZZO,AMPEZZO VIA GIUSEPPE ELLERO,,POINT
VIA LAUCJIT,AMPEZZO,AMPEZZO VIA LAUCJIT,,POINT
VIA MELAR,AMPEZZO,AMPEZZO VIA MELAR,,POINT
VIA NANE,AMPEZZO,AMPEZZO VIA NANE,,POINT
VIA NAVAIS,AMPEZZO,AMPEZZO VIA NAVAIS,,POINT
VIA NAZIONALE,AMPEZZO,AMPEZZO VIA NAZIONALE,,POINT
VIA OLTRIS,AMPEZZO,AMPEZZO VIA OLTRIS,,POINT
VIA PASCIS,AMPEZZO,AMPEZZO VIA PASCIS,,POINT
VIA POSCJASIS,AMPEZZO,AMPEZZO VIA POSCJASIS,,POINT
VIA SAURIS,AMPEZZO,AMPEZZO VIA SAURIS,,POINT
VIALE DELLA MAINA,AMPEZZO,AMPEZZO VIALE DELLA MAINA,,POINT
ZONA INDUSTRIALE,AMPEZZO,AMPEZZO ZONA INDUSTRIALE,,POINT
BORGO LIBERTA',AQUILEIA,AQUILEIA BORGO LIBERTA',,POINT
CORSO ANTONIO GRAMSCI,AQUILEIA,AQUILEIA CORSO ANTONIO GRAMSCI,,POINT
LARGO DELLA QUERCIA,AQUILEIA,AQUILEIA LARGO DELLA QUERCIA,,POINT
LARGO PACIFICO VALUSSI,AQUILEIA,AQUILEIA LARGO PACIFICO VALUSSI,,POINT
LOCALITA' BELIGNA,AQUILEIA,AQUILEIA LOCALITA' BELIGNA,,POINT
LOCALITA' BONIF. IV PART.,AQUILEIA,AQUILEIA LOCALITA' BONIF. IV PART.,,POINT
LOCALITA' CA' ARA,AQUILEIA,AQUILEIA LOCALITA' CA' ARA,,POINT
LOCALITA' SAN ZILI,AQUILEIA,AQUILEIA LOCALITA' SAN ZILI,,POINT
PIAZZA ARTURO TOSCANINI,AQUILEIA,AQUILEIA PIAZZA ARTURO TOSCANINI,,POINT
PIAZZA CAPITOLO,AQUILEIA,AQUILEIA PIAZZA CAPITOLO,,POINT
PIAZZA FRATELLI CERVI,AQUILEIA,AQUILEIA PIAZZA FRATELLI CERVI,,POINT
PIAZZA GIUSEPPE GARIBALDI,AQUILEIA,AQUILEIA PIAZZA GIUSEPPE GARIBALDI,,POINT
PIAZZA PIRANO,AQUILEIA,AQUILEIA PIAZZA PIRANO,,POINT
PIAZZA SAN GIOVANNI,AQUILEIA,AQUILEIA PIAZZA SAN GIOVANNI,,POINT
VIA A. MALIGNANI,AQUILEIA,AQUILEIA VIA A. MALIGNANI,,POINT
VIA ACHILLE GRANDI,AQUILEIA,AQUILEIA VIA ACHILLE GRANDI,,POINT
VIA ANNA FRANK,AQUILEIA,AQUILEIA VIA ANNA FRANK,,POINT
VIA ANNIA,AQUILEIA,AQUILEIA VIA ANNIA,,POINT
VIA BELIGNA,AQUILEIA,AQUILEIA VIA BELIGNA,,POINT
VIA BERTRANDO DI SAINT GENIES,AQUILEIA,AQUILEIA VIA BERTRANDO DI SAINT GENIES,,POINT
VIA BOLIVIA,AQUILEIA,AQUILEIA VIA BOLIVIA,,POINT
VIA BOSCO MOLECO,AQUILEIA,AQUILEIA VIA BOSCO MOLECO,,POINT
VIA CARLO PISACANE,AQUILEIA,AQUILEIA VIA CARLO PISACANE,,POINT
VIA DANTE ALIGHIERI,AQUILEIA,AQUILEIA VIA DANTE ALIGHIERI,,POINT
VIA DEI PATRIARCHI,AQUILEIA,AQUILEIA VIA DEI PATRIARCHI,,POINT
VIA DELLA CONCORDIA,AQUILEIA,AQUILEIA VIA DELLA CONCORDIA,,POINT
VIA DELLE VIGNE VECCHIE,AQUILEIA,AQUILEIA VIA DELLE VIGNE VECCHIE,,POINT
VIA ENRICO FERMI,AQUILEIA,AQUILEIA VIA ENRICO FERMI,,POINT
VIA ENRICO MAIONICA,AQUILEIA,AQUILEIA VIA ENRICO MAIONICA,,POINT
VIA ERNESTO CHE GUEVARA,AQUILEIA,AQUILEIA VIA ERNESTO CHE GUEVARA,,POINT
VIA EUGENIO CURIEL,AQUILEIA,AQUILEIA VIA EUGENIO CURIEL,,POINT
VIA F. PETRARCA,AQUILEIA,AQUILEIA VIA F. PETRARCA,,POINT
VIA FRATELLI ROSSELLI,AQUILEIA,AQUILEIA VIA FRATELLI ROSSELLI,,POINT
VIA G. GIUSEPPE LIRUTI,AQUILEIA,AQUILEIA VIA G. GIUSEPPE LIRUTI,,POINT
VIA G. MAZZINI,AQUILEIA,AQUILEIA VIA G. MAZZINI,,POINT
VIA GAETANO SALVEMINI,AQUILEIA,AQUILEIA VIA GAETANO SALVEMINI,,POINT
VIA GARDENAL,AQUILEIA,AQUILEIA VIA GARDENAL,,POINT
VIA GEMINA,AQUILEIA,AQUILEIA VIA GEMINA,,POINT
VIA GIANNINO BOSI BATTISTI,AQUILEIA,AQUILEIA VIA GIANNINO BOSI BATTISTI,,POINT
VIA GIOVANNI AMENDOLA,AQUILEIA,AQUILEIA VIA GIOVANNI AMENDOLA,,POINT
VIA GIOVANNI MINUT,AQUILEIA,AQUILEIA VIA GIOVANNI MINUT,,POINT
VIA GIUSEPPE DI VITTORIO,AQUILEIA,AQUILEIA VIA GIUSEPPE DI VITTORIO,,POINT
VIA GIUSEPPE LIRUTI,AQUILEIA,AQUILEIA VIA GIUSEPPE LIRUTI,,POINT
VIA GIUSEPPE MAZZINI,AQUILEIA,AQUILEIA VIA GIUSEPPE MAZZINI,,POINT
VIA GIUSEPPE VERDI,AQUILEIA,AQUILEIA VIA GIUSEPPE VERDI,,POINT
VIA GUIDO PICELLI,AQUILEIA,AQUILEIA VIA GUIDO PICELLI,,POINT
