alias_address,alias_city,url
LOCALITA' NOVACCA,AIELLO DEL FRIULI,https://www.cafcspa.com/solud/analisi/2401.pdf
LOCALITA' DAUR DE GLESIE,AMARO,https://www.cafcspa.com/solud/analisi/D702.pdf
BORGO MONTE,ARTEGNA,https://www.cafcspa.com/solud/analisi/0201.pdf
CENTRO COMM. A4,BAGNARIA ARSA,https://www.cafcspa.com/solud/analisi/2401.pdf
LARGO DON VICARIO,BASILIANO,https://www.cafcspa.com/solud/analisi/0201.pdf
ANDRONA DEI FRATI,BERTIOLO,https://www.cafcspa.com/solud/analisi/0701.pdf
LOCALITA' BICINICCO DI SOPRA,BICINICCO,https://www.cafcspa.com/solud/analisi/0201.pdf
FRAZ. GRAUGNICCO,CAMINO AL TAGLIAMENTO,https://www.cafcspa.com/solud/analisi/0701.pdf
FERMO POSTA,CAMPOFORMIDO,https://www.cafcspa.com/solud/analisi/0201.pdf
BORGO ISONZO,CAMPOLONGO TAPOGLIANO,https://www.cafcspa.com/solud/analisi/2401.pdf
PIAZZA SAN ROCCO,CARLINO,https://www.cafcspa.com/solud/analisi/0701.pdf
BORGO BAIUTTI,CASSACCO,https://www.cafcspa.com/solud/analisi/6643.pdf
LOCALITA' BIVIO PARADISO,CASTIONS DI STRADA,https://www.cafcspa.com/solud/analisi/2401.pdf
PIAZZA DE SENIBUS,CHIOPRIS-VISCONE,https://www.cafcspa.com/solud/analisi/2401.pdf
AREA COMPARTO C2,CODROIPO,https://www.cafcspa.com/solud/analisi/0701.pdf
AUTOSTRADA A23 UD/TARVISIO,COLLOREDO DI MONTE ALBANO,https://www.cafcspa.com/solud/analisi/0201.pdf
FRAZIONE NOIARETTO,COMEGLIANS,https://www.cafcspa.com/solud/analisi/E207.pdf
BORC DA LA FONTANE,COSEANO,https://www.cafcspa.com/solud/analisi/0201.pdf
BORGO DEI FABBRI,DIGNANO,https://www.cafcspa.com/solud/analisi/0201.pdf
CASALI FORNACE PECILE,FAGAGNA,https://www.cafcspa.com/solud/analisi/0201.pdf
PIAZZA CELSO CESCUTTI,FLAIBANO,https://www.cafcspa.com/solud/analisi/0201.pdf
LOCALITA' CHIANET,FORGARIA NEL FRIULI,https://www.cafcspa.com/solud/analisi/5514.pdf
BORGO BASELIA,FORNI DI SOTTO,https://www.cafcspa.com/solud/analisi/D406.pdf
AREA AUTOSTRADALE,GONARS,https://www.cafcspa.com/solud/analisi/2401.pdf
ARCO DEL GRECALE,LATISANA,https://www.cafcspa.com/solud/analisi/0701.pdf
FRAZIONE AVAGLIO,LAUCO,https://www.cafcspa.com/solud/analisi/E504.pdf
CALLE SAN GIACOMO,LESTIZZA,https://www.cafcspa.com/solud/analisi/0201.pdf
ARCO DEL BIANCOSPINO,LIGNANO SABBIADORO,https://www.cafcspa.com/solud/analisi/0701.pdf
BORGO BOCON,MAGNANO IN RIVIERA,https://www.cafcspa.com/solud/analisi/8001.pdf
BORGO CHIESA,MAJANO,https://www.cafcspa.com/solud/analisi/0201.pdf
CALLE BERTRANDO,MARANO LAGUNARE,https://www.cafcspa.com/solud/analisi/0701.pdf
BORGO PEDRUSSI,MARTIGNACCO,https://www.cafcspa.com/solud/analisi/0201.pdf
CORTE BELLIN,MERETO DI TOMBA,https://www.cafcspa.com/solud/analisi/0201.pdf
LARGO FORO BOARIO,MORTEGLIANO,https://www.cafcspa.com/solud/analisi/0201.pdf
CASALI SAN ANDREA,MORUZZO,https://www.cafcspa.com/solud/analisi/0201.pdf
PIAZZA LUIGI SBAIZ,MUZZANA DEL TURGNANO,https://www.cafcspa.com/solud/analisi/0701.pdf
CALLE DEI CESTAI,OSOPPO,https://www.cafcspa.com/solud/analisi/0201.pdf
PIAZZA DAL FOR,PAGNACCO,https://www.cafcspa.com/solud/analisi/0201.pdf
CASALI BRAGAGNON,PALAZZOLO DELLO STELLA,https://www.cafcspa.com/solud/analisi/0701.pdf
BORGO AQUILEIA,PALMANOVA,https://www.cafcspa.com/solud/analisi/2401.pdf
FRAZ. COLLOREDO VIA  DI SOTTO,PASIAN DI PRATO,https://www.cafcspa.com/solud/analisi/0201.pdf
CASALI NARDON,POCENIA,https://www.cafcspa.com/solud/analisi/0701.pdf
VIA DELL' ARTIGIANATO,PORPETTO,https://www.cafcspa.com/solud/analisi/8901.pdf
LARGO MONSIGNORE CICUTTINI,POVOLETTO,https://www.cafcspa.com/solud/analisi/0201.pdf
FRAZ. SAMMARDENCHIA,POZZUOLO DEL FRIULI,https://www.cafcspa.com/solud/analisi/0201.pdf
CALLE DELLA LOGGIA,PRECENICCO,https://www.cafcspa.com/solud/analisi/0701.pdf
VIA CREDONA,PREONE,https://www.cafcspa.com/solud/analisi/B605.pdf
LOCALITA' SAN GIOVANNI,RAGOGNA,https://www.cafcspa.com/solud/analisi/0201.pdf
CORTE DIVISIONE JULIA,REANA DEL ROJALE,https://www.cafcspa.com/solud/analisi/0201.pdf
FRAZ. ARCANO SUPERIORE,RIVE D'ARCANO,https://www.cafcspa.com/solud/analisi/0201.pdf
CASALI MOLINO,RIVIGNANO TEOR,https://www.cafcspa.com/solud/analisi/0701.pdf
ANDRONA VALENTINIS,RONCHIS,https://www.cafcspa.com/solud/analisi/0701.pdf
CORTE DEL TROVATORE,RUDA,https://www.cafcspa.com/solud/analisi/2401.pdf
CASALI VENIER - LOCALITA' CIMANO,SAN DANIELE DEL FRIULI,https://www.cafcspa.com/solud/analisi/0201.pdf
FRAZ. CROSTO',SAN LEONARDO,https://www.cafcspa.com/solud/analisi/0201.pdf
LOCALITA' NOGAREDO AL TORRE,SAN VITO AL TORRE,https://www.cafcspa.com/solud/analisi/2401.pdf
BORGO RIGHINI,SAN VITO DI FAGAGNA,https://www.cafcspa.com/solud/analisi/0201.pdf
BORGO DI SOPRA,SANTA MARIA LA LONGA,https://www.cafcspa.com/solud/analisi/6001.pdf
ANDRONA ZORATTI,SEDEGLIANO,https://www.cafcspa.com/solud/analisi/0201.pdf
ANDRONA MARELLO,TALMASSONS,https://www.cafcspa.com/solud/analisi/0701.pdf
FRAZ. BRANCO VIA  E.DE AMICIS,TAVAGNACCO,https://www.cafcspa.com/solud/analisi/0201.pdf
