alias_address,alias_city,georeferencingString,geocode,geometry
CORTE GIACOMELLI,UDINE,UDINE CORTE GIACOMELLI,"Corte Giacomelli, Borgo Poscolle, Quartiere San Domenico, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2326466, 46.0633917]}"
CORTE SAVORGNAN,UDINE,UDINE CORTE SAVORGNAN,"Corte Savorgnan, Borgo Grazzano, Quartiere San Domenico, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2351438, 46.0618415]}"
CORTE SAVORGNANA,UDINE,UDINE CORTE SAVORGNANA,,
LARGO CARLO MELZI,UDINE,UDINE LARGO CARLO MELZI,"Largo Carlo Melzi, Borgo Poscolle, Quartiere San Domenico, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, Italia","{'type': 'Point', 'coordinates': [13.23115166293104, 46.06394065]}"
LARGO DEI CAPPUCCINI,UDINE,UDINE LARGO DEI CAPPUCCINI,"Largo dei Cappuccini, Borgo Aquileia, Casali Osellin, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2430596, 46.0627243]}"
LARGO DEI PECILE,UDINE,UDINE LARGO DEI PECILE,"Largo dei Pecile, Borgo Poscolle, Borgonuovo II, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2321426, 46.0639969]}"
LARGO DEL PECILE,UDINE,UDINE LARGO DEL PECILE,,
LARGO DEL TEATRO,UDINE,UDINE LARGO DEL TEATRO,"Largo del Teatro, Borgo Pracchiuso, Casali Osellin, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2441603, 46.0663827]}"
LARGO DELLE GRAZIE,UDINE,UDINE LARGO DELLE GRAZIE,"Largo delle Grazie, Borgo Gemona, Borgonuovo II, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2378838, 46.0668386]}"
LARGO GOLDONI,UDINE,UDINE LARGO GOLDONI,"Largo Goldoni, Borgo Aquileia, Baldasseria Media, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2474957, 46.0605845]}"
LARGO OSPEDALE VECCHIO,UDINE,UDINE LARGO OSPEDALE VECCHIO,"Largo Ospedale Vecchio, Borgo Grazzano, Baldasseria Media, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2352601, 46.060219]}"
LARGO VAL CALDA,UDINE,UDINE LARGO VAL CALDA,,
LARGO VAL CANALE,UDINE,UDINE LARGO VAL CANALE,"Largo Val Canale, Villaggio del Sole, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2088963, 46.0763819]}"
LOC. GODIA VIA  LIGURIA,UDINE,UDINE LOC. GODIA VIA  LIGURIA,,
PIAZZA ANTONIO BELLONI,UDINE,UDINE PIAZZA ANTONIO BELLONI,"Piazza Belloni, Borgo Poscolle, Borgonuovo II, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, Italia","{'type': 'Point', 'coordinates': [13.236134202994485, 46.0627612]}"
PIAZZA BOLZANO,UDINE,UDINE PIAZZA BOLZANO,"Piazza Bolzano, Borgo Pracchiuso, Casali Osellin, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.244955, 46.0645002]}"
PIAZZA CHIAVRIS,UDINE,UDINE PIAZZA CHIAVRIS,"Piazza Chiavris, Chiavris, Borgonuovo II, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2353973, 46.0779894]}"
PIAZZA DEL DUOMO,UDINE,UDINE PIAZZA DEL DUOMO,"Piazza del Duomo, Borgo Aquileia, Baldasseria Media, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2375028, 46.0622205]}"
PIAZZA DEL PATRIARCATO,UDINE,UDINE PIAZZA DEL PATRIARCATO,"Piazza del Patriarcato, Borgo Aquileia, Casali Osellin, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2397131, 46.0636856]}"
PIAZZA DELLA LIBERTA',UDINE,UDINE PIAZZA DELLA LIBERTA',"Piazza della Libertà, Borgo Poscolle, Borgonuovo II, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, Italia","{'type': 'Point', 'coordinates': [13.235725507559742, 46.06349455]}"
PIAZZA DELLA REPUBBLICA,UDINE,UDINE PIAZZA DELLA REPUBBLICA,"Piazza della Repubblica, Borgo Aquileia, Baldasseria Media, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2406687, 46.0582355]}"
PIAZZA GIACOMO MATTEOTTI,UDINE,UDINE PIAZZA GIACOMO MATTEOTTI,"Piazza Giacomo Matteotti, Borgo Poscolle, Quartiere San Domenico, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, Italia","{'type': 'Point', 'coordinates': [13.23307945359637, 46.06296175]}"
PIAZZA GIOVANNI 23 N,UDINE,UDINE PIAZZA GIOVANNI 23 N,,
PIAZZA GIROLAMO VENERIO,UDINE,UDINE PIAZZA GIROLAMO VENERIO,"Piazza Girolamo Venerio, Borgo Grazzano, Baldasseria Media, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2364512, 46.0609144]}"
PIAZZA GIUSEPPE GARIBALDI,UDINE,UDINE PIAZZA GIUSEPPE GARIBALDI,"Piazza Giuseppe Garibaldi, Borgo Grazzano, Quartiere San Domenico, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2334891, 46.0595193]}"
PIAZZA GUGLIELMO MARCONI,UDINE,UDINE PIAZZA GUGLIELMO MARCONI,"Piazza Guglielmo Marconi, Borgo Poscolle, Borgonuovo II, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, Italia","{'type': 'Point', 'coordinates': [13.234215833554483, 46.06484785000001]}"
PIAZZA I MAGGIO,UDINE,UDINE PIAZZA I MAGGIO,"Piazza I Maggio, Borgo Gemona, Casali Osellin, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2381114, 46.0644404]}"
PIAZZA I MAGGIO POSTEGGIO 4,UDINE,UDINE PIAZZA I MAGGIO POSTEGGIO 4,,
PIAZZA LIBIA,UDINE,UDINE PIAZZA LIBIA,"Piazza Libia, Borgo Villalta, Quartiere San Domenico, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2128833, 46.0702832]}"
PIAZZA MEDAGLIE D'ORO,UDINE,UDINE PIAZZA MEDAGLIE D'ORO,"Piazza Medaglie d'Oro, Chiavris, Borgonuovo II, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2355858, 46.0775758]}"
PIAZZA P GIOVANNI XXIII,UDINE,UDINE PIAZZA P GIOVANNI XXIII,,
PIAZZA PADERNO,UDINE,UDINE PIAZZA PADERNO,"Piazza Paderno, Chiavris, Borgonuovo II, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2351028, 46.0864329]}"
PIAZZA PAPA GIOVANNI XXIII,UDINE,UDINE PIAZZA PAPA GIOVANNI XXIII,,
PIAZZA POLONIA,UDINE,UDINE PIAZZA POLONIA,"Piazza Polonia, Chiavris, Borgonuovo I, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, Italia","{'type': 'Point', 'coordinates': [13.2193068578271, 46.08444875]}"
PIAZZA RITA LEVI MONTALCINI,UDINE,UDINE PIAZZA RITA LEVI MONTALCINI,,
PIAZZA RIZZI,UDINE,UDINE PIAZZA RIZZI,"Piazza Rizzi, Villaggio del Sole, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33037, Italia","{'type': 'Point', 'coordinates': [13.2033058, 46.0837644]}"
PIAZZA S CRISTOFORO,UDINE,UDINE PIAZZA S CRISTOFORO,"Piazza San Cristoforo, Borgo Gemona, Borgonuovo II, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2336811, 46.065831]}"
PIAZZA SAN CRISTOFORO,UDINE,UDINE PIAZZA SAN CRISTOFORO,"Piazza San Cristoforo, Borgo Gemona, Borgonuovo II, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2336811, 46.065831]}"
PIAZZA UDINE,UDINE,UDINE PIAZZA UDINE,"Piazza Udine, Latina, Italia, Latina, Lazio, Italia","{'type': 'Point', 'coordinates': [12.892102619493556, 41.4571464]}"
PIAZZA VENERIO,UDINE,UDINE PIAZZA VENERIO,"Piazza Girolamo Venerio, Borgo Grazzano, Baldasseria Media, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2364512, 46.0609144]}"
PIAZZA VENERIO 1,UDINE,UDINE PIAZZA VENERIO 1,"Piazza Girolamo Venerio, Borgo Grazzano, Baldasseria Media, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2364512, 46.0609144]}"
PIAZZA XX SETTEMBRE 1870,UDINE,UDINE PIAZZA XX SETTEMBRE 1870,"Piazza XX Settembre 1870, Borgo Grazzano, Quartiere San Domenico, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2348463, 46.0614655]}"
PIAZZALE BERENGARIO I,UDINE,UDINE PIAZZALE BERENGARIO I,"Piazzale Berengario I, Villaggio del Sole, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33037, Italia","{'type': 'Point', 'coordinates': [13.2041585, 46.0729526]}"
PIAZZALE BOLZANO,UDINE,UDINE PIAZZALE BOLZANO,"Piazza Bolzano, Borgo Pracchiuso, Casali Osellin, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, Italia","{'type': 'Point', 'coordinates': [13.245149153845226, 46.0645061]}"
PIAZZALE CARNIA,UDINE,UDINE PIAZZALE CARNIA,"Piazzale Carnia, Borgo Villalta, Villaggio del Sole, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2104846, 46.0751064]}"
PIAZZALE CAVEDALIS,UDINE,UDINE PIAZZALE CAVEDALIS,"Cavedalis, Via Marco Volpe, Borgo Villalta, Quartiere San Domenico, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.226607, 46.065927]}"
PIAZZALE CHIAVRIS,UDINE,UDINE PIAZZALE CHIAVRIS,"Piazza Chiavris, Chiavris, Borgonuovo II, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2353973, 46.0779894]}"
PIAZZALE D'ANNUNZIO,UDINE,UDINE PIAZZALE D'ANNUNZIO,"D'Annunzio, Piazzale Gabriele D'Annunzio, Borgo Aquileia, Baldasseria Media, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2445429, 46.0574842]}"
PIAZZALE DELL' AGRICOLTURA,UDINE,UDINE PIAZZALE DELL' AGRICOLTURA,,
PIAZZALE GABRIELE D' ANNUNZIO,UDINE,UDINE PIAZZALE GABRIELE D' ANNUNZIO,,
