parametro,syn0,syn1,syn2,syn3,syn4,syn5,syn6,syn7,syn8,syn9
residuo_fisso,residuo fisso,residuo fisso totale,* residuo fisso a 180 °c
durezza,durezza,durezza totale,durezza (da calcolo)
ph,ph,concentrazione di ioni idrogeno
calcio,calcio,* calcio (ca)
sodio,sodio,*  sodio (na)
magnesio,magnesio,* magnesio (mg)
potassio,potassio,*  potassio (k)
solfato,solfato,solfati
nitrato,nitrato,nitrati
nitrito,nitrito,nitriti
cloruro,cloruro,cloruri
conducibilita,conducibilita,conducibilità,conduttività a 20° c
fluoruri,fluoruri,fluoruro
ammoniaca,ammoniaca,ammonio
manganese,manganese,manganese (mn)
arsenico,arsenico,arsenico (as)
bicarbonato,bicarbonato
cloro_residuo,cloro residuo,cloro residuo libero
