alias_address,alias_city,geocode,geometry,georeferencingString,urlReport
Bosplans,Andreis,"Bosplans, Andreis, UTI delle Valli e delle Dolomiti Friulane, Friuli Venezia Giulia, Italia","{'type': 'Point', 'coordinates': [12.6311939, 46.1960849]}",Andreis Bosplans,https://www.hydrogea-pn.it/download/mappa/Andreis%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Montisel,Andreis,"Andreis, UTI delle Valli e delle Dolomiti Friulane, Friuli Venezia Giulia, Italia","{'type': 'Point', 'coordinates': [12.61367, 46.2004998]}",Andreis,https://www.hydrogea-pn.it/download/mappa/Andreis%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Alcheda,Andreis,"Alcheda, Andreis, UTI delle Valli e delle Dolomiti Friulane, Friuli Venezia Giulia, Italia","{'type': 'Point', 'coordinates': [12.600482, 46.2030205]}",Andreis Alcheda,https://www.hydrogea-pn.it/download/mappa/Andreis%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Colle di Arba,Arba,"Colle, UTI delle Valli e delle Dolomiti Friulane, Friuli Venezia Giulia, Italia","{'type': 'Point', 'coordinates': [12.8089746, 46.1620434]}",Colle di Arba,https://www.hydrogea-pn.it/download/mappa/Arba%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Fornel,Aviano,"Aviano, UTI Livenza - Cansiglio - Cavallo, Friuli Venezia Giulia, 33081, Italia","{'type': 'Point', 'coordinates': [12.5891138, 46.0685438]}",Aviano,https://www.hydrogea-pn.it/download/mappa/Aviano%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Clap Pisul,Aviano,"Clap del Pissol, Troi del Vuolth, Glera, Marsure, Aviano, UTI Livenza - Cansiglio - Cavallo, Friuli Venezia Giulia, 33081, Italia","{'type': 'Point', 'coordinates': [12.5892056, 46.1356337]}",Aviano Clap del Pissol,https://www.hydrogea-pn.it/download/mappa/Aviano%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Valdaga,Aviano,"Sentiero Val D'Aga, Bares, Aviano, UTI Livenza - Cansiglio - Cavallo, Friuli Venezia Giulia, 33081, Italia","{'type': 'Point', 'coordinates': [12.5636121, 46.0909779]}",Aviano Val D'aga,https://www.hydrogea-pn.it/download/mappa/Aviano%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Mandra,Aviano,"Aviano, UTI Livenza - Cansiglio - Cavallo, Friuli Venezia Giulia, 33081, Italia","{'type': 'Point', 'coordinates': [12.5891138, 46.0685438]}",Aviano,https://www.hydrogea-pn.it/download/mappa/Aviano%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Pedemonte,Aviano,"Pedemonte, Via Pedemontana Occidentale, Beorchia, Aviano, UTI Livenza - Cansiglio - Cavallo, Friuli Venezia Giulia, 33081, Italia","{'type': 'Point', 'coordinates': [12.5716873, 46.0699647]}",Aviano Pedemonte,https://www.hydrogea-pn.it/download/mappa/Aviano%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Marsure,Aviano,"Marsure, Aviano, UTI Livenza - Cansiglio - Cavallo, Friuli Venezia Giulia, 33081, Italia","{'type': 'Point', 'coordinates': [12.5976733, 46.0958621]}",Aviano Marsure,https://www.hydrogea-pn.it/download/mappa/Aviano%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
V. Cima Manera,Aviano,"Via Cima Manera, Zona Industriale di Aviano, Beorchia, Aviano, UTI Livenza - Cansiglio - Cavallo, Friuli Venezia Giulia, 33081, Italia","{'type': 'Point', 'coordinates': [12.5980453, 46.0657565]}",Aviano V. Cima Manera,https://www.hydrogea-pn.it/download/mappa/Aviano%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Molassa,Barcis,"Molassa, Barcis, UTI delle Valli e delle Dolomiti Friulane, Friuli Venezia Giulia, Italia","{'type': 'Point', 'coordinates': [12.5915434, 46.1967405]}",Barcis Molassa,https://www.hydrogea-pn.it/download/mappa/Barcis%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
località Dardago,Barcis,"ex cava Opolis, Aviano, UTI Livenza - Cansiglio - Cavallo, Friuli Venezia Giulia, 33081, Italia","{'type': 'Point', 'coordinates': [12.5457329, 46.0647708]}",Località Dardago,https://www.hydrogea-pn.it/download/mappa/Budoia%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Cuol Basso,Barcis,"Località Losie, Barcis, UTI delle Valli e delle Dolomiti Friulane, Friuli Venezia Giulia, Italia","{'type': 'Point', 'coordinates': [12.5396558, 46.1767014]}",Località Losie Barcis,https://www.hydrogea-pn.it/download/mappa/Barcis%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Arcola,Barcis,"Rio Arcola, Barcis, UTI delle Valli e delle Dolomiti Friulane, Friuli Venezia Giulia, Italia","{'type': 'Point', 'coordinates': [12.5294493, 46.2062635]}",Barcis Arcola,https://www.hydrogea-pn.it/download/mappa/Barcis%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Pozzi Santa Lucia,Budoia,"Colli di Santa Lucia, Polcenigo, UTI Livenza - Cansiglio - Cavallo, Friuli Venezia Giulia, Italia","{'type': 'Point', 'coordinates': [12.5180926, 46.0360765]}",Colli di Santa Lucia Polcenigo,https://www.hydrogea-pn.it/download/mappa/Budoia%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Sinistra Piave Serbatoio Valbona,Caneva,"Via Valbona, Località Pian de Salere, Caneva, UTI Livenza - Cansiglio - Cavallo, Friuli Venezia Giulia, 31016, Italia","{'type': 'Point', 'coordinates': [12.4387363, 45.9722559]}",Via Valbona Caneva,https://www.hydrogea-pn.it/download/mappa/Caneva%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Castello,Castelnovo del Friuli,"Località Castello, Località Rurale Cuel di Mulin, Castelnovo del Friuli, UTI delle Valli e delle Dolomiti Friulane, Friuli Venezia Giulia, 33094, Italia","{'type': 'Point', 'coordinates': [12.9055536, 46.1906955]}",Località Castello di Castelnovo del Friuli,https://www.hydrogea-pn.it/download/mappa/Castelnovo%20d%20F.%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Mocenigo,Castelnovo del Friuli,"Località Mocenigo, Mocenigo, Castelnovo del Friuli, UTI delle Valli e delle Dolomiti Friulane, Friuli Venezia Giulia, 33094, Italia","{'type': 'Point', 'coordinates': [12.8903356, 46.1866815]}",Località Mocenigo Castelnovo del Friuli,https://www.hydrogea-pn.it/download/mappa/Castelnovo%20d%20F.%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Sottocolli,Castelnovo del Friuli,"Località Sottocolli, Sottocolli, Castelnovo del Friuli, UTI delle Valli e delle Dolomiti Friulane, Friuli Venezia Giulia, 33094, Italia","{'type': 'Point', 'coordinates': [12.8988872, 46.1791118]}",Località Sottocolli Castelnovo del Friuli,https://www.hydrogea-pn.it/download/mappa/Castelnovo%20d%20F.%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Menis,Castelnovo del Friuli,"Località Menis, Menis, Castelnovo del Friuli, UTI delle Valli e delle Dolomiti Friulane, Friuli Venezia Giulia, 33094, Italia","{'type': 'Point', 'coordinates': [12.9142996, 46.1827131]}",Località Menis Castelnovo del Friuli,https://www.hydrogea-pn.it/download/mappa/Castelnovo%20d%20F.%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Almadis,Castelnovo del Friuli,"Località Almadis, Almadis, Castelnovo del Friuli, UTI delle Valli e delle Dolomiti Friulane, Friuli Venezia Giulia, 33090, Italia","{'type': 'Point', 'coordinates': [12.8969426, 46.2104132]}",Località Almadis Castelnovo del Friuli,https://www.hydrogea-pn.it/download/mappa/Castelnovo%20d%20F.%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Paludea,Castelnovo del Friuli,"Località Paludea, UTI delle Valli e delle Dolomiti Friulane, Friuli Venezia Giulia, 33094, Italia","{'type': 'Point', 'coordinates': [12.9035234, 46.2001976]}",Località Paludea Castelnovo del Friuli,https://www.hydrogea-pn.it/download/mappa/Castelnovo%20d%20F.%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Forca,Castelnovo del Friuli,"Località Forca, Forca, Castelnovo del Friuli, UTI delle Valli e delle Dolomiti Friulane, Friuli Venezia Giulia, 33094, Italia","{'type': 'Point', 'coordinates': [12.9032565, 46.1965146]}",Località Forca Castelnovo del Friuli,https://www.hydrogea-pn.it/download/mappa/Castelnovo%20d%20F.%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Palle Rosse,Castelnovo del Friuli,"Colle Pale Rosse, Castelnovo del Friuli, UTI delle Valli e delle Dolomiti Friulane, Friuli Venezia Giulia, 33090, Italia","{'type': 'Point', 'coordinates': [12.9087814, 46.2125652]}",Colle Pale Rosse Castelnovo,https://www.hydrogea-pn.it/download/mappa/Castelnovo%20d%20F.%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Vidunza,Castelnovo del Friuli,"Vidunza, Castelnovo del Friuli, UTI delle Valli e delle Dolomiti Friulane, Friuli Venezia Giulia, 33090, Italia","{'type': 'Point', 'coordinates': [12.8916065, 46.2011413]}",Vidunza Castelnovo del Friuli,https://www.hydrogea-pn.it/download/mappa/Castelnovo%20d%20F.%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Colonia,Cimolais,"Col Meluzzo, Cimolais, UTI delle Valli e delle Dolomiti Friulane, Friuli Venezia Giulia, Italia","{'type': 'Point', 'coordinates': [12.5030057, 46.3760099]}",Colonia Cimolais,https://www.hydrogea-pn.it/download/mappa/Cimolais%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Ciafurle,Claut,"Colderon, Claut, UTI delle Valli e delle Dolomiti Friulane, Friuli Venezia Giulia, Italia","{'type': 'Point', 'coordinates': [12.5191616, 46.2736658]}",Località Colderon Claut,https://www.hydrogea-pn.it/download/mappa/Claut%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Pinedo,Claut,"Bosco Rebezzin, Claut, UTI delle Valli e delle Dolomiti Friulane, Friuli Venezia Giulia, Italia","{'type': 'Point', 'coordinates': [12.480279, 46.256103]}",Località Pinedo Claut,https://www.hydrogea-pn.it/download/mappa/Claut%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Masut,Claut,"Masut, Claut, UTI delle Valli e delle Dolomiti Friulane, Friuli Venezia Giulia, Italia","{'type': 'Point', 'coordinates': [12.5257983, 46.2691292]}",Località Masut Claut,https://www.hydrogea-pn.it/download/mappa/Claut%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Contron,Claut,"Località Contron, Contron, Claut, UTI delle Valli e delle Dolomiti Friulane, Friuli Venezia Giulia, Italia","{'type': 'Point', 'coordinates': [12.488473, 46.2349503]}",Località Contron Claut,https://www.hydrogea-pn.it/download/mappa/Claut%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
