alias_city,alias_address,georeferencingString,urlReport
Andreis,Bosplans,Andreis Bosplans,https://www.hydrogea-pn.it/download/mappa/Andreis%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Andreis,Montisel,Andreis,https://www.hydrogea-pn.it/download/mappa/Andreis%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Andreis,Alcheda,Andreis Alcheda,https://www.hydrogea-pn.it/download/mappa/Andreis%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Arba,Colle di Arba,Colle di Arba,https://www.hydrogea-pn.it/download/mappa/Arba%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Aviano,Fornel,Aviano,https://www.hydrogea-pn.it/download/mappa/Aviano%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Aviano,Clap Pisul,Aviano Clap del Pissol,https://www.hydrogea-pn.it/download/mappa/Aviano%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Aviano,Valdaga,Aviano Val D'aga,https://www.hydrogea-pn.it/download/mappa/Aviano%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Aviano,Mandra,Aviano,https://www.hydrogea-pn.it/download/mappa/Aviano%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Aviano,Pedemonte,Aviano Pedemonte,https://www.hydrogea-pn.it/download/mappa/Aviano%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Aviano,Marsure,Aviano Marsure,https://www.hydrogea-pn.it/download/mappa/Aviano%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Aviano,V. Cima Manera,Aviano V. Cima Manera,https://www.hydrogea-pn.it/download/mappa/Aviano%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Barcis,Molassa,Barcis Molassa,https://www.hydrogea-pn.it/download/mappa/Barcis%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Barcis,località Dardago,Località Dardago,https://www.hydrogea-pn.it/download/mappa/Budoia%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Barcis,Cuol Basso,Località Losie Barcis,https://www.hydrogea-pn.it/download/mappa/Barcis%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Barcis,Arcola,Barcis Arcola,https://www.hydrogea-pn.it/download/mappa/Barcis%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Budoia,Pozzi Santa Lucia,Colli di Santa Lucia Polcenigo,https://www.hydrogea-pn.it/download/mappa/Budoia%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Caneva,Sinistra Piave Serbatoio Valbona,Via Valbona Caneva,https://www.hydrogea-pn.it/download/mappa/Caneva%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Castelnovo del Friuli,Castello,Località Castello di Castelnovo del Friuli,https://www.hydrogea-pn.it/download/mappa/Castelnovo%20d%20F.%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Castelnovo del Friuli,Mocenigo,Località Mocenigo Castelnovo del Friuli,https://www.hydrogea-pn.it/download/mappa/Castelnovo%20d%20F.%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Castelnovo del Friuli,Sottocolli,Località Sottocolli Castelnovo del Friuli,https://www.hydrogea-pn.it/download/mappa/Castelnovo%20d%20F.%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Castelnovo del Friuli,Menis,Località Menis Castelnovo del Friuli,https://www.hydrogea-pn.it/download/mappa/Castelnovo%20d%20F.%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
Castelnovo del Friuli,Almadis,Località Almadis Castelnovo del Friuli,https://www.hydrogea-pn.it/download/mappa/Castelnovo%20d%20F.%20-%20caratteristiche%20acqua%20HYDROGEA.pdf
