alias_city,alias_address,type,georeferencingString,poligonKey
Isola Morosini,Friuli Venezia Giulia,POINT,ISOLA MOROSINI,ISOLA MOROSINI
Gorizia,Friuli Venezia Giulia,POINT,GORIZIA,GORIZIA
Gorizia,Friuli Venezia Giulia,POINT,SAN FLORIANO DEL COLLIO,SAN FLORIANO DEL COLLIO
Farra,Friuli Venezia Giulia,POINT,SAVOGNA D'ISONZO,SAVOGNA D'ISONZO
Farra,Friuli Venezia Giulia,POINT,DOBERDO' DEL LAGO,DOBERDO' DEL LAGO
Farra,Friuli Venezia Giulia,POINT,FOGLIANO REDIPUGLIA,FOGLIANO REDIPUGLIA
Farra,Friuli Venezia Giulia,POINT,VILLESSE,VILLESSE
Farra,Friuli Venezia Giulia,POINT,FARRA D'ISONZO,FARRA D'ISONZO
Farra,Friuli Venezia Giulia,POINT,GRADISCA D'ISONZO,GRADISCA D'ISONZO
Farra,Friuli Venezia Giulia,POINT,SAGRADO,SAGRADO
Farra,Friuli Venezia Giulia,POINT,ROMANS D'ISONZO,ROMANS D'ISONZO
Farra,Friuli Venezia Giulia,POINT,MARIANO DEL FRIULI,MARIANO DEL FRIULI
Farra,Friuli Venezia Giulia,POINT,SAN LORENZO ISONTINO,SAN LORENZO ISONTINO
Farra,Friuli Venezia Giulia,POINT,MORARO,MORARO
Farra,Friuli Venezia Giulia,POINT,CAPRIVA DEL FRIULI,CAPRIVA DEL FRIULI
Farra,Friuli Venezia Giulia,POINT,MOSSA,MOSSA
Cormons,Friuli Venezia Giulia,POINT,CORMONS,CORMONS
Cormons,Friuli Venezia Giulia,POINT,MEDEA FRIULI VENEZIA GIULIA,MEDEA
Dolegna,Friuli Venezia Giulia,POINT,DOLEGNA DEL COLLIO,DOLEGNA DEL COLLIO
Monfalcone,Friuli Venezia Giulia,POINT,MONFALCONE,MONFALCONE
Ronchi dei Legionari,Friuli Venezia Giulia,POINT,RONCHI DEI LEGIONARI,RONCHI DEI LEGIONARI
Ronchi dei Legionari,Friuli Venezia Giulia,POINT,TURRIACO,TURRIACO
Ronchi dei Legionari,Friuli Venezia Giulia,POINT,STARANZANO,STARANZANO
Ronchi dei Legionari,Friuli Venezia Giulia,POINT,SAN CANZIAN D'ISONZO,SAN CANZIAN D'ISONZO
Grado,Friuli Venezia Giulia,POINT,GRADO FRIULI VENEZIA GIULIA,GRADO
San Pier d'Isonzo,Friuli Venezia Giulia,POINT,SAN PIER D'ISONZO,SAN PIER D'ISONZO
