parametro,syn0,syn1,syn2,syn3,syn4,syn5,syn6,syn7,syn8,syn9
zona,zona
residuo_fisso,residuo fisso,residuo fisso totale
durezza,durezza,durezza totale
ph,ph,
calcio,calcio,
sodio,sodio,
magnesio,magnesio,
potassio,potassio,
solfato,solfato,solfati
nitrato,nitrato,nitrati
nitrito,nitrito,nitriti
cloruro,cloruro,cloruri
conducibilita,conducibilita,conducibilità
fluoruri,fluoruri,
ammoniaca,ammoniaca,ammonio
manganese,manganese
arsenico,arsenico
bicarbonato,bicarbonato
cloro_residuo,cloro residuo,cloro residuo libero
