alias_address,alias_city,ammoniaca,arsenico,bicarbonato,calcio,cloro_residuo,cloruro,conducibilita,data_report,durezza,fluoruri,magnesio,manganese,nitrato,nitrito,ph,potassio,residuo_fisso,sodio,solfato
Acquedotto Ameglia capoluogo,AMEGLIA,<0.05,<0.05,287.4,88.2,0.04,35.7,545,19/06/19,29.5,<0.05,18.2,<5,9.2,<0.05,7.4,2.3,511.2,23.6,46.6
Acquedotto Montemarcello,AMEGLIA,<0.05,<0.05,292.9,85.7,0.2,39.8,590,28/01/19,28.9,<0.05,18.3,<5,7.5,<0.05,7.6,2.3,519.1,23.7,48.9
Acquedotto Arcola alta,ARCOLA,<0.05,<0.05,216.6,78,0.03,42.9,495,19/06/19,23.9,<0.05,10.7,<5,3.4,<0.05,7.5,1.8,437.2,27.8,56
Acquedotto Baccano,ARCOLA,<0.05,<0.05,232,76.6,0.1,38,518,28/01/19,24.3,<0.05,12.6,<5,4,<0.05,7.5,2,447.2,25.4,56.7
Acquedotto Piano di Arcola,ARCOLA,<0.05,<0.05,201.4,72.8,0.1,39.8,498,28/01/19,22.2,<0.05,9.7,<5,2.9,<0.05,7.6,1.7,417.4,27.1,62
Acquedotto Ressora,ARCOLA,<0.05,<0.05,275,82.8,,38.4,566,28/01/19,27.9,<0.05,17.5,<5,7.7,<0.05,7.5,2.4,491.8,22.2,46.2
Acquedotto Romito Magra,ARCOLA,<0.05,<0.05,167.8,63.8,0.2,40.6,443,28/01/19,18.8,<0.05,7,<5,2,<0.05,7.9,1.7,364.5,26.9,54.7
Acquedotto Trebiano,ARCOLA,<0.05,<0.05,231.9,75.3,<0.01,37.6,519,28/01/19,24.2,<0.05,13.2,<5,3.7,<0.05,7.7,2,443.6,25.2,54.7
Acquedotto Bracelli,BEVERINO,<0.05,<0.05,184.9,50.3,0.06,10.7,309,26/06/19,16,<0.05,8.4,<5,3.7,<0.05,7.9,1.8,282.5,10.1,12.6
Acquedotto Castello,BEVERINO,<0.05,<0.05,182.4,48.5,0.07,12,293,26/06/19,15.1,<0.05,7.2,<5,2.8,<0.05,7.6,1.2,273.1,10.4,8.6
Acquedotto Castiglione Gambella,BEVERINO,<0.05,<0.05,192.8,2.3,0.09,7.3,252,26/06/19,18,<0.05,42.3,<5,0.6,<0.05,7.9,0.3,255.2,4.4,5.2
Acquedotto Castiglione Vara,BEVERINO,<0.05,<0.05,189.2,3.5,0.14,8.1,268,14/02/19,16.5,0.1,38,<5,0.7,<0.05,8.0,0.4,250.5,4.9,5.6
Acquedotto Cavanella Capanne,BEVERINO,<0.05,0.90,341.7,54.5,0.04,8.8,469,10/12/19,30.1,<0.05,40.2,<5,0,<0.05,7.5,0.3,456.6,6,5.1
Acquedotto Cavanella Costa,BEVERINO,<0.05,0.23,204.4,60.5,0.05,10.4,343,10/12/19,19,<0.05,9.4,<5,3.9,<0.05,7.5,2.2,317.8,10.5,16.5
Acquedotto Cernadore,BEVERINO,<0.05,<0.05,122,31.6,0.13,10.2,210,26/06/19,10.6,<0.05,6.6,<5,0.3,<0.05,7.7,1.1,191.5,11.3,8.4
Acquedotto Corvara,BEVERINO,<0.05,0.80,62.2,15.9,0.13,8.7,124,10/12/19,5.3,<0.05,3.3,<5,0.2,<0.05,7.5,0.7,104.6,7.8,5.8
Acquedotto Memola,BEVERINO,<0.05,<0.05,92.1,22.3,0.04,8.7,164,26/06/19,7.1,<0.05,3.7,<5,1.6,<0.05,7.0,1,150,13.9,6.7
Acquedotto Padivarma,BEVERINO,<0.05,0.23,205,61.3,0.1,10.6,346,10/12/19,19.2,<0.05,9.5,<5,3.9,<0.05,7.6,2.3,320.1,10.7,16.8
Acquedotto Pastani,BEVERINO,<0.05,<0.05,194.7,48.5,0.11,12,306,26/06/19,15.1,<0.05,7.2,<5,2.8,<0.05,7.3,1.2,285.4,10.4,8.6
Acquedotto Piandibarca,BEVERINO,<0.05,0.95,69,17.9,0.02,9.9,132,21/10/19,5.6,<0.05,2.7,<5,0.2,<0.05,7.6,0.6,412.5,9,6.1
Acquedotto San Cipriano,BEVERINO,<0.05,0.06,192.8,52.3,0.12,10.9,306,26/06/19,16.1,<0.05,7.4,<5,3.7,<0.05,7.3,1.6,287.8,9.3,9.8
Acquedotto San Remigio,BEVERINO,<0.05,<0.05,221.5,53.8,0.12,6.3,330,10/12/19,19.7,<0.05,15.3,<5,2.1,<0.05,7.7,1.2,314.6,7.2,7.2
Acquedotto Stagnedo,BEVERINO,<0.05,<0.05,222.7,62.9,0.05,11.2,341,26/07/19,18.9,<0.05,7.9,<5,1.7,<0.05,7.7,1.2,328.7,10.9,10.2
Acquedotto Trezzo,BEVERINO,<0.05,0.80,68.9,15.6,0.32,9.1,123,10/12/19,5.2,<0.05,3.1,<5,0.3,<0.05,7.5,0.7,111.8,8.1,5.9
Acquedotto Casa Scattina,BOLANO,<0.05,<0.05,201.4,57.4,0.1,11.8,335,23/01/19,17.9,<0.05,8.8,<5,2.2,<0.05,7.8,1.3,309.9,9.2,17.8
Acquedotto Ceparana,BOLANO,<0.05,0.19,198,53.7,0.19,8.1,302,30/09/19,16.2,<0.05,6.9,<5,0.8,<0.05,7.7,1.2,819.3,10.3,12.1
Acquedotto Ceparana capoluogo,BOLANO,<0.05,<0.05,178.8,50.7,0.2,10.4,296,23/01/19,15.8,<0.05,7.7,<5,1.7,<0.05,7.7,1.2,273.5,8.1,14.9
Acquedotto Bonassola  capoluogo,BONASSOLA,<0.05,<0.05,194.7,13.9,0.04,16.8,268,11/02/19,17.7,<0.05,34.7,<5,4.6,<0.05,8.0,0.5,283.8,9,9.6
Acquedotto Fena,BONASSOLA,<0.05,<0.05,146.4,27.3,0.27,25.7,321,11/02/19,14.3,<0.05,18.2,<5,11.1,<0.05,7.8,1.4,264.9,16.7,18.1
Acquedotto Montaretto,BONASSOLA,<0.05,0.18,204,11.1,0.09,13.6,299,14/10/19,16.2,<0.05,32.6,<5,1,<0.05,7.9,0.3,444.6,7.7,6.2
Acquedotto San Giorgio,BONASSOLA,<0.05,<0.05,213.6,9.6,0.08,14.4,325,11/02/19,18.8,<0.05,40,<5,1.2,<0.05,7.9,0.3,292.7,6.8,6.8
Acquedotto Bocca Pignone,BORGHETTO VARA,<0.05,<0.05,62.2,12.2,,7.1,131,17/01/19,4.1,<0.05,2.6,<5,2.9,<0.05,6.8,1.2,108.3,12.1,8
Acquedotto Borghetto Vara capoluogo,BORGHETTO VARA,<0.05,<0.05,102.5,31.5,0.01,8.8,190,25/03/19,9.1,<0.05,3,<5,0.7,<0.05,7.7,0.8,164.1,7.2,9.6
Acquedotto Borghetto capoluogo,BORGHETTO VARA,<0.05,<0.05,93.4,29.5,0.1,8.8,182,17/01/19,8,<0.05,1.6,<5,0.7,<0.05,7.4,0.8,151.5,7.4,9.3
