alias_address,alias_city,data_report,geocode,geometry,georeferencingString,type
Acquedotto capoluogo (centro storico),MONTEROSSO,26/02/19,,,"19016, Fegina, Monterosso al Mare, SP, Liguria",POINT
Acquedotto Fegina,MONTEROSSO,24/07/19,"Via Fegina, 19016, Monterosso al Mare, SP","{'type': 'Point', 'coordinates': [9.651112800276334, 44.14574459998095]}",Via Fegina 19016 Monterosso al Mare SP,POINT
Acquedotto Monterosso Fegina,MONTEROSSO,26/02/19,"Via Fegina, 19016, Monterosso al Mare, SP","{'type': 'Point', 'coordinates': [9.651112800276334, 44.14574459998095]}",Via Fegina 19016 Monterosso al Mare SP,POINT
Acquedotto Marinella,SARZANA,31/07/19,"19038, Marinella di Sarzana, Sarzana, SP, Liguria","{'type': 'Point', 'coordinates': [10.016296339583493, 44.04874104172436]}",Marinella di Sarzana 19038 SP,POINT
Acquedotto Beverone,ROCCHETTA VARA,22/01/19,"Rocchetta di Vara, SP","{'type': 'Point', 'coordinates': [9.75645000000003, 44.25212000000005]}","Beverone, ROCCHETTA VARA, SP, Liguria",POINT
Acquedotto Ameglia capoluogo,AMEGLIA,19/06/19,"Ameglia, SP","{'type': 'Point', 'coordinates': [9.95619000000005, 44.06582000000003]}","Ameglia capoluogo, AMEGLIA, SP, Liguria",POINT
Acquedotto Montemarcello,AMEGLIA,28/01/19,"Montemarcello, Ameglia, SP","{'type': 'Point', 'coordinates': [9.965590000000077, 44.044350000000065]}","Montemarcello, AMEGLIA, SP, Liguria",POINT
Acquedotto Arcola alta,ARCOLA,19/06/19,"Arcola, SP","{'type': 'Point', 'coordinates': [9.904430000000048, 44.113920000000064]}","Arcola alta, ARCOLA, SP, Liguria",POINT
Acquedotto Baccano,ARCOLA,28/01/19,"Baccano, Arcola, SP","{'type': 'Point', 'coordinates': [9.89808000000005, 44.11136000000005]}","Baccano, ARCOLA, SP, Liguria",POINT
Acquedotto Piano di Arcola,ARCOLA,28/01/19,"Arcola, SP","{'type': 'Point', 'coordinates': [9.904430000000048, 44.113920000000064]}","Piano di Arcola, ARCOLA, SP, Liguria",POINT
Acquedotto Ressora,ARCOLA,28/01/19,"Ressora, Arcola, SP","{'type': 'Point', 'coordinates': [9.921150000000068, 44.109210000000076]}","Ressora, ARCOLA, SP, Liguria",POINT
Acquedotto Romito Magra,ARCOLA,28/01/19,"Romito Magra, Arcola, SP","{'type': 'Point', 'coordinates': [9.935790000000054, 44.099420000000066]}","Romito Magra, ARCOLA, SP, Liguria",POINT
Acquedotto Trebiano,ARCOLA,28/01/19,"Trebiano, Arcola, SP","{'type': 'Point', 'coordinates': [9.923790000000054, 44.10312000000005]}","Trebiano, ARCOLA, SP, Liguria",POINT
