alias_city,alias_address,data_report,georeferencingString,type
AMEGLIA,Acquedotto Ameglia capoluogo,28/01/19,"Ameglia capoluogo, AMEGLIA, SP, Liguria",POINT
AMEGLIA,Acquedotto Ameglia capoluogo,19/06/19,"Ameglia capoluogo, AMEGLIA, SP, Liguria",POINT
AMEGLIA,Acquedotto Ameglia capoluogo,28/01/19,"Ameglia capoluogo, AMEGLIA, SP, Liguria",POINT
AMEGLIA,Acquedotto Ameglia capoluogo,19/06/19,"Ameglia capoluogo, AMEGLIA, SP, Liguria",POINT
AMEGLIA,Acquedotto Montemarcello,28/01/19,"Montemarcello, AMEGLIA, SP, Liguria",POINT
ARCOLA,Acquedotto Arcola alta,19/06/19,"Arcola alta, ARCOLA, SP, Liguria",POINT
ARCOLA,Acquedotto Baccano,28/01/19,"Baccano, ARCOLA, SP, Liguria",POINT
ARCOLA,Acquedotto Piano di Arcola,28/01/19,"Piano di Arcola, ARCOLA, SP, Liguria",POINT
ARCOLA,Acquedotto Ressora,28/01/19,"Ressora, ARCOLA, SP, Liguria",POINT
ARCOLA,Acquedotto Romito Magra,28/01/19,"Romito Magra, ARCOLA, SP, Liguria",POINT
ARCOLA,Acquedotto Trebiano,28/01/19,"Trebiano, ARCOLA, SP, Liguria",POINT
BEVERINO,Acquedotto Bracelli,26/06/19,"Bracelli, BEVERINO, SP, Liguria",POINT
BEVERINO,Acquedotto Castello,22/02/19,"Castello, BEVERINO, SP, Liguria",POINT
BEVERINO,Acquedotto Castello,03/04/19,"Castello, BEVERINO, SP, Liguria",POINT
BEVERINO,Acquedotto Castello,26/06/19,"Castello, BEVERINO, SP, Liguria",POINT
BEVERINO,Acquedotto Castiglione Gambella,26/06/19,"Castiglione Gambella, BEVERINO, SP, Liguria",POINT
BEVERINO,Acquedotto Castiglione Vara,14/02/19,"Castiglione Vara, BEVERINO, SP, Liguria",POINT
BEVERINO,Acquedotto Cavanella Capanne,14/02/19,"Cavanella Capanne, BEVERINO, SP, Liguria",POINT
BEVERINO,Acquedotto Cavanella Capanne,25/06/19,"Cavanella Capanne, BEVERINO, SP, Liguria",POINT
BEVERINO,Acquedotto Cavanella Costa,14/02/19,"Cavanella Costa, BEVERINO, SP, Liguria",POINT
BEVERINO,Acquedotto Cavanella Costa,25/06/19,"Cavanella Costa, BEVERINO, SP, Liguria",POINT
BEVERINO,Acquedotto Cernadore,26/06/19,"Cernadore, BEVERINO, SP, Liguria",POINT
BEVERINO,Acquedotto Cernadore,22/02/19,"Cernadore, BEVERINO, SP, Liguria",POINT
BEVERINO,Acquedotto Corvara,14/02/19,"Corvara, BEVERINO, SP, Liguria",POINT
BEVERINO,Acquedotto Corvara,25/06/19,"Corvara, BEVERINO, SP, Liguria",POINT
BEVERINO,Acquedotto Memola,14/02/19,"Memola, BEVERINO, SP, Liguria",POINT
BEVERINO,Acquedotto Memola,26/06/19,"Memola, BEVERINO, SP, Liguria",POINT
BEVERINO,Acquedotto Padivarma,22/02/19,"Padivarma, BEVERINO, SP, Liguria",POINT
BEVERINO,Acquedotto Padivarma,25/06/19,"Padivarma, BEVERINO, SP, Liguria",POINT
BEVERINO,Acquedotto Pastani,22/02/19,"Pastani, BEVERINO, SP, Liguria",POINT
BEVERINO,Acquedotto Pastani,26/06/19,"Pastani, BEVERINO, SP, Liguria",POINT
BEVERINO,Acquedotto San Cipriano,22/02/19,"San Cipriano, BEVERINO, SP, Liguria",POINT
BEVERINO,Acquedotto San Cipriano,26/06/19,"San Cipriano, BEVERINO, SP, Liguria",POINT
BEVERINO,Acquedotto San Remigio,14/02/19,"San Remigio, BEVERINO, SP, Liguria",POINT
BEVERINO,Acquedotto San Remigio,25/06/19,"San Remigio, BEVERINO, SP, Liguria",POINT
