alias_city,alias_address,georeferencingString,type,data_report
AMEGLIA,Acquedotto Ameglia capoluogo,"Ameglia capoluogo, AMEGLIA, SP, Liguria",POINT,19/06/19
AMEGLIA,Acquedotto Montemarcello,"Montemarcello, AMEGLIA, SP, Liguria",POINT,28/01/19
ARCOLA,Acquedotto Arcola alta,"Arcola alta, ARCOLA, SP, Liguria",POINT,19/06/19
ARCOLA,Acquedotto Baccano,"Baccano, ARCOLA, SP, Liguria",POINT,28/01/19
ARCOLA,Acquedotto Piano di Arcola,"Piano di Arcola, ARCOLA, SP, Liguria",POINT,28/01/19
ARCOLA,Acquedotto Ressora,"Ressora, ARCOLA, SP, Liguria",POINT,28/01/19
ARCOLA,Acquedotto Romito Magra,"Romito Magra, ARCOLA, SP, Liguria",POINT,28/01/19
ARCOLA,Acquedotto Trebiano,"Trebiano, ARCOLA, SP, Liguria",POINT,28/01/19
BEVERINO,Acquedotto Bracelli,"Bracelli, BEVERINO, SP, Liguria",POINT,26/06/19
BEVERINO,Acquedotto Castello,"Castello, BEVERINO, SP, Liguria",POINT,26/06/19
BEVERINO,Acquedotto Castiglione Gambella,"Castiglione Gambella, BEVERINO, SP, Liguria",POINT,26/06/19
BEVERINO,Acquedotto Castiglione Vara,"Castiglione Vara, BEVERINO, SP, Liguria",POINT,14/02/19
BEVERINO,Acquedotto Cavanella Capanne,"Cavanella Capanne, BEVERINO, SP, Liguria",POINT,10/12/19
BEVERINO,Acquedotto Cavanella Costa,"Cavanella Costa, BEVERINO, SP, Liguria",POINT,10/12/19
BEVERINO,Acquedotto Cernadore,"Cernadore, BEVERINO, SP, Liguria",POINT,26/06/19
BEVERINO,Acquedotto Corvara,"Corvara, BEVERINO, SP, Liguria",POINT,10/12/19
BEVERINO,Acquedotto Memola,"Memola, BEVERINO, SP, Liguria",POINT,26/06/19
BEVERINO,Acquedotto Padivarma,"Padivarma, BEVERINO, SP, Liguria",POINT,10/12/19
BEVERINO,Acquedotto Pastani,"Pastani, BEVERINO, SP, Liguria",POINT,26/06/19
BEVERINO,Acquedotto Piandibarca,"Piandibarca, BEVERINO, SP, Liguria",POINT,21/10/19
BEVERINO,Acquedotto San Cipriano,"San Cipriano, BEVERINO, SP, Liguria",POINT,26/06/19
BEVERINO,Acquedotto San Remigio,"San Remigio, BEVERINO, SP, Liguria",POINT,10/12/19
BEVERINO,Acquedotto Stagnedo,"Stagnedo, BEVERINO, SP, Liguria",POINT,26/07/19
BEVERINO,Acquedotto Trezzo,"Trezzo, BEVERINO, SP, Liguria",POINT,10/12/19
BOLANO,Acquedotto Casa Scattina,"Casa Scattina, BOLANO, SP, Liguria",POINT,23/01/19
BOLANO,Acquedotto Ceparana,"Ceparana, BOLANO, SP, Liguria",POINT,30/09/19
BOLANO,Acquedotto Ceparana capoluogo,"Ceparana capoluogo, BOLANO, SP, Liguria",POINT,23/01/19
BONASSOLA,Acquedotto Bonassola  capoluogo,"Bonassola  capoluogo, BONASSOLA, SP, Liguria",POINT,11/02/19
BONASSOLA,Acquedotto Fena,"Fena, BONASSOLA, SP, Liguria",POINT,11/02/19
BONASSOLA,Acquedotto Montaretto,"Montaretto, BONASSOLA, SP, Liguria",POINT,14/10/19
BONASSOLA,Acquedotto San Giorgio,"San Giorgio, BONASSOLA, SP, Liguria",POINT,11/02/19
BORGHETTO VARA,Acquedotto Bocca Pignone,"Bocca Pignone, BORGHETTO VARA, SP, Liguria",POINT,17/01/19
BORGHETTO VARA,Acquedotto Borghetto Vara capoluogo,"Borghetto Vara capoluogo, BORGHETTO VARA, SP, Liguria",POINT,25/03/19
BORGHETTO VARA,Acquedotto Borghetto capoluogo,"Borghetto capoluogo, BORGHETTO VARA, SP, Liguria",POINT,17/01/19
BORGHETTO VARA,Acquedotto Cassana Chiesa,"Cassana Chiesa, BORGHETTO VARA, SP, Liguria",POINT,16/10/19
BORGHETTO VARA,Acquedotto Cassana Corneto,"Cassana Corneto, BORGHETTO VARA, SP, Liguria",POINT,16/10/19
BORGHETTO VARA,Acquedotto L'Ago,"L'Ago, BORGHETTO VARA, SP, Liguria",POINT,16/10/19
BORGHETTO VARA,Acquedotto Pogliasca,"Pogliasca, BORGHETTO VARA, SP, Liguria",POINT,16/10/19
BORGHETTO VARA,Acquedotto Ripalta,"Ripalta, BORGHETTO VARA, SP, Liguria",POINT,17/01/19
BORGHETTO VARA,Acquedotto Termine di Roverano,"Termine di Roverano, BORGHETTO VARA, SP, Liguria",POINT,17/01/19
BRUGNATO,Acquedotto Bozzolo,"Bozzolo, BRUGNATO, SP, Liguria",POINT,16/10/19
BRUGNATO,Acquedotto Brugnato capoluogo,"Brugnato capoluogo, BRUGNATO, SP, Liguria",POINT,16/10/19
CALICE AL CORNOVIGLIO,Acquedotto  S. Maria Cassorane,"S. Maria Cassorane, CALICE AL CORNOVIGLIO, SP, Liguria",POINT,13/02/19
CALICE AL CORNOVIGLIO,Acquedotto Borseda,"Borseda, CALICE AL CORNOVIGLIO, SP, Liguria",POINT,21/11/19
CALICE AL CORNOVIGLIO,Acquedotto Bruscarolo,"Bruscarolo, CALICE AL CORNOVIGLIO, SP, Liguria",POINT,21/11/19
CALICE AL CORNOVIGLIO,Acquedotto Castello,"Castello, CALICE AL CORNOVIGLIO, SP, Liguria",POINT,13/02/19
CALICE AL CORNOVIGLIO,Acquedotto Debeduse,"Debeduse, CALICE AL CORNOVIGLIO, SP, Liguria",POINT,21/11/19
CALICE AL CORNOVIGLIO,Acquedotto Nasso,"Nasso, CALICE AL CORNOVIGLIO, SP, Liguria",POINT,21/11/19
CALICE AL CORNOVIGLIO,Acquedotto Pegui,"Pegui, CALICE AL CORNOVIGLIO, SP, Liguria",POINT,13/02/19
CALICE AL CORNOVIGLIO,Acquedotto Piano di Madrignano,"Piano di Madrignano, CALICE AL CORNOVIGLIO, SP, Liguria",POINT,13/02/19
CALICE AL CORNOVIGLIO,Acquedotto S. Maria Beigo,"S. Maria Beigo, CALICE AL CORNOVIGLIO, SP, Liguria",POINT,21/11/19
CALICE AL CORNOVIGLIO,Acquedotto S. Maria Cassorane,"S. Maria Cassorane, CALICE AL CORNOVIGLIO, SP, Liguria",POINT,21/11/19
CALICE AL CORNOVIGLIO,Acquedotto Terrugiara,"Terrugiara, CALICE AL CORNOVIGLIO, SP, Liguria",POINT,21/11/19
CALICE AL CORNOVIGLIO,Acquedotto Tranci,"Tranci, CALICE AL CORNOVIGLIO, SP, Liguria",POINT,13/02/19
CALICE AL CORNOVIGLIO,Acquedotto Usurana Alta,"Usurana Alta, CALICE AL CORNOVIGLIO, SP, Liguria",POINT,13/02/19
CALICE AL CORNOVIGLIO,Acquedotto Valdonica,"Valdonica, CALICE AL CORNOVIGLIO, SP, Liguria",POINT,13/02/19
CALICE AL CORNOVIGLIO,Acquedotto Villagrossa,"Villagrossa, CALICE AL CORNOVIGLIO, SP, Liguria",POINT,21/11/19
CARRO,Acquedotto Agnola,"Agnola, CARRO, SP, Liguria",POINT,05/12/19
CARRO,Acquedotto Carro Capoluogo Castellaro,"Carro Capoluogo Castellaro, CARRO, SP, Liguria",POINT,05/12/19
CARRO,Acquedotto Carro Capoluogo Costa,"Carro Capoluogo Costa, CARRO, SP, Liguria",POINT,05/12/19
CARRO,Acquedotto Carro capoluogo,"Carro capoluogo, CARRO, SP, Liguria",POINT,05/12/19
CARRO,Acquedotto Carro capoluogo Confraternita,"Carro capoluogo Confraternita, CARRO, SP, Liguria",POINT,29/05/19
CARRO,Acquedotto Carro capoluogo Municipio,"Carro capoluogo Municipio, CARRO, SP, Liguria",POINT,29/05/19
CARRO,Acquedotto Carro capoluogo via Paganini,"Carro capoluogo via Paganini, CARRO, SP, Liguria",POINT,29/05/19
CARRO,Acquedotto Castello,"Castello, CARRO, SP, Liguria",POINT,05/12/19
CARRO,Acquedotto Cerreta,"Cerreta, CARRO, SP, Liguria",POINT,05/12/19
CARRO,Acquedotto Debbio,"Debbio, CARRO, SP, Liguria",POINT,07/01/19
CARRO,Acquedotto Pavareto,"Pavareto, CARRO, SP, Liguria",POINT,05/12/19
