alias_address,alias_city,ammoniaca,arsenico,bicarbonato,calcio,cloro_residuo,cloruro,conducibilita,data_report,durezza,fluoruri,magnesio,manganese,nitrato,nitrito,ph,potassio,residuo_fisso,sodio,solfato
Arenzano,ARENZANO,<0.02,2.08,80,12,0.10,7,139,periodo dal 01/07/2019 al 31/12/2019,7,<0.1,9,<1,3,<0.01,7.9,0.3,97,4,7
Avegno,AVEGNO,0.03,<1,166,47,0.11,10,261,periodo dal 01/07/2019 al 31/12/2019,13,<0.1,4,1.41,1,<0.01,8.0,0.7,157,4,11
Bargagli,BARGAGLI,0.03,<1,163,49,0.11,7,259,periodo dal 01/07/2019 al 31/12/2019,14,<0.1,4,1,1,<0.01,8.1,0.8,157,4,8
Bogliasco,BOGLIASCO,<0.02,<1,170,47,0.08,7,270,periodo dal 01/07/2019 al 31/12/2019,13,<0.1,4,5.16,2,0.02,8.1,0.6,159,4,10
Borzonasca,BORZONASCA,<0.02,<1,87,21,0.17,5,143,periodo dal 01/07/2019 al 31/12/2019,7,<0.1,3,<1,1,<0.01,7.8,0.4,92,4,6
Busalla,BUSALLA,0.02,<1,154,62,0.22,9,297,periodo dal 01/07/2019 al 31/12/2019,17,<0.1,3,5.73,3,<0.01,7.9,0.4,194,4,13
Camogli,CAMOGLI,<0.02,<1,192,56,0.11,13,323,periodo dal 01/07/2019 al 31/12/2019,16,<0.1,6,<1,3,<0.01,8.0,0.5,196,7,11
Campoligure,CAMPO LIGURE,<0.02,1.23,67,18,0.13,6,129,periodo dal 01/07/2019 al 31/12/2019,5,<0.1,2,<1,4,<0.01,7.9,0.4,81,3,6
Campomorone,CAMPOMORONE,<0.02,<1,63,8,0.16,7,123,periodo dal 01/07/2019 al 31/12/2019,5,<0.1,8,4.43,3,<0.01,7.8,0.3,83,4,5
Casella,CASELLA,<0.02,<1,205,62,0.21,9,315,periodo dal 01/07/2019 al 31/12/2019,17,<0.1,3,4.64,3,<0.01,7.9,0.8,198,6,12
