alias_address,alias_city,alias_province,geocode,geometry,georeferencingString,type
Santa Margherita,SANTA MARGHERITA LIGURE,GE,"Santa Margherita Ligure, GE","{'type': 'Point', 'coordinates': [9.215170000000057, 44.33580000000006]}","Santa Margherita Ligure, GE, Liguria",POINT
Arenzano,ARENZANO,GE,"Arenzano, GE","{'type': 'Point', 'coordinates': [8.686360000000036, 44.404310000000066]}","Arenzano, GE, Liguria",POINT
Avegno,AVEGNO,GE,"Avegno, GE","{'type': 'Point', 'coordinates': [9.159550000000024, 44.38271000000003]}","Avegno, GE, Liguria",POINT
Bargagli,BARGAGLI,GE,"Bargagli, GE","{'type': 'Point', 'coordinates': [9.086950000000058, 44.449970000000064]}","Bargagli, GE, Liguria",POINT
Bogliasco,BOGLIASCO,GE,"Bogliasco, GE","{'type': 'Point', 'coordinates': [9.060960000000023, 44.38015000000007]}","Bogliasco, GE, Liguria",POINT
Borzonasca,BORZONASCA,GE,"Borzonasca, GE","{'type': 'Point', 'coordinates': [9.384310000000028, 44.42480000000006]}","Borzonasca, GE, Liguria",POINT
Busalla,BUSALLA,GE,"Busalla, GE","{'type': 'Point', 'coordinates': [8.943080000000066, 44.57564000000008]}","Busalla, GE, Liguria",POINT
Camogli,CAMOGLI,GE,"Camogli, GE","{'type': 'Point', 'coordinates': [9.151360000000068, 44.356610000000046]}","Camogli, GE, Liguria",POINT
Campoligure,CAMPO LIGURE,GE,"Campo Ligure, GE","{'type': 'Point', 'coordinates': [8.699020000000075, 44.535540000000026]}","Campoligure, GE, Liguria",POINT
Campomorone,CAMPOMORONE,GE,"Campomorone, GE","{'type': 'Point', 'coordinates': [8.892720000000054, 44.50652000000008]}","Campomorone, GE, Liguria",POINT
Casella,CASELLA,GE,"Casella, GE","{'type': 'Point', 'coordinates': [8.99508000000003, 44.533840000000055]}","Casella, GE, Liguria",POINT
Castiglione Chiavarese,CASTIGLIONE CHIAVARESE,GE,"Castiglione Chiavarese, GE","{'type': 'Point', 'coordinates': [9.520740000000046, 44.27664000000004]}","Castiglione Chiavarese, GE, Liguria",POINT
Ceranesi,CERANESI,GE,"Ceranesi, GE","{'type': 'Point', 'coordinates': [8.872270000000071, 44.503900000000044]}","Ceranesi, GE, Liguria",POINT
Chiavari,CHIAVARI,GE,"Chiavari, GE","{'type': 'Point', 'coordinates': [9.325780000000066, 44.31411000000003]}","Chiavari, GE, Liguria",POINT
Cicagna,CICAGNA,GE,"Cicagna, GE","{'type': 'Point', 'coordinates': [9.23437000000007, 44.41062000000005]}","Cicagna, GE, Liguria",POINT
Cogoleto,COGOLETO,GE,"Cogoleto, GE","{'type': 'Point', 'coordinates': [8.645410000000027, 44.38900000000007]}","Cogoleto, GE, Liguria",POINT
Coreglia Ligure,COREGLIA LIGURE,GE,"Coreglia Ligure, GE","{'type': 'Point', 'coordinates': [9.262530000000027, 44.388360000000034]}","Coreglia Ligure, GE, Liguria",POINT
Crocefieschi,CROCEFIESCHI,GE,"Crocefieschi, GE","{'type': 'Point', 'coordinates': [9.023200000000031, 44.583290000000034]}","Crocefieschi, GE, Liguria",POINT
Davagna,DAVAGNA,GE,"Davagna, GE","{'type': 'Point', 'coordinates': [9.091660000000047, 44.46780000000007]}","Davagna, GE, Liguria",POINT
Fascia,FASCIA,GE,"Fascia, GE","{'type': 'Point', 'coordinates': [9.220940000000041, 44.58259000000004]}","Fascia, GE, Liguria",POINT
Favale Di Malvaro,FAVALE DI MALVARO,GE,"Favale di Malvaro, GE","{'type': 'Point', 'coordinates': [9.259600000000034, 44.45257000000004]}","Favale Di Malvaro, GE, Liguria",POINT
Fontanigorda,FONTANIGORDA,GE,"Fontanigorda, GE","{'type': 'Point', 'coordinates': [9.303310000000067, 44.547450000000026]}","Fontanigorda, GE, Liguria",POINT
Genova,GENOVA,GE,"Genova, GE","{'type': 'Point', 'coordinates': [8.938980000000072, 44.41039000000006]}","Genova, GE, Liguria",POINT
Gorreto,GORRETO,GE,"Gorreto, GE","{'type': 'Point', 'coordinates': [9.294310000000053, 44.60590000000008]}","Gorreto, GE, Liguria",POINT
