alias_address,alias_city,ammoniaca,arsenico,bicarbonato,calcio,cloro_residuo,cloruro,conducibilita,data_report,durezza,fluoruri,magnesio,manganese,nitrato,nitrito,ph,potassio,residuo_fisso,sodio,solfato
Via Marconi,ACQUAFREDDA,<0.05,<1,196,52.0,<0.05,3,395,Dicembre 2019,22.5,<0.1,19.6,10,5,<0.02,8.2,1.1,277,3.5,28
Via Repubblica,ACQUAFREDDA,<0.05,2,193,52.5,<0.05,2,379,Dicembre 2019,22.1,<0.1,19.7,10,5,<0.02,7.9,1.0,265,3.6,26
Binzago,AGNOSINE,<0.05,<1,218,44.4,0.10,<2,373,Dicembre 2019,22.9,<0.1,24.9,<5,5,<0.02,8.3,<0.5,261,0.8,5
Casale,AGNOSINE,<0.05,<1,220,46.1,0.14,<2,370,Dicembre 2019,22.9,<0.1,26.0,<5,5,<0.02,8.4,<0.5,259,0.9,5
Via Disciplina,AGNOSINE,<0.05,<1,218,45.2,0.14,<2,372,Dicembre 2019,22.9,<0.1,25.8,<5,5,<0.02,8.3,<0.5,260,0.9,5
Via Roma,AGNOSINE,<0.05,<1,214,50.7,0.15,<2,366,Dicembre 2019,22.4,<0.1,24.1,<5,5,<0.02,8.4,<0.5,256,0.8,6
"Via Roma, 47",AGNOSINE,<0.05,<1,218,45.2,0.14,<2,372,Dicembre 2019,22.9,<0.1,25.8,<5,5,<0.02,8.3,<0.5,260,0.9,5
Via Chiesa,ALFIANELLO,<0.05,<1,275,100.6,<0.05,31,673,Dicembre 2019,35.8,<0.1,29.1,<5,19,<0.02,8.0,1.5,471,17.3,48
Via Libertà,ALFIANELLO,<0.05,4,262,71.7,<0.05,8,464,Dicembre 2019,25.7,<0.1,16.8,<5,3,<0.02,7.9,1.0,325,11.0,4
Baremone,ANFO,<0.05,<1,124,28.5,<0.05,<2,221,Dicembre 2019,12.7,<0.1,15.4,<5,4,<0.02,8.1,<0.5,155,0.7,<3
Via Marconi,ANFO,<0.05,<1,170,39.2,0.07,2,323,Dicembre 2019,19.4,<0.1,22.6,<5,4,<0.02,8.3,<0.5,226,0.7,4
Via Tre Casali,ANFO,<0.05,<1,162,37.0,<0.05,2,299,Dicembre 2019,17.7,<0.1,19.9,<5,5,<0.02,8.3,<0.5,209,0.7,6
Strada Provinciale XI,Acquafredda,<0.05,3,194,52.5,<0.05,2,378,Dicembre 2019,22.1,<0.1,19.7,8,5,<0.02,7.9,1.0,265,3.7,26
Via Circonvallazione,Agnosine,<0.05,<1,218,45.2,0.14,<2,372,Dicembre 2019,22.9,<0.1,25.8,<5,5,<0.02,8.3,<0.5,260,0.9,5
Via Mabellini,Anfo,<0.05,<1,170,39.2,0.07,2,323,Dicembre 2019,19.4,<0.1,22.6,<5,4,<0.02,8.3,<0.5,226,0.7,4
Via I Maggio,BAGNOLO MELLA,<0.05,<1,239,77.7,<0.05,14,521,Dicembre 2019,29.5,<0.1,20.8,<5,18,<0.02,7.7,1.1,365,8.2,31
Via Roma,BAGNOLO MELLA,<0.05,<1,275,100.6,<0.05,31,673,Dicembre 2019,35.8,<0.1,29.1,<5,19,<0.02,8.0,1.5,471,17.3,48
Via Urne di sotto,BAGNOLO MELLA,<0.05,<1,244,82.2,<0.05,13,535,Dicembre 2019,31.3,<0.1,23.1,<5,23,<0.02,7.8,0.9,375,5.1,33
Via della Repubblica,BAGNOLO MELLA,<0.05,<1,275,100.6,<0.05,31,673,Dicembre 2019,35.8,<0.1,29.1,<5,19,<0.02,8.0,1.5,471,17.3,48
Plompe,BAGOLINO,<0.05,1,74,31.8,0.06,3,333,Dicembre 2019,10.5,<0.1,7.1,<5,3,<0.02,8.1,0.6,141,2.6,104
Via Forno,BAGOLINO,<0.05,1,74,31.8,0.06,3,333,Dicembre 2019,10.5,<0.1,7.1,<5,3,<0.02,8.1,0.6,141,2.6,104
