alias_address,alias_city,geocode,geometry,georeferencingString,type
Via Piazza,BRESCIA,"Via della Piazza, Pendolina, Urago Mella, Zona Ovest, Brescia, Lombardia, 25127, Italia","{'type': 'Point', 'coordinates': [10.2002665, 45.5656367]}","Via della Piazza, BRESCIA, BS, Lombardia",POINT
Via Raffaello,BRESCIA,"Via Raffaello, San Polo - Parco, Zona Est, Brescia, Lombardia, 25124, Italia","{'type': 'Point', 'coordinates': [10.242387, 45.5161345]}","Via Raffaello, San Polo - Parco, Zona Est, Brescia, Lombardia, 25124, Italia",POINT
Cimitero,GAVARDO,"Via Venticinque Aprile, Bostone, Gavardo, Comunità montana della valle Sabbia, Brescia, Lombardia, 25085, Italia","{'type': 'Point', 'coordinates': [10.4440268, 45.580841]}","Via venticinque aprile, GAVARDO, BS, Lombardia",POINT
Via Leopardi,OSPITALETTO,"Via Giacomo Leopardi, Ospitaletto, Brescia, Lombardia, 25035, Italia","{'type': 'Point', 'coordinates': [10.0644588, 45.5572135]}","Via Giacomo Leopardi, OSPITALETTO, BS, Lombardia",POINT
Via IV Novembre,SAN GERVASIO,"Via Quattro Novembre, San Gervasio Bresciano, Brescia, Lombardia, 25025, Italia","{'type': 'Point', 'coordinates': [10.1440608, 45.3064997]}","VIA QUATTRO NOVEMBRE, SAN GERVASIO BRESCIANO, BS, Lombardia",POINT
Via Marconi,ACQUAFREDDA,"Via Guglielmo Marconi, Acquafredda, Brescia, Lombardia, 25013, Italia","{'type': 'Point', 'coordinates': [10.41084,45.30777]}","Via Guglielmo Marconi, ACQUAFREDDA, BS, Lombardia",POINT
Via Repubblica,ACQUAFREDDA,,,"Via della Repubblica, ACQUAFREDDA, BS, Lombardia",POINT
Via Disciplina,AGNOSINE,,,"Via Disciplina, AGNOSINE, BS, Lombardia",POINT
Via Chiesa,ALFIANELLO,,,"Via Chiesa, ALFIANELLO, BS, Lombardia",POINT
Via Libertà,ALFIANELLO,,,"Via Libertà, ALFIANELLO, BS, Lombardia",POINT
Via Marconi,ANFO,,,"Via Roma, ANFO, BS, Lombardia",POINT
Via Tre Casali,ANFO,,,"Via Tre Casali, ANFO, BS, Lombardia",POINT
Strada Provinciale XI,Acquafredda,,,"Strada Provinciale XI, Acquafredda, BS, Lombardia",POINT
Via Mabellini,Anfo,,,"Via Mabellini, Anfo, BS, Lombardia",POINT
Via I Maggio,BAGNOLO MELLA,,,"Via I Maggio, BAGNOLO MELLA, BS, Lombardia",POINT
Via della Repubblica,BAGNOLO MELLA,,,"Via della Repubblica, BAGNOLO MELLA, BS, Lombardia",POINT
Plompe,BAGOLINO,,,"Plompe, BAGOLINO, BS, Lombardia",POINT
Via Maniva,BAGOLINO,,,"Via Maniva, BAGOLINO, BS, Lombardia",POINT
Via San Luca,BAGOLINO,,,"Via San Luca, BAGOLINO, BS, Lombardia",POINT
Fossane,BARGHE,,,"Fossane, BARGHE, BS, Lombardia",POINT
Via XXV Aprile,BARGHE,,,"Via XXV Aprile, BARGHE, BS, Lombardia",POINT
Via Alighieri,BEDIZZOLE,,,"Via Alighieri, BEDIZZOLE, BS, Lombardia",POINT
Via Arzaga,BEDIZZOLE,,,"Via Arzaga, BEDIZZOLE, BS, Lombardia",POINT
Via Libertà angolo Via IV Novembre,BEDIZZOLE,,,"Via Libertà angolo Via IV Novembre, BEDIZZOLE, BS, Lombardia",POINT
Via Signorina angolo Via Barazzola,BEDIZZOLE,,,"Via Signorina angolo Via Barazzola, BEDIZZOLE, BS, Lombardia",POINT
Via Valsabbia,BEDIZZOLE,,,"Via Valsabbia, BEDIZZOLE, BS, Lombardia",POINT
Via Ariolo,BIONE,,,"Via Ariolo, BIONE, BS, Lombardia",POINT
Via Bersenico Sotto,BIONE,,,"Via Bersenico Sotto, BIONE, BS, Lombardia",POINT
Via Don Albino Festa,BIONE,,,"Via Don Albino Festa, BIONE, BS, Lombardia",POINT
Via Pascoli,BORGOSATOLLO,,,"Via Pascoli, BORGOSATOLLO, BS, Lombardia",POINT
Via Toscanini,BORGOSATOLLO,,,"Via Toscanini, BORGOSATOLLO, BS, Lombardia",POINT
Piazza Aldo Moro,BOTTICINO,,,"Piazza Aldo Moro, BOTTICINO, BS, Lombardia",POINT
Via Don Milani,BOTTICINO,,,"Via Don Milani, BOTTICINO, BS, Lombardia",POINT
Via IV Novembre,BOTTICINO,,,"Via IV Novembre, BOTTICINO, BS, Lombardia",POINT
Via Canossi,BOVEZZO,,,"Via Canossi, BOVEZZO, BS, Lombardia",POINT
Via IV Novembre,BRANDICO,,,"Via IV Novembre, BRANDICO, BS, Lombardia",POINT
Corso Matteotti angolo Corso Garibaldi,BRESCIA,,,"Corso Matteotti angolo Corso Garibaldi, BRESCIA, BS, Lombardia",POINT
Via Benacense angolo Via Canalotto,BRESCIA,,,"Via Benacense angolo Via Canalotto, BRESCIA, BS, Lombardia",POINT
Via Capretti angolo Via Triumplina,BRESCIA,,,"Via Capretti angolo Via Triumplina, BRESCIA, BS, Lombardia",POINT
Via Dal Monte,BRESCIA,,,"Via Dal Monte, BRESCIA, BS, Lombardia",POINT
Via Fiorentini,BRESCIA,,,"Via Fiorentini, BRESCIA, BS, Lombardia",POINT
Via Micheli,BRESCIA,,,"Via Micheli, BRESCIA, BS, Lombardia",POINT
Via Moretto angolo Via Santa Croce,BRESCIA,,,"Via Moretto angolo Via Santa Croce, BRESCIA, BS, Lombardia",POINT
Via Rione,BRESCIA,,,"Via Rione, BRESCIA, BS, Lombardia",POINT
Via Veneto  angolo Via Salvo d'Acquisto,BRESCIA,,,"Via Veneto  angolo Via Salvo d'Acquisto, BRESCIA, BS, Lombardia",POINT
Via Gobetti,Bagnolo del Mella,,,"Via Gobetti, Bagnolo del Mella, BS, Lombardia",POINT
Via Don G. Bazzoli,Bione,,,"Via Don G. Bazzoli, Bione, BS, Lombardia",POINT
Piazza Castello,Borgosatollo,,,"Piazza Castello, Borgosatollo, BS, Lombardia",POINT
Via Fontane,CAPOVALLE,,,"Via Fontane, CAPOVALLE, BS, Lombardia",POINT
Via Garibaldi,CASTENEDOLO,,,"Via Garibaldi, CASTENEDOLO, BS, Lombardia",POINT
Via Matteotti,CASTENEDOLO,,,"Via Matteotti, CASTENEDOLO, BS, Lombardia",POINT
Via Pasubio,CASTENEDOLO,,,"Via Pasubio, CASTENEDOLO, BS, Lombardia",POINT
Via Piazza,CASTO,,,"Via Piazza, CASTO, BS, Lombardia",POINT
Via Tito Speri,CASTO,,,"Via Tito Speri, CASTO, BS, Lombardia",POINT
Via San Francesco,COLLEBEATO,,,"Via San Francesco, COLLEBEATO, BS, Lombardia",POINT
Via Gilli,CONCESIO,,,"Via Gilli, CONCESIO, BS, Lombardia",POINT
Via Segheria,CONCESIO,,,"Via Segheria, CONCESIO, BS, Lombardia",POINT
Via 24 Maggio,Capovalle,,,"Via 24 Maggio, Capovalle, BS, Lombardia",POINT
Via Garibaldi,Capriano del Colle,,,"Via Garibaldi, Capriano del Colle, BS, Lombardia",POINT
Via Pascoli,Concesio,,,"Via Pascoli, Concesio, BS, Lombardia",POINT
Piazza Caduti,FIESSE,,,"Piazza Caduti, FIESSE, BS, Lombardia",POINT
Via Denti,FIESSE,,,"Via Denti, FIESSE, BS, Lombardia",POINT
Via Nazzari,FIESSE,,,"Via Nazzari, FIESSE, BS, Lombardia",POINT
Piazza Corioni,GAVARDO,,,"Piazza Corioni, GAVARDO, BS, Lombardia",POINT
Piazza Moro,GAVARDO,,,"Piazza Moro, GAVARDO, BS, Lombardia",POINT
Piazza Pesa,GAVARDO,,,"Piazza Pesa, GAVARDO, BS, Lombardia",POINT
Piazza Martiri della Libertà,GOTTOLENGO,,,"Piazza Martiri della Libertà, GOTTOLENGO, BS, Lombardia",POINT
Via Alberini,GOTTOLENGO,,,"Via Alberini, GOTTOLENGO, BS, Lombardia",POINT
Via Kennedy,GUSSAGO,,,"Via Kennedy, GUSSAGO, BS, Lombardia",POINT
Via Cavour,Gottolengo,,,"Via Cavour, Gottolengo, BS, Lombardia",POINT
Strada Provinciale 58 per Capovalle,IDRO,,,"Strada Provinciale 58 per Capovalle, IDRO, BS, Lombardia",POINT
Via Treviso Bresciano,IDRO,,,"Via Treviso Bresciano, IDRO, BS, Lombardia",POINT
Piazza Castello angolo Via Marconi,ISORELLA,,,"Piazza Castello angolo Via Marconi, ISORELLA, BS, Lombardia",POINT
Piazza Roma,ISORELLA,,,"Piazza Roma, ISORELLA, BS, Lombardia",POINT
Via De Gasperi angolo via Berardo Maggi,ISORELLA,,,"Via De Gasperi angolo via Berardo Maggi, ISORELLA, BS, Lombardia",POINT
Via de Gasperi,Isorella,,,"Via de Gasperi, Isorella, BS, Lombardia",POINT
Piazza Santo Stefano,LAVENONE,,,"Piazza Santo Stefano, LAVENONE, BS, Lombardia",POINT
Via Pileca,LAVENONE,,,"Via Pileca, LAVENONE, BS, Lombardia",POINT
Piazza Corlo,LONATO,,,"Piazza Corlo, LONATO, BS, Lombardia",POINT
