location,alias_city,alias_address,georeferencingString,type
BRESCIA: Via Moretto angolo Via Santa Croce : COD.ASL 17029/24R ,BRESCIA,Via Moretto angolo Via Santa Croce,"Via Moretto angolo Via Santa Croce, BRESCIA, BS, Lombardia, Italia",POINT
BRESCIA: Via Veneto  angolo Via Salvo d'Acquisto : COD.ASL 17029/14R ,BRESCIA,Via Veneto  angolo Via Salvo d'Acquisto,"Via Veneto  angolo Via Salvo d'Acquisto, BRESCIA, BS, Lombardia, Italia",POINT
Brescia : Via Corsica,Brescia,Via Corsica,"Via Corsica, Brescia, BS, Lombardia, Italia",POINT
BRESCIA: Via Benacense angolo Via Canalotto : COD.ASL 17029/2R ,BRESCIA,Via Benacense angolo Via Canalotto,"Via Benacense angolo Via Canalotto, BRESCIA, BS, Lombardia, Italia",POINT
Brescia : Via Franzinetti,Brescia,Via Franzinetti,"Via Franzinetti, Brescia, BS, Lombardia, Italia",POINT
BRESCIA: Via Capretti angolo Via Triumplina : COD.ASL 17029/27R ,BRESCIA,Via Capretti angolo Via Triumplina,"Via Capretti angolo Via Triumplina, BRESCIA, BS, Lombardia, Italia",POINT
BRESCIA: Via Micheli : Lamarmora : COD.ASL 17029/19R ,BRESCIA,Via Micheli,"Via Micheli, BRESCIA, BS, Lombardia, Italia",POINT
BRESCIA: Via Rione : Folzano : COD.ASL 17029/18R ,BRESCIA,Via Rione,"Via Rione, BRESCIA, BS, Lombardia, Italia",POINT
BRESCIA: Via Violino di Sotto : COD.ASL 17029/11R ,BRESCIA,Via Violino di Sotto,"Via Violino di Sotto, BRESCIA, BS, Lombardia, Italia",POINT
SAN ZENO NAVIGLIO: Via Pace,SAN ZENO NAVIGLIO,Via Pace,"Via Pace, SAN ZENO NAVIGLIO, BS, Lombardia, Italia",POINT
Brescia : Via Verziano,Brescia,Via Verziano,"Via Verziano, Brescia, BS, Lombardia, Italia",POINT
NAVE: Via San Marco : Cortine : COD.ASL 17117/3R ,NAVE,Via San Marco,"Via San Marco, NAVE, BS, Lombardia, Italia",POINT
BRESCIA: Via Dal Monte : COD.ASL 17029/6R ,BRESCIA,Via Dal Monte,"Via Dal Monte, BRESCIA, BS, Lombardia, Italia",POINT
CELLATICA: Via Aldo Moro : COD.ASL 17048/1R ,CELLATICA,Via Aldo Moro,"Via Aldo Moro, CELLATICA, BS, Lombardia, Italia",POINT
