alias_city,alias_address,georeferencingString,type
ACQUAFREDDA,Via Marconi,"Via Marconi, ACQUAFREDDA, BS, Lombardia",POINT
ACQUAFREDDA,Via Repubblica,"Via Repubblica, ACQUAFREDDA, BS, Lombardia",POINT
AGNOSINE,Binzago,"Binzago, AGNOSINE, BS, Lombardia",POINT
AGNOSINE,Casale,"Casale, AGNOSINE, BS, Lombardia",POINT
AGNOSINE,Via Disciplina,"Via Disciplina, AGNOSINE, BS, Lombardia",POINT
AGNOSINE,Via Roma,"Via Roma, AGNOSINE, BS, Lombardia",POINT
AGNOSINE,"Via Roma, 47","Via Roma, 47, AGNOSINE, BS, Lombardia",POINT
AGNOSINE,Via Santella Mora,"Via Santella Mora, AGNOSINE, BS, Lombardia",POINT
ALFIANELLO,Via Chiesa,"Via Chiesa, ALFIANELLO, BS, Lombardia",POINT
ALFIANELLO,Via Libertà,"Via Libertà, ALFIANELLO, BS, Lombardia",POINT
ANFO,Baremone,"Baremone, ANFO, BS, Lombardia",POINT
ANFO,Via Marconi,"Via Marconi, ANFO, BS, Lombardia",POINT
ANFO,Via Tre Casali,"Via Tre Casali, ANFO, BS, Lombardia",POINT
Acquafredda,Strada Provinciale XI,"Strada Provinciale XI, Acquafredda, BS, Lombardia",POINT
Agnosine,Via Circonvallazione,"Via Circonvallazione, Agnosine, BS, Lombardia",POINT
Anfo,Via Mabellini,"Via Mabellini, Anfo, BS, Lombardia",POINT
BAGNOLO MELLA,Via I Maggio,"Via I Maggio, BAGNOLO MELLA, BS, Lombardia",POINT
BAGNOLO MELLA,Via Roma,"Via Roma, BAGNOLO MELLA, BS, Lombardia",POINT
BAGNOLO MELLA,Via Urne di sotto,"Via Urne di sotto, BAGNOLO MELLA, BS, Lombardia",POINT
BAGNOLO MELLA,Via della Repubblica,"Via della Repubblica, BAGNOLO MELLA, BS, Lombardia",POINT
BAGNOLO MELLA,Viale Europa,"Viale Europa, BAGNOLO MELLA, BS, Lombardia",POINT
BAGOLINO,Plompe,"Plompe, BAGOLINO, BS, Lombardia",POINT
BAGOLINO,Via Forno,"Via Forno, BAGOLINO, BS, Lombardia",POINT
BAGOLINO,Via Maniva,"Via Maniva, BAGOLINO, BS, Lombardia",POINT
BAGOLINO,Via Mignano,"Via Mignano, BAGOLINO, BS, Lombardia",POINT
BAGOLINO,Via San Giorgio,"Via San Giorgio, BAGOLINO, BS, Lombardia",POINT
BAGOLINO,Via San Luca,"Via San Luca, BAGOLINO, BS, Lombardia",POINT
BARGHE,Fossane,"Fossane, BARGHE, BS, Lombardia",POINT
BARGHE,Via XXV Aprile,"Via XXV Aprile, BARGHE, BS, Lombardia",POINT
BASSANO BRESCIANO,Via Brescia,"Via Brescia, BASSANO BRESCIANO, BS, Lombardia",POINT
BASSANO BRESCIANO,Via Lusignolo,"Via Lusignolo, BASSANO BRESCIANO, BS, Lombardia",POINT
BASSANO BRESCIANO,Via Martinengo,"Via Martinengo, BASSANO BRESCIANO, BS, Lombardia",POINT
BEDIZZOLE,Via Alighieri,"Via Alighieri, BEDIZZOLE, BS, Lombardia",POINT
BEDIZZOLE,Via Arzaga,"Via Arzaga, BEDIZZOLE, BS, Lombardia",POINT
BEDIZZOLE,Via Libertà angolo Via IV Novembre,"Via Libertà angolo Via IV Novembre, BEDIZZOLE, BS, Lombardia",POINT
BEDIZZOLE,Via Macesina,"Via Macesina, BEDIZZOLE, BS, Lombardia",POINT
BEDIZZOLE,Via Pieve,"Via Pieve, BEDIZZOLE, BS, Lombardia",POINT
BEDIZZOLE,Via Signorina angolo Via Barazzola,"Via Signorina angolo Via Barazzola, BEDIZZOLE, BS, Lombardia",POINT
BEDIZZOLE,Via Valsabbia,"Via Valsabbia, BEDIZZOLE, BS, Lombardia",POINT
BIONE,Via Ariolo,"Via Ariolo, BIONE, BS, Lombardia",POINT
BIONE,Via Bersenico Sotto,"Via Bersenico Sotto, BIONE, BS, Lombardia",POINT
BIONE,Via Don Albino Festa,"Via Don Albino Festa, BIONE, BS, Lombardia",POINT
BIONE,Via Navezze,"Via Navezze, BIONE, BS, Lombardia",POINT
BORGOSATOLLO,Via IV Novembre,"Via IV Novembre, BORGOSATOLLO, BS, Lombardia",POINT
BORGOSATOLLO,Via Pascoli,"Via Pascoli, BORGOSATOLLO, BS, Lombardia",POINT
BORGOSATOLLO,Via Roma,"Via Roma, BORGOSATOLLO, BS, Lombardia",POINT
BORGOSATOLLO,Via Toscanini,"Via Toscanini, BORGOSATOLLO, BS, Lombardia",POINT
BOTTICINO,Piazza Aldo Moro,"Piazza Aldo Moro, BOTTICINO, BS, Lombardia",POINT
BOTTICINO,Via Don Milani,"Via Don Milani, BOTTICINO, BS, Lombardia",POINT
BOTTICINO,Via IV Novembre,"Via IV Novembre, BOTTICINO, BS, Lombardia",POINT
BOTTICINO,Via San Gallo,"Via San Gallo, BOTTICINO, BS, Lombardia",POINT
BOVEZZO,Via Canossi,"Via Canossi, BOVEZZO, BS, Lombardia",POINT
BOVEZZO,Via Vittorio Veneto,"Via Vittorio Veneto, BOVEZZO, BS, Lombardia",POINT
BRANDICO,Via IV Novembre,"Via IV Novembre, BRANDICO, BS, Lombardia",POINT
BRESCIA,Corso Matteotti angolo Corso Garibaldi,"Corso Matteotti angolo Corso Garibaldi, BRESCIA, BS, Lombardia",POINT
BRESCIA,Piazza della Loggia,"Piazza della Loggia, BRESCIA, BS, Lombardia",POINT
BRESCIA,Via Benacense angolo Via Canalotto,"Via Benacense angolo Via Canalotto, BRESCIA, BS, Lombardia",POINT
BRESCIA,Via Caionvico,"Via Caionvico, BRESCIA, BS, Lombardia",POINT
BRESCIA,Via Capretti angolo Via Triumplina,"Via Capretti angolo Via Triumplina, BRESCIA, BS, Lombardia",POINT
BRESCIA,Via Chiesanuova,"Via Chiesanuova, BRESCIA, BS, Lombardia",POINT
BRESCIA,Via Cremona,"Via Cremona, BRESCIA, BS, Lombardia",POINT
BRESCIA,Via Cucca,"Via Cucca, BRESCIA, BS, Lombardia",POINT
BRESCIA,Via Dal Monte,"Via Dal Monte, BRESCIA, BS, Lombardia",POINT
BRESCIA,Via Fiorentini,"Via Fiorentini, BRESCIA, BS, Lombardia",POINT
BRESCIA,Via Gabbiane,"Via Gabbiane, BRESCIA, BS, Lombardia",POINT
BRESCIA,Via Grandi,"Via Grandi, BRESCIA, BS, Lombardia",POINT
BRESCIA,Via Lama,"Via Lama, BRESCIA, BS, Lombardia",POINT
BRESCIA,Via Micheli,"Via Micheli, BRESCIA, BS, Lombardia",POINT
BRESCIA,Via Milano,"Via Milano, BRESCIA, BS, Lombardia",POINT
BRESCIA,Via Moretto angolo Via Santa Croce,"Via Moretto angolo Via Santa Croce, BRESCIA, BS, Lombardia",POINT
BRESCIA,Via Piazza,"Via Piazza, BRESCIA, BS, Lombardia",POINT
BRESCIA,Via Raffaello,"Via Raffaello, BRESCIA, BS, Lombardia",POINT
BRESCIA,Via Rione,"Via Rione, BRESCIA, BS, Lombardia",POINT
BRESCIA,Via San Benedetto,"Via San Benedetto, BRESCIA, BS, Lombardia",POINT
BRESCIA,Via Sant'Orsola,"Via Sant'Orsola, BRESCIA, BS, Lombardia",POINT
BRESCIA,Via Vallecamonica,"Via Vallecamonica, BRESCIA, BS, Lombardia",POINT
BRESCIA,Via Veneto  angolo Via Salvo d'Acquisto,"Via Veneto  angolo Via Salvo d'Acquisto, BRESCIA, BS, Lombardia",POINT
BRESCIA,Via Verziano,"Via Verziano, BRESCIA, BS, Lombardia",POINT
BRESCIA,Via Violino di Sotto,"Via Violino di Sotto, BRESCIA, BS, Lombardia",POINT
BRESCIA,Via XI,"Via XI, BRESCIA, BS, Lombardia",POINT
BRIONE,Via S.Zenone,"Via S.Zenone, BRIONE, BS, Lombardia",POINT
Bagnolo del Mella,Via Gobetti,"Via Gobetti, Bagnolo del Mella, BS, Lombardia",POINT
Bedizzole,Piazzale Europa,"Piazzale Europa, Bedizzole, BS, Lombardia",POINT
Bione,Via Don G. Bazzoli,"Via Don G. Bazzoli, Bione, BS, Lombardia",POINT
Borgosatollo,Piazza Castello,"Piazza Castello, Borgosatollo, BS, Lombardia",POINT
Botticino,Via Dante Alighieri,"Via Dante Alighieri, Botticino, BS, Lombardia",POINT
Bovezzo,Piazza 28 Maggio,"Piazza 28 Maggio, Bovezzo, BS, Lombardia",POINT
Brandico,Via Martiri della Libertà,"Via Martiri della Libertà, Brandico, BS, Lombardia",POINT
Brescia,Corso Luigi Bazoli,"Corso Luigi Bazoli, Brescia, BS, Lombardia",POINT
Brescia,Via Casazza,"Via Casazza, Brescia, BS, Lombardia",POINT
Brescia,Via Corsica,"Via Corsica, Brescia, BS, Lombardia",POINT
Brescia,Via Franzinetti,"Via Franzinetti, Brescia, BS, Lombardia",POINT
Brescia,Via Niccolo Tommaseo,"Via Niccolo Tommaseo, Brescia, BS, Lombardia",POINT
Brescia,Via Prima Villaggio Badia,"Via Prima Villaggio Badia, Brescia, BS, Lombardia",POINT
Brescia,Via Sabbioneta,"Via Sabbioneta, Brescia, BS, Lombardia",POINT
Brescia,Via Verziano,"Via Verziano, Brescia, BS, Lombardia",POINT
Brescia,Via della Palla,"Via della Palla, Brescia, BS, Lombardia",POINT
Brescia,Viale Piave,"Viale Piave, Brescia, BS, Lombardia",POINT
Brione,Strada Provinciale X,"Strada Provinciale X, Brione, BS, Lombardia",POINT
CAPOVALLE,Via Fontane,"Via Fontane, CAPOVALLE, BS, Lombardia",POINT
CAPOVALLE,Zumiè,"Zumiè, CAPOVALLE, BS, Lombardia",POINT
CAPRIANO DEL COLLE,Via Morari,"Via Morari, CAPRIANO DEL COLLE, BS, Lombardia",POINT
CAPRIANO DEL COLLE,Via Tese,"Via Tese, CAPRIANO DEL COLLE, BS, Lombardia",POINT
CAPRIANO DEL COLLE,Via Trento,"Via Trento, CAPRIANO DEL COLLE, BS, Lombardia",POINT
CASTENEDOLO,Via Garibaldi,"Via Garibaldi, CASTENEDOLO, BS, Lombardia",POINT
CASTENEDOLO,Via Macina,"Via Macina, CASTENEDOLO, BS, Lombardia",POINT
