alias_address,alias_city,ammoniaca,arsenico,bicarbonato,calcio,cloro_residuo,cloruro,conducibilita,data_report,durezza,fluoruri,magnesio,manganese,nitrato,nitrito,ph,potassio,residuo_fisso,sodio,solfato
Cimitero,Bovegno,<0.05,<1,146,55.3,0.10,<2,375,Dicembre 2019,21.8,0.1,15.6,<5,5,<0.02,8.1,0.5,263,0.8,67
Graticelle,Bovegno,<0.05,4,34,8.3,0.20,2,73,Dicembre 2019,2.8,<0.1,1.5,<5,3,<0.02,7.7,0.7,51,2.3,4
Piano Alto,Bovegno,<0.05,<1,146,55.3,0.10,<2,375,Dicembre 2019,21.8,0.1,15.6,<5,5,<0.02,8.1,0.5,263,0.8,67
Querceto,Bovegno,<0.05,<1,146,55.3,0.10,<2,375,Dicembre 2019,21.8,0.1,15.6,<5,5,<0.02,8.1,0.5,263,0.8,67
Savenone,Bovegno,<0.05,<1,146,55.3,0.10,<2,375,Dicembre 2019,21.8,0.1,15.6,<5,5,<0.02,8.1,0.5,263,0.8,67
Toccagni,Bovegno,<0.05,<1,146,55.3,0.10,<2,375,Dicembre 2019,21.8,0.1,15.6,<5,5,<0.02,8.1,0.5,263,0.8,67
Via Ca' Delle Bachere,Bovegno,<0.05,<1,146,55.3,0.10,<2,375,Dicembre 2019,21.8,0.1,15.6,<5,5,<0.02,8.1,0.5,263,0.8,67
Via Pineta,Bovegno,<0.05,<1,41,12.7,0.09,6,110,Dicembre 2019,4.6,<0.1,2.7,<5,6,<0.02,7.2,1.0,77,3.1,6
Via Roma,Bovegno,<0.05,<1,26,6.7,0.18,2,55,Dicembre 2019,2.1,<0.1,<1,<5,3,<0.02,7.3,0.8,39,1.3,<3
Zigole,Bovegno,<0.05,<1,122,48.0,0.13,<2,225,Dicembre 2019,12.7,<0.1,1.9,<5,6,<0.02,8.1,<0.5,158,0.6,3
Localita' Tolzana,Caino,<0.05,<1,275,58.0,0.10,2,474,Dicembre 2019,29.6,<0.1,33.4,<5,9,<0.02,8.1,<0.5,332,0.8,7
P.zza Trieste,Caino,<0.05,<1,236,50.5,0.13,2,411,Dicembre 2019,25.3,<0.1,29.4,<5,9,<0.02,8.2,<0.5,288,0.8,6
Via Don Gino Pirlo,Caino,<0.05,<1,236,50.5,0.13,2,411,Dicembre 2019,25.3,<0.1,29.4,<5,9,<0.02,8.2,<0.5,288,0.8,6
Via Villa Mattina,Caino,<0.05,<1,233,49.2,0.09,2,408,Dicembre 2019,25.0,<0.1,28.3,<5,8,<0.02,8.2,<0.5,286,0.8,7
P.zza Marconi,Collio,<0.05,2,26,6.9,0.11,2,53,Dicembre 2019,2.1,<0.1,<1,<5,<2,<0.02,7.4,<0.5,37,1.7,<3
