alias_address,alias_city,geocode,geometry,georeferencingString,type
Piazza Marconi,Lodrino,"Via Giacomo Matteotti, 25060, Lodrino, Brescia","{'type': 'Point', 'coordinates': [10.27196055394666, 45.717844415311525]}","Via Matteotti, Lodrino, Brescia, Lombardia",POINT
Via Nenvilla,Irma,"Via 11 Ottobre, 25061, Irma, Brescia","{'type': 'Point', 'coordinates': [10.28685357773269, 45.77158298094271]}","Via 11 ottobre, Irma, Brescia, Lombardia",POINT
P.zza Marconi,Collio,"Piazza Gugliemo Marconi, 25060, Collio, Brescia","{'type': 'Point', 'coordinates': [10.334014560483375, 45.80926020161128]}","Piazza Guglielmo Marconi, Collio, Brescia, Lombardia",POINT
Via Alfieri,Gardone VT,"Via Vittorio Alfieri, 25063, Gardone Val Trompia, BS","{'type': 'Point', 'coordinates': [10.185611947720131, 45.68372146233307]}","Via Alfieri, Gardone Valtrompia, BS, Lombardia",POINT
Cimitero,Bovegno,"Bovegno, BS","{'type': 'Point', 'coordinates': [10.277050000000031, 45.79347000000007]}","Cimitero, Bovegno, BS, Lombardia",POINT
Graticelle,Bovegno,"Graticelle, Bovegno, BS","{'type': 'Point', 'coordinates': [10.271250000000066, 45.803510000000074]}","Graticelle, Bovegno, BS, Lombardia",POINT
Localita' Dossi Piani,Bovegno,"Bovegno, BS","{'type': 'Point', 'coordinates': [10.277050000000031, 45.79347000000007]}","Localita' Dossi Piani, Bovegno, BS, Lombardia",POINT
Piano Alto,Bovegno,"Bovegno, BS","{'type': 'Point', 'coordinates': [10.277050000000031, 45.79347000000007]}","Piano Alto, Bovegno, BS, Lombardia",POINT
Querceto,Bovegno,"Bovegno, BS","{'type': 'Point', 'coordinates': [10.277050000000031, 45.79347000000007]}","Querceto, Bovegno, BS, Lombardia",POINT
Savenone,Bovegno,"Località Savenone di Sopra, 25061, Bovegno, BS","{'type': 'Point', 'coordinates': [10.25926037371771, 45.78225672634015]}","Savenone, Bovegno, BS, Lombardia",POINT
