location,alias_city,alias_address,georeferencingString,type
Lumezzane: Via Zagnagnolo : Gazzolo : Codice Asl: 17096/8R,Lumezzane,Via Zagnagnolo,"Via Zagnagnolo, Lumezzane, BS, Lombardia, Italia",POINT
Lumezzane: Via Ruca : Faidana : Codice Asl: 17096/7R,Lumezzane,Via Ruca,"Via Ruca, Lumezzane, BS, Lombardia, Italia",POINT
Lumezzane : P.le della Piscina,Lumezzane,P.le della Piscina,"P.le della Piscina, Lumezzane, BS, Lombardia, Italia",POINT
Caino: Via Villa Mattina : Codice Asl: 17031/2R,Caino,Via Villa Mattina,"Via Villa Mattina, Caino, BS, Lombardia, Italia",POINT
Lumezzane: Via Madonnina : Premiano : Codice Asl: 17096/3R,Lumezzane,Via Madonnina,"Via Madonnina, Lumezzane, BS, Lombardia, Italia",POINT
Sarezzo: Via Antonini : Codice Asl: 17174/3R,Sarezzo,Via Antonini,"Via Antonini, Sarezzo, BS, Lombardia, Italia",POINT
Sarezzo: Via 1850 : Codice Asl: 17174/4R,Sarezzo,Via 1850,"Via 1850, Sarezzo, BS, Lombardia, Italia",POINT
Lumezzane : P.zza Paolo VI,Lumezzane,P.zza Paolo VI,"P.zza Paolo VI, Lumezzane, BS, Lombardia, Italia",POINT
Lumezzane: Via Marcolini : S. Apollonio : Codice Asl: 17096/1R,Lumezzane,Via Marcolini,"Via Marcolini, Lumezzane, BS, Lombardia, Italia",POINT
Lumezzane: Piazza Cadorna : Renzo : Codice Asl: 17096/4R,Lumezzane,Piazza Cadorna,"Piazza Cadorna, Lumezzane, BS, Lombardia, Italia",POINT
Lumezzane: Piazza 24 Maggio : Pieve : Codice Asl: 17096/6R,Lumezzane,Piazza 24 Maggio,"Piazza 24 Maggio, Lumezzane, BS, Lombardia, Italia",POINT
Caino: Via Don Gino Pirlo : Codice Asl: 17031/3R,Caino,Via Don Gino Pirlo,"Via Don Gino Pirlo, Caino, BS, Lombardia, Italia",POINT
Lumezzane: Via Veneto : S. Sebastiano : Codice Asl: 17096/2R,Lumezzane,Via Veneto,"Via Veneto, Lumezzane, BS, Lombardia, Italia",POINT
Lumezzane: Piazza Diaz : Piatucco : Codice Asl: 17096/5R,Lumezzane,Piazza Diaz,"Piazza Diaz, Lumezzane, BS, Lombardia, Italia",POINT
Lumezzane: Via M. L. King : Codice Asl: 17096/9R,Lumezzane,Via M. L. King,"Via M. L. King, Lumezzane, BS, Lombardia, Italia",POINT
Villa Carcina: Via Italia : Codice Asl: 17199/1R,Villa Carcina,Via Italia,"Via Italia, Villa Carcina, BS, Lombardia, Italia",POINT
Villa Carcina: Cimitero : Codice Asl: 17199/3R,Villa Carcina,Cimitero,"Cimitero, Villa Carcina, BS, Lombardia, Italia",POINT
Lumezzane: Via Ruca : Faidana : Codice Asl: 17096/7R,Lumezzane,Via Ruca,"Via Ruca, Lumezzane, BS, Lombardia, Italia",POINT
Villa Carcina: Via S. Giuseppe : Cogozzo : Codice Asl: 17199/2R,Villa Carcina,Via S. Giuseppe,"Via S. Giuseppe, Villa Carcina, BS, Lombardia, Italia",POINT
Villa Carcina : Via Marconi,Villa Carcina,Via Marconi,"Via Marconi, Villa Carcina, BS, Lombardia, Italia",POINT
Villa Carcina: Via Italia : Codice Asl: 17199/1R,Villa Carcina,Via Italia,"Via Italia, Villa Carcina, BS, Lombardia, Italia",POINT
Villa Carcina: Cimitero : Codice Asl: 17199/3R,Villa Carcina,Cimitero,"Cimitero, Villa Carcina, BS, Lombardia, Italia",POINT
Lumezzane: Via M. L. King : Codice Asl: 17096/9R,Lumezzane,Via M. L. King,"Via M. L. King, Lumezzane, BS, Lombardia, Italia",POINT
Gardone VT : Via Alfieri,Gardone VT,Via Alfieri,"Via Alfieri, Gardone VT, BS, Lombardia, Italia",POINT
Lumezzane: Via Zagnagnolo : Gazzolo : Codice Asl: 17096/8R,Lumezzane,Via Zagnagnolo,"Via Zagnagnolo, Lumezzane, BS, Lombardia, Italia",POINT
Sarezzo: Vicolo Mella : Codice Asl: 17174/1R,Sarezzo,Vicolo Mella,"Vicolo Mella, Sarezzo, BS, Lombardia, Italia",POINT
Sarezzo: Via Seradello : Codice Asl: 17174/2R,Sarezzo,Via Seradello,"Via Seradello, Sarezzo, BS, Lombardia, Italia",POINT
Sarezzo: Via Roma : Codice Asl: 17174/5R,Sarezzo,Via Roma,"Via Roma, Sarezzo, BS, Lombardia, Italia",POINT
Villa Carcina: Via S. Giuseppe : Cogozzo : Codice Asl: 17199/2R,Villa Carcina,Via S. Giuseppe,"Via S. Giuseppe, Villa Carcina, BS, Lombardia, Italia",POINT
Lumezzane : P.le della Piscina,Lumezzane,P.le della Piscina,"P.le della Piscina, Lumezzane, BS, Lombardia, Italia",POINT
Villa Carcina : Via Marconi,Villa Carcina,Via Marconi,"Via Marconi, Villa Carcina, BS, Lombardia, Italia",POINT
Gardone Valtrompia: Via Verdi : Codice Asl: 17075/5R,Gardone Valtrompia,Via Verdi,"Via Verdi, Gardone Valtrompia, BS, Lombardia, Italia",POINT
Sarezzo: Via I Maggio : Codice Asl: 17174/6R,Sarezzo,Via I Maggio,"Via I Maggio, Sarezzo, BS, Lombardia, Italia",POINT
Villa Carcina: Via Italia : Codice Asl: 17199/1R,Villa Carcina,Via Italia,"Via Italia, Villa Carcina, BS, Lombardia, Italia",POINT
Villa Carcina: Cimitero : Codice Asl: 17199/3R,Villa Carcina,Cimitero,"Cimitero, Villa Carcina, BS, Lombardia, Italia",POINT
Marcheno: Via Gitti : Codice Asl: 17104/4R,Marcheno,Via Gitti,"Via Gitti, Marcheno, BS, Lombardia, Italia",POINT
Sarezzo: Via Antonini : Codice Asl: 17174/3R,Sarezzo,Via Antonini,"Via Antonini, Sarezzo, BS, Lombardia, Italia",POINT
Gardone Valtrompia: Via Foscolo : Codice Asl: 17075/6R,Gardone Valtrompia,Via Foscolo,"Via Foscolo, Gardone Valtrompia, BS, Lombardia, Italia",POINT
Sarezzo: Via 1850 : Codice Asl: 17174/4R,Sarezzo,Via 1850,"Via 1850, Sarezzo, BS, Lombardia, Italia",POINT
Sarezzo : Via Gozzano,Sarezzo,Via Gozzano,"Via Gozzano, Sarezzo, BS, Lombardia, Italia",POINT
Gardone Valtrompia: Snodo Dolomite : Rovedolo : Codice Asl: 17075/4R,Gardone Valtrompia,Snodo Dolomite,"Snodo Dolomite, Gardone Valtrompia, BS, Lombardia, Italia",POINT
Lumezzane: Piazza 24 Maggio : Pieve : Codice Asl: 17096/6R,Lumezzane,Piazza 24 Maggio,"Piazza 24 Maggio, Lumezzane, BS, Lombardia, Italia",POINT
Gardone Valtrompia: Via Pascoli : Codice Asl: 17075/8R,Gardone Valtrompia,Via Pascoli,"Via Pascoli, Gardone Valtrompia, BS, Lombardia, Italia",POINT
Lumezzane: Piazza Diaz : Piatucco : Codice Asl: 17096/5R,Lumezzane,Piazza Diaz,"Piazza Diaz, Lumezzane, BS, Lombardia, Italia",POINT
Gardone VT : Via Alfieri,Gardone VT,Via Alfieri,"Via Alfieri, Gardone VT, BS, Lombardia, Italia",POINT
Gardone Valtrompia: Via Volta : Codice Asl: 17075/7R,Gardone Valtrompia,Via Volta,"Via Volta, Gardone Valtrompia, BS, Lombardia, Italia",POINT
Lumezzane: Via Zagnagnolo : Gazzolo : Codice Asl: 17096/8R,Lumezzane,Via Zagnagnolo,"Via Zagnagnolo, Lumezzane, BS, Lombardia, Italia",POINT
Sarezzo: Vicolo Mella : Codice Asl: 17174/1R,Sarezzo,Vicolo Mella,"Vicolo Mella, Sarezzo, BS, Lombardia, Italia",POINT
Sarezzo: Via Seradello : Codice Asl: 17174/2R,Sarezzo,Via Seradello,"Via Seradello, Sarezzo, BS, Lombardia, Italia",POINT
Sarezzo: Via Roma : Codice Asl: 17174/5R,Sarezzo,Via Roma,"Via Roma, Sarezzo, BS, Lombardia, Italia",POINT
Gardone Valtrompia: Via Padile : Magno : Codice Asl: 17075/3R,Gardone Valtrompia,Via Padile,"Via Padile, Gardone Valtrompia, BS, Lombardia, Italia",POINT
