alias_city,alias_address,georeferencingString,type
Bovegno,Cimitero,"Cimitero, Bovegno, BS, Lombardia",POINT
Bovegno,Graticelle,"Graticelle, Bovegno, BS, Lombardia",POINT
Bovegno,Localita' Dossi Piani,"Localita' Dossi Piani, Bovegno, BS, Lombardia",POINT
Bovegno,Piano Alto,"Piano Alto, Bovegno, BS, Lombardia",POINT
Bovegno,Querceto,"Querceto, Bovegno, BS, Lombardia",POINT
Bovegno,Savenone,"Savenone, Bovegno, BS, Lombardia",POINT
Bovegno,Toccagni,"Toccagni, Bovegno, BS, Lombardia",POINT
Bovegno,Via Ca' Delle Bachere,"Via Ca' Delle Bachere, Bovegno, BS, Lombardia",POINT
Bovegno,Via Chiesa,"Via Chiesa, Bovegno, BS, Lombardia",POINT
Bovegno,Via Pineta,"Via Pineta, Bovegno, BS, Lombardia",POINT
Bovegno,Via Provinciale,"Via Provinciale, Bovegno, BS, Lombardia",POINT
Bovegno,Via Roma,"Via Roma, Bovegno, BS, Lombardia",POINT
Bovegno,Zigole,"Zigole, Bovegno, BS, Lombardia",POINT
Caino,Localita' Tolzana,"Localita' Tolzana, Caino, BS, Lombardia",POINT
Caino,P.zza Trieste,"P.zza Trieste, Caino, BS, Lombardia",POINT
Caino,Via Don Gino Pirlo,"Via Don Gino Pirlo, Caino, BS, Lombardia",POINT
Caino,Via Villa Mattina,"Via Villa Mattina, Caino, BS, Lombardia",POINT
Collio,Ivino,"Ivino, Collio, BS, Lombardia",POINT
Collio,P.zza Marconi,"P.zza Marconi, Collio, BS, Lombardia",POINT
Collio,Piazza S. Barbara,"Piazza S. Barbara, Collio, BS, Lombardia",POINT
Collio,Piazza Tavelli,"Piazza Tavelli, Collio, BS, Lombardia",POINT
Collio,Via Bagozzi,"Via Bagozzi, Collio, BS, Lombardia",POINT
Collio,Via Tizio,"Via Tizio, Collio, BS, Lombardia",POINT
Gardone VT,Via Alfieri,"Via Alfieri, Gardone VT, BS, Lombardia",POINT
Gardone Valtrompia,Caregno,"Caregno, Gardone Valtrompia, BS, Lombardia",POINT
Gardone Valtrompia,Snodo Dolomite,"Snodo Dolomite, Gardone Valtrompia, BS, Lombardia",POINT
Gardone Valtrompia,Via Foscolo,"Via Foscolo, Gardone Valtrompia, BS, Lombardia",POINT
Gardone Valtrompia,Via Padile,"Via Padile, Gardone Valtrompia, BS, Lombardia",POINT
Gardone Valtrompia,Via Pascoli,"Via Pascoli, Gardone Valtrompia, BS, Lombardia",POINT
Gardone Valtrompia,Via San Martino,"Via San Martino, Gardone Valtrompia, BS, Lombardia",POINT
Gardone Valtrompia,Via Verdi,"Via Verdi, Gardone Valtrompia, BS, Lombardia",POINT
Gardone Valtrompia,Via Volta,"Via Volta, Gardone Valtrompia, BS, Lombardia",POINT
Irma,S.P. 53,"S.P. 53, Irma, BS, Lombardia",POINT
Irma,Via Nenvilla,"Via Nenvilla, Irma, BS, Lombardia",POINT
Lodrino,Piazza Marconi,"Piazza Marconi, Lodrino, BS, Lombardia",POINT
Lodrino,Via Crocette,"Via Crocette, Lodrino, BS, Lombardia",POINT
Lodrino,Via Roma,"Via Roma, Lodrino, BS, Lombardia",POINT
Lodrino,Via San Rocco,"Via San Rocco, Lodrino, BS, Lombardia",POINT
Lumezzane,P.le della Piscina,"P.le della Piscina, Lumezzane, BS, Lombardia",POINT
Lumezzane,P.zza Paolo VI,"P.zza Paolo VI, Lumezzane, BS, Lombardia",POINT
Lumezzane,Piazza 24 Maggio,"Piazza 24 Maggio, Lumezzane, BS, Lombardia",POINT
