name,provincia,alias,location,geocode,longitude,latitude
Abbadia Cerreto,Lodi,Abbadia Cerreto,"Abbadia Cerreto, Lodi","Abbadia Cerreto, Lodi, Lombardia, Italia",9.5942124,45.3119118
Bertonico,Lodi,Bertonico,"Bertonico, Lodi","Bertonico, Lodi, Lombardia, Italia",9.668062,45.23307
Boffalora d'Adda,Lodi,Boffalora d'Adda,"Boffalora d'Adda, Lodi","Boffalora d'Adda, Lodi, Lombardia, Italia",9.494156,45.359771
Borghetto Lodigiano,Lodi,Borghetto Lodigiano,"Borghetto Lodigiano, Lodi","Borghetto Lodigiano, Lodi, Lombardia, Italia",9.4996828,45.2132677
Borgo San Giovanni,Lodi,Borgo San Giovanni,"Borgo San Giovanni, Lodi","Borgo San Giovanni, Lodi, Lombardia, Italia",9.4358358,45.278042
Brembio,Lodi,Brembio,"Brembio, Lodi","Brembio, Lodi, Lombardia, Italia",9.57146,45.214568
Camairago Castelgerundo,Lodi,Castelgerundo (Fraz. Camairago),"Camairago Castelgerundo, Lodi","Camairago, Lodi, Lombardia, 26844, Italia",9.727464,45.205269
Casaletto Lodigiano,Lodi,Casaletto Lodigiano,"Casaletto Lodigiano, Lodi","Casaletto Lodigiano, Lodi, Lombardia, Italia",9.361954,45.293568
Casalmaiocco,Lodi,Casalmaiocco,"Casalmaiocco, Lodi","Casalmaiocco, Lodi, Lombardia, 26831, Italia",9.374353,45.35387
Casalpusterlengo,Lodi,Casalpusterlengo,"Casalpusterlengo, Lodi","Casalpusterlengo, Lodi, Lombardia, 26841, Italia",9.6483958,45.1793292
Caselle Landi,Lodi,Caselle Landi,"Caselle Landi, Lodi","Caselle Landi, Lodi, Lombardia, 26842, Italia",9.795567,45.102568
Caselle Lurani,Lodi,Caselle Lurani,"Caselle Lurani, Lodi","Caselle Lurani, Lodi, Lombardia, 26853, Italia",9.3602247,45.2803877
Castelnuovo Bocca d'Adda,Lodi,Castelnuovo Bocca d'Adda,"Castelnuovo Bocca d'Adda, Lodi","Castelnuovo Bocca d'Adda, Lodi, Lombardia, 26843, Italia",9.8643445,45.1084026
