name,provincia,alias
Abbadia Cerreto,Lodi,Abbadia Cerreto
Bertonico,Lodi,Bertonico
Boffalora d'Adda,Lodi,Boffalora d'Adda
Borghetto Lodigiano,Lodi,Borghetto Lodigiano
Borgo San Giovanni,Lodi,Borgo San Giovanni
Brembio,Lodi,Brembio
Camairago Castelgerundo,Lodi,Castelgerundo (Fraz. Camairago)
Casaletto Lodigiano,Lodi,Casaletto Lodigiano
Casalmaiocco,Lodi,Casalmaiocco
Casalpusterlengo,Lodi,Casalpusterlengo
Caselle Landi,Lodi,Caselle Landi
Caselle Lurani,Lodi,Caselle Lurani
Castelnuovo Bocca d'Adda,Lodi,Castelnuovo Bocca d'Adda
Castiglione d'Adda,Lodi,Castiglione d'Adda
Castiraga Vidardo,Lodi,Castiraga Vidardo
Cavacurta Castelgerundo,Lodi,Castelgerundo (Fraz. Cavacurta)
Cavenago d'Adda,Lodi,Cavenago d'Adda
Cervignano d'Adda,Lodi,Cervignano d'Adda
Codogno,Lodi,Codogno
Comazzo,Lodi,Comazzo
Cornegliano Laudense,Lodi,Cornegliano Laudense
Corno Giovine,Lodi,Corno Giovine
Cornovecchio,Lodi,Cornovecchio
Corte Palasio,Lodi,Corte Palasio
Crespiatica,Lodi,Crespiatica
Fombio,Lodi,Fombio
Galgagnano,Lodi,Galgagnano
Graffignana,Lodi,Graffignana
Guardamiglio,Lodi,Guardamiglio
Livraga,Lodi,Livraga
Lodi,Lodi,Lodi
Lodi Vecchio,Lodi,Lodi Vecchio
Maccastorna,Lodi,Maccastorna
Mairago,Lodi,Mairago
Maleo,Lodi,Maleo
Marudo,Lodi,Marudo
Massalengo,Lodi,Massalengo
Meleti,Lodi,Meleti
Merlino,Lodi,Merlino
Montanaso Lombardo,Lodi,Montanaso Lombardo
Mulazzano,Lodi,Mulazzano
Orio Litta,Lodi,Orio Litta
Ospedaletto Lodigiano,Lodi,Ospedaletto Lodigiano
Ossago Lodigiano,Lodi,Ossago Lodigiano
Pieve Fissiraga,Lodi,Pieve Fissiraga
Salerano sul Lambro,Lodi,Salerano sul Lambro
San Fiorano,Lodi,San Fiorano
San Martino in Strada,Lodi,San Martino in Strada
San Rocco al Porto,Lodi,San Rocco al Porto
Sant'Angelo Lodigiano,Lodi,Sant'Angelo Lodigiano
Santo Stefano Lodigiano,Lodi,Santo Stefano Lodigiano
Secugnago,Lodi,Secugnago
Senna Lodigiana,Lodi,Senna Lodigiana
Somaglia,Lodi,Somaglia
Sordio,Lodi,Sordio
Tavazzano con Villavesco,Lodi,Tavazzano con Villavesco
Terranova dei Passerini,Lodi,Terranova dei Passerini
Turano Lodigiano,Lodi,Turano Lodigiano
Valera Fratta,Lodi,Valera Fratta
Villanova del Sillaro,Lodi,Villanova del Sillaro
Zelo Buon Persico,Lodi,Zelo Buon Persico
