alias_address,alias_city,geocode,geometry,georeferencingString,type
Territorio,Lodi,"Lodi, Lombardia, Italia","{'type': 'Point', 'coordinates': [9.503,45.3138]}","Lodi, Lombardia, Italia",POINT
Territorio,Castelgerundo (Fraz. Camairago),"Camairago, Lodi, Lombardia, 26844, Italia","{'type': 'Point', 'coordinates': [9.727464, 45.205269]}","Camairago, Lodi, Lombardia, Italia",POINT
Territorio,Castelgerundo (Fraz. Cavacurta),"Cavacurta, Lodi, Lombardia, 26844, Italia","{'type': 'Point', 'coordinates': [9.741864, 45.189769]}","Cavacurta , Lodi, Lombardia, Italia",POINT
Territorio,Abbadia Cerreto,"Abbadia Cerreto, Lodi, Lombardia, Italia","{'type': 'Point', 'coordinates': [9.5942124, 45.3119118]}","Abbadia Cerreto , Lodi, Lombardia, Italia",POINT
Territorio,Bertonico,"Bertonico, Lodi, Lombardia, 26821, Italia","{'type': 'Point', 'coordinates': [9.668062, 45.23307]}","Bertonico , Lodi, Lombardia, Italia",POINT
Territorio,Boffalora d'Adda,"Boffalora d'Adda, Lodi, Lombardia, Italia","{'type': 'Point', 'coordinates': [9.494156, 45.359771]}","Boffalora d'Adda , Lodi, Lombardia, Italia",POINT
Territorio,Borghetto Lodigiano,"Borghetto Lodigiano, Lodi, Lombardia, Italia","{'type': 'Point', 'coordinates': [9.4996828, 45.2132677]}","Borghetto Lodigiano , Lodi, Lombardia, Italia",POINT
Territorio,Borgo San Giovanni,"Borgo San Giovanni, Lodi, Lombardia, Italia","{'type': 'Point', 'coordinates': [9.4358358, 45.278042]}","Borgo San Giovanni , Lodi, Lombardia, Italia",POINT
Territorio,Brembio,"Brembio, Lodi, Lombardia, Italia","{'type': 'Point', 'coordinates': [9.57146, 45.214568]}","Brembio , Lodi, Lombardia, Italia",POINT
Territorio,Casaletto Lodigiano,"Casaletto Lodigiano, Lodi, Lombardia, Italia","{'type': 'Point', 'coordinates': [9.361954, 45.293568]}","Casaletto Lodigiano , Lodi, Lombardia, Italia",POINT
Territorio,Casalmaiocco,"Casalmaiocco, Lodi, Lombardia, 26831, Italia","{'type': 'Point', 'coordinates': [9.374353, 45.35387]}","Casalmaiocco , Lodi, Lombardia, Italia",POINT
Territorio,Casalpusterlengo,"Casalpusterlengo, Lodi, Lombardia, 26841, Italia","{'type': 'Point', 'coordinates': [9.6483958, 45.1793292]}","Casalpusterlengo , Lodi, Lombardia, Italia",POINT
