alias_city,alias_address,georeferencingString,type
Abbadia Cerreto,Territorio,"Abbadia Cerreto , Lodi, Lombardia, Italia",POINT
Bertonico,Territorio,"Bertonico , Lodi, Lombardia, Italia",POINT
Boffalora d'Adda,Territorio,"Boffalora d'Adda , Lodi, Lombardia, Italia",POINT
Borghetto Lodigiano,Territorio,"Borghetto Lodigiano , Lodi, Lombardia, Italia",POINT
Borgo San Giovanni,Territorio,"Borgo San Giovanni , Lodi, Lombardia, Italia",POINT
Brembio,Territorio,"Brembio , Lodi, Lombardia, Italia",POINT
Castelgerundo (Fraz. Camairago),Territorio,"Castelgerundo (Fraz. Camairago) , Lodi, Lombardia, Italia",POINT
Casaletto Lodigiano,Territorio,"Casaletto Lodigiano , Lodi, Lombardia, Italia",POINT
Casalmaiocco,Territorio,"Casalmaiocco , Lodi, Lombardia, Italia",POINT
Casalpusterlengo,Territorio,"Casalpusterlengo , Lodi, Lombardia, Italia",POINT
Caselle Landi,Territorio,"Caselle Landi , Lodi, Lombardia, Italia",POINT
Caselle Lurani,Territorio,"Caselle Lurani , Lodi, Lombardia, Italia",POINT
Castelnuovo Bocca d'Adda,Territorio,"Castelnuovo Bocca d'Adda , Lodi, Lombardia, Italia",POINT
Castiglione d'Adda,Territorio,"Castiglione d'Adda , Lodi, Lombardia, Italia",POINT
Castiraga Vidardo,Territorio,"Castiraga Vidardo , Lodi, Lombardia, Italia",POINT
Castelgerundo (Fraz. Cavacurta),Territorio,"Castelgerundo (Fraz. Cavacurta) , Lodi, Lombardia, Italia",POINT
Cavenago d'Adda,Territorio,"Cavenago d'Adda , Lodi, Lombardia, Italia",POINT
Cervignano d'Adda,Territorio,"Cervignano d'Adda , Lodi, Lombardia, Italia",POINT
Codogno,Territorio,"Codogno , Lodi, Lombardia, Italia",POINT
Comazzo,Territorio,"Comazzo , Lodi, Lombardia, Italia",POINT
Cornegliano Laudense,Territorio,"Cornegliano Laudense , Lodi, Lombardia, Italia",POINT
Corno Giovine,Territorio,"Corno Giovine , Lodi, Lombardia, Italia",POINT
Cornovecchio,Territorio,"Cornovecchio , Lodi, Lombardia, Italia",POINT
Corte Palasio,Territorio,"Corte Palasio , Lodi, Lombardia, Italia",POINT
Crespiatica,Territorio,"Crespiatica , Lodi, Lombardia, Italia",POINT
Fombio,Territorio,"Fombio , Lodi, Lombardia, Italia",POINT
Galgagnano,Territorio,"Galgagnano , Lodi, Lombardia, Italia",POINT
Graffignana,Territorio,"Graffignana , Lodi, Lombardia, Italia",POINT
Guardamiglio,Territorio,"Guardamiglio , Lodi, Lombardia, Italia",POINT
Livraga,Territorio,"Livraga , Lodi, Lombardia, Italia",POINT
Lodi,Territorio,"Lodi , Lodi, Lombardia, Italia",POINT
Lodi Vecchio,Territorio,"Lodi Vecchio , Lodi, Lombardia, Italia",POINT
Maccastorna,Territorio,"Maccastorna , Lodi, Lombardia, Italia",POINT
Mairago,Territorio,"Mairago , Lodi, Lombardia, Italia",POINT
Maleo,Territorio,"Maleo , Lodi, Lombardia, Italia",POINT
Marudo,Territorio,"Marudo , Lodi, Lombardia, Italia",POINT
Massalengo,Territorio,"Massalengo , Lodi, Lombardia, Italia",POINT
Meleti,Territorio,"Meleti , Lodi, Lombardia, Italia",POINT
Merlino,Territorio,"Merlino , Lodi, Lombardia, Italia",POINT
Montanaso Lombardo,Territorio,"Montanaso Lombardo , Lodi, Lombardia, Italia",POINT
Mulazzano,Territorio,"Mulazzano , Lodi, Lombardia, Italia",POINT
Orio Litta,Territorio,"Orio Litta , Lodi, Lombardia, Italia",POINT
Ospedaletto Lodigiano,Territorio,"Ospedaletto Lodigiano , Lodi, Lombardia, Italia",POINT
Ossago Lodigiano,Territorio,"Ossago Lodigiano , Lodi, Lombardia, Italia",POINT
Pieve Fissiraga,Territorio,"Pieve Fissiraga , Lodi, Lombardia, Italia",POINT
Salerano sul Lambro,Territorio,"Salerano sul Lambro , Lodi, Lombardia, Italia",POINT
San Fiorano,Territorio,"San Fiorano , Lodi, Lombardia, Italia",POINT
San Martino in Strada,Territorio,"San Martino in Strada , Lodi, Lombardia, Italia",POINT
San Rocco al Porto,Territorio,"San Rocco al Porto , Lodi, Lombardia, Italia",POINT
Sant'Angelo Lodigiano,Territorio,"Sant'Angelo Lodigiano , Lodi, Lombardia, Italia",POINT
Santo Stefano Lodigiano,Territorio,"Santo Stefano Lodigiano , Lodi, Lombardia, Italia",POINT
Secugnago,Territorio,"Secugnago , Lodi, Lombardia, Italia",POINT
Senna Lodigiana,Territorio,"Senna Lodigiana , Lodi, Lombardia, Italia",POINT
Somaglia,Territorio,"Somaglia , Lodi, Lombardia, Italia",POINT
Sordio,Territorio,"Sordio , Lodi, Lombardia, Italia",POINT
Tavazzano con Villavesco,Territorio,"Tavazzano con Villavesco , Lodi, Lombardia, Italia",POINT
Terranova dei Passerini,Territorio,"Terranova dei Passerini , Lodi, Lombardia, Italia",POINT
Turano Lodigiano,Territorio,"Turano Lodigiano , Lodi, Lombardia, Italia",POINT
Valera Fratta,Territorio,"Valera Fratta , Lodi, Lombardia, Italia",POINT
Villanova del Sillaro,Territorio,"Villanova del Sillaro , Lodi, Lombardia, Italia",POINT
Zelo Buon Persico,Territorio,"Zelo Buon Persico , Lodi, Lombardia, Italia",POINT
