alias_address,alias_city,ammoniaca,arsenico,bicarbonato,calcio,cloro_residuo,cloruro,conducibilita,data_report,durezza,fluoruri,magnesio,manganese,nitrato,nitrito,ph,potassio,residuo_fisso,sodio,solfato
F.P. Loc. Bedosco,ANGOLO TERME,<0.05,<1,179,41,<0.05,1,250,1° semestre 2019,14.9,<0.20,11.2,<5,7,<0.05,7.8,<0.5,159,<2,10
F.P. Piazza Clè,ANGOLO TERME,<0.05,<1,179,41,<0.05,1,250,1° semestre 2019,14.9,<0.20,11.2,<5,7,<0.05,7.8,<0.5,159,<2,10
F.P. Pzza. Zanardelli,ANGOLO TERME,<0.05,<1,179,41,<0.05,1,250,1° semestre 2019,14.9,<0.20,11.2,<5,7,<0.05,7.8,<0.5,159,<2,10
F.P. Via Italia,ANGOLO TERME,<0.05,<1,179,41,<0.05,1,250,1° semestre 2019,14.9,<0.20,11.2,<5,7,<0.05,7.8,<0.5,159,<2,10
F.P Via Marconi,Azzano Mella,<0.05,<1,275,98,0.07,24,598,1° semestre 2019,31.7,<0.20,17.3,<5,40,<0.05,7.2,1.9,444,9.5,42
F.P. P.zza Marconi,BARBARIGA,<0.05,<1,323,110,<0.05,17,641,1° semestre 2019,36.1,<0.20,19,<5,43,<0.05,7.2,2.1,455,5.8,50
F.P. Via Caselle,BARBARIGA,<0.05,<1,323,110,<0.05,17,641,1° semestre 2019,36.1,<0.20,19,<5,43,<0.05,7.2,2.1,455,5.8,50
F.P. Via Castello,BORGO SAN GIACOMO,<0.05,<1,239,66,<0.05,2,392,1° semestre 2019,22.5,<0.20,12,<5,4,<0.05,7.5,1.4,275,4.4,34
F.P. Chiesa Motella,BORGO SAN GIACOMO,<0.05,<1,239,66,<0.05,2,392,1° semestre 2019,22.5,<0.20,12,<5,4,<0.05,7.5,1.4,275,4.4,34
F.P. Via A. Moro (parco giochi),BORGO SAN GIACOMO,<0.05,<1,239,66,<0.05,2,392,1° semestre 2019,22.5,<0.20,12,<5,4,<0.05,7.5,1.4,275,4.4,34
Acqualunga,BORGO SAN GIACOMO,<0.05,<1,239,66,<0.05,2,392,1° semestre 2019,22.5,<0.20,12,<5,4,<0.05,7.5,1.4,275,4.4,34
Calcinato - P.R. Piazza Repubblica,CALCINATO,<0.05,<1,304,86,nan,8,519,1° semestre 2019,30.1,<0.20,21.05,<5,22,0.08,7.1,1.4,299,5.7,30
Calcinato - P.R. Via Carlo Alberto,CALCINATO,<0.05,<1,304,86,nan,8,519,1° semestre 2019,30.1,<0.20,21.05,<5,22,0.08,7.1,1.4,299,5.7,30
Calcinato - P.R. Via Faustino,CALCINATO,<0.05,<1,304,86,nan,8,519,1° semestre 2019,30.1,<0.20,21.05,<5,22,0.08,7.1,1.4,299,5.7,30
P.R. Piazza Giacomini Mocasina,CALVAGESE DELLA RIVIERA,<0.05,<1,334,84,nan,9,545,1° semestre 2019,31.5,<0.20,25.8,<5,35,<0.05,7.1,1,311,4.3,16
P.R. Piazza Municipio,CALVAGESE DELLA RIVIERA,<0.05,<1,334,84,nan,9,545,1° semestre 2019,31.5,<0.20,25.8,<5,35,<0.05,7.1,1,311,4.3,16
