alias_address,alias_city,geocode,geometry,georeferencingString,type
F.P. Piramidi,ZONE,"Via Piramidi, 25050, Zone, Brescia","{'type': 'Point', 'coordinates': [10.111077000000012, 45.752562]}","Via Piramidi, ZONE, Brescia,  Lombardia, Italia",POINT
P.R. Cimitero,DESENZANO DEL GARDA,"Via Calamaio, 25015, Desenzano del Garda, Brescia","{'type': 'Point', 'coordinates': [10.562631631427012, 45.45004225268629]}","Via Calamaio, DESENZANO DEL GARDA, Brescia,  Lombardia, Italia",POINT
F.P. Cimitero,MONTICELLI BRUSATI,"Via 4 Novembre, 25040, Monticelli Brusati, Brescia","{'type': 'Point', 'coordinates': [10.093087629943206, 45.63134576091427]}","Via 4 Novembre, MONTICELLI BRUSATI, Brescia,  Lombardia, Italia",POINT
F.P. Loc. Bedosco,ANGOLO TERME,"Via Bedosco, 25040, Angolo Terme, Brescia","{'type': 'Point', 'coordinates': [10.150638600898462, 45.8837527419166]}","Località Bedosco, ANGOLO TERME, Brescia,  Lombardia, Italia",POINT
F.P. Piazza Clè,ANGOLO TERME,"Piazza Clè, 25040, Angolo Terme, Brescia","{'type': 'Point', 'coordinates': [10.157779783758224, 45.89149856751645]}","Piazza Clè, ANGOLO TERME, Brescia,  Lombardia, Italia",POINT
F.P. Pzza. Zanardelli,ANGOLO TERME,"Via Giuseppe Zanardelli, 25040, Angolo Terme, Brescia","{'type': 'Point', 'coordinates': [10.145574507784398, 45.87733074142615]}","Pzza. Zanardelli, ANGOLO TERME, Brescia,  Lombardia, Italia",POINT
F.P. Via Italia,ANGOLO TERME,"Viale Italia, 25040, Angolo Terme, Brescia","{'type': 'Point', 'coordinates': [10.146917548488343, 45.895786514445895]}","Via Italia, ANGOLO TERME, Brescia,  Lombardia, Italia",POINT
F.P Via Marconi,Azzano Mella,"Via Guglielmo Marconi, 25020, Azzano Mella, Brescia","{'type': 'Point', 'coordinates': [10.11933889502102, 45.45470075373931]}","Via Marconi, Azzano Mella, Brescia,  Lombardia, Italia",POINT
F.P. P.zza Marconi,BARBARIGA,"Piazza Guglielmo Marconi, 25030, Barbariga, Brescia","{'type': 'Point', 'coordinates': [10.05109802260343, 45.40614776383454]}","P.zza Marconi, BARBARIGA, Brescia,  Lombardia, Italia",POINT
F.P. Via Caselle,BARBARIGA,"Barbariga, Brescia","{'type': 'Point', 'coordinates': [10.052100000000053, 45.40602000000007]}","Via Caselle, BARBARIGA, Brescia,  Lombardia, Italia",POINT
F.P. Via Castello,BORGO SAN GIACOMO,"Via Castello, 25022, Borgo San Giacomo, Brescia","{'type': 'Point', 'coordinates': [9.967481199255115, 45.349158215155434]}","Via Castello, BORGO SAN GIACOMO, Brescia,  Lombardia, Italia",POINT
F.P. Chiesa Motella,BORGO SAN GIACOMO,"Motella, Borgo San Giacomo, Brescia","{'type': 'Point', 'coordinates': [10.009290000000021, 45.34618000000006]}","Chiesa Motella, BORGO SAN GIACOMO, Brescia,  Lombardia, Italia",POINT
F.P. Via A. Moro (parco giochi),BORGO SAN GIACOMO,"Via Aldo Moro, 25022, Borgo San Giacomo, Brescia","{'type': 'Point', 'coordinates': [9.972052494613708, 45.34704490027699]}","Via A. Moro (parco giochi), BORGO SAN GIACOMO, Brescia,  Lombardia, Italia",POINT
Acqualunga,BORGO SAN GIACOMO,"Acqualunga, Borgo San Giacomo, Brescia","{'type': 'Point', 'coordinates': [9.954840000000047, 45.326140000000066]}","Acqualunga, BORGO SAN GIACOMO, Brescia,  Lombardia, Italia",POINT
Calcinato - P.R. Piazza Repubblica,CALCINATO,"Piazza Repubblica, 25011, Calcinato, Brescia","{'type': 'Point', 'coordinates': [10.413073968163959, 45.454286034738324]}","Calcinato -  Piazza Repubblica, CALCINATO, Brescia,  Lombardia, Italia",POINT
Calcinato - P.R. Via Carlo Alberto,CALCINATO,"Via Carlo Alberto, 25011, Calcinato, Brescia","{'type': 'Point', 'coordinates': [10.426841345396355, 45.45746168140995]}","Calcinato -  Via Carlo Alberto, CALCINATO, Brescia,  Lombardia, Italia",POINT
Calcinato - P.R. Via Faustino,CALCINATO,"Calcinato, Brescia","{'type': 'Point', 'coordinates': [10.40966000000003, 45.453340000000026]}","Calcinato -  Via Faustino, CALCINATO, Brescia,  Lombardia, Italia",POINT
P.R. Piazza Giacomini Mocasina,CALVAGESE DELLA RIVIERA,"Piazza Giacomini, 25080, Calvagese della Riviera, Brescia","{'type': 'Point', 'coordinates': [10.439104500000008, 45.530946]}","Piazza Giacomini Mocasina, CALVAGESE DELLA RIVIERA, Brescia,  Lombardia, Italia",POINT
P.R. Piazza Municipio,CALVAGESE DELLA RIVIERA,"Piazza del Municipio, 25080, Calvagese della Riviera, Brescia","{'type': 'Point', 'coordinates': [10.446636453966288, 45.5409968815778]}","Piazza Municipio, CALVAGESE DELLA RIVIERA, Brescia,  Lombardia, Italia",POINT
F.P. Via Donatori di sangue,CAPRIOLO,"Via Donatori del Sangue, 25031, Capriolo, Brescia","{'type': 'Point', 'coordinates': [9.94063275, 45.64288800000001]}","Via Donatori di sangue, CAPRIOLO, Brescia,  Lombardia, Italia",POINT
F.P. Via Molinara,CAPRIOLO,"Via Molinara, 25031, Capriolo, Brescia","{'type': 'Point', 'coordinates': [9.922220101725177, 45.619331263396354]}","Via Molinara, CAPRIOLO, Brescia,  Lombardia, Italia",POINT
P.R. Via 8 Marzo,CARPENEDOLO,"Via 8 Marzo, 25013, Carpenedolo, Brescia","{'type': 'Point', 'coordinates': [10.435070955331737, 45.3506152975421]}","Via 8 Marzo, CARPENEDOLO, Brescia,  Lombardia, Italia",POINT
P.R. Via Papa Giovanni XXIII,CARPENEDOLO,"Viale Papa Giovanni, 25013, Carpenedolo, Brescia","{'type': 'Point', 'coordinates': [10.427175331319992, 45.35767000043174]}","Via Papa Giovanni XXIII, CARPENEDOLO, Brescia,  Lombardia, Italia",POINT
F.P. Chiesa via Trebeschi/via S.Martino,CASTEGNATO,"Via Pietro Trebeschi, 25045, Castegnato, Brescia","{'type': 'Point', 'coordinates': [10.120564174512186, 45.5627971881617]}","Chiesa via Trebeschi/via S.Martino, CASTEGNATO, Brescia,  Lombardia, Italia",POINT
F.P. Via del lavoro,CASTEGNATO,"Via del Lavoro, 25045, Castegnato, Brescia","{'type': 'Point', 'coordinates': [10.09281546980079, 45.55966576881496]}","Via del lavoro, CASTEGNATO, Brescia,  Lombardia, Italia",POINT
F.P. Via Europa (parco),CASTEGNATO,"Viale Europa, 25045, Castegnato, Brescia","{'type': 'Point', 'coordinates': [10.112338728530364, 45.567161374135374]}","Via Europa (parco), CASTEGNATO, Brescia,  Lombardia, Italia",POINT
F.P. Via Franchi,CASTEGNATO,"Via Francesco Franchi, 25045, Castegnato, Brescia","{'type': 'Point', 'coordinates': [10.114278923475062, 45.56089308055195]}","Via Franchi, CASTEGNATO, Brescia,  Lombardia, Italia",POINT
F.P. Via Bevilacqua,CASTEL MELLA,"Via Cardinale Bevilacqua, 25030, Castel Mella, Brescia","{'type': 'Point', 'coordinates': [10.149107772955723, 45.492755263777624]}","Via Bevilacqua, CASTEL MELLA, Brescia,  Lombardia, Italia",POINT
F.P. Parco Giochi Via Fiume Po',CASTELCOVATI,"Via Fiume Po, 25030, Castelcovati, Brescia","{'type': 'Point', 'coordinates': [9.946463531252212, 45.49437128066022]}","Parco Giochi Via Fiume Po', CASTELCOVATI, Brescia,  Lombardia, Italia",POINT
Cimitero,CASTREZZATO,"Castrezzato, Brescia","{'type': 'Point', 'coordinates': [9.980930000000058, 45.51248000000004]}","Cimitero, CASTREZZATO, Brescia,  Lombardia, Italia",POINT
F.P. Calino,CAZZAGO SAN MARTINO,"Piazza Cardinale Lodovico Calini, 25046, Cazzago San Martino, Brescia","{'type': 'Point', 'coordinates': [10.019169000000005, 45.59066557269965]}","Calino, CAZZAGO SAN MARTINO, Brescia,  Lombardia, Italia",POINT
F.P. Via Caduti,CAZZAGO SAN MARTINO,"Via Caduti, 25046, Cazzago San Martino, Brescia","{'type': 'Point', 'coordinates': [10.043937750150722, 45.54462533299842]}","Via Caduti, CAZZAGO SAN MARTINO, Brescia,  Lombardia, Italia",POINT
F.p. Via Garibaldi,CAZZAGO SAN MARTINO,"Via Giuseppe Garibaldi, 25046, Cazzago San Martino, Brescia","{'type': 'Point', 'coordinates': [10.0392750406895, 45.596578096218565]}","F.p. Via Garibaldi, CAZZAGO SAN MARTINO, Brescia,  Lombardia, Italia",POINT
F.P. Via Ungaretti (barco),CAZZAGO SAN MARTINO,"Via Giuseppe Ungaretti, 25046, Cazzago San Martino, Brescia","{'type': 'Point', 'coordinates': [10.044986456843962, 45.576900282987864]}","Via Ungaretti (barco), CAZZAGO SAN MARTINO, Brescia,  Lombardia, Italia",POINT
F.P. Piazza Mazzini,CEDEGOLO,"Piazza Giuseppe Mazzini, 25051, Cedegolo, Brescia","{'type': 'Point', 'coordinates': [10.354113426074834, 46.0680160767516]}","Piazza Mazzini, CEDEGOLO, Brescia,  Lombardia, Italia",POINT
F.P. Via Cologne,CHIARI,"Via Cologne, 25032, Chiari, Brescia","{'type': 'Point', 'coordinates': [9.926134829129259, 45.56016300584289]}","Via Cologne, CHIARI, Brescia,  Lombardia, Italia",POINT
F.P. Via dalla Chiesa,CHIARI,"Via Carlo Alberto dalla Chiesa, 25032, Chiari, Brescia","{'type': 'Point', 'coordinates': [9.943394456943825, 45.537189212440445]}","Via dalla Chiesa, CHIARI, Brescia,  Lombardia, Italia",POINT
F.P. Via F.lli Sirani (Parcheggio ITC),CHIARI,"Via Fratelli Sirani, 25032, Chiari, Brescia","{'type': 'Point', 'coordinates': [9.925932606437767, 45.5428066914389]}","Via F.lli Sirani (Parcheggio ITC), CHIARI, Brescia,  Lombardia, Italia",POINT
F.P. Via Milano,CHIARI,"Via Milano, 25032, Chiari, Brescia","{'type': 'Point', 'coordinates': [9.919226553782249, 45.532440389088826]}","Via Milano, CHIARI, Brescia,  Lombardia, Italia",POINT
F.P. Via Pontoglio,CHIARI,"Via Pontoglio, 25032, Chiari, Brescia","{'type': 'Point', 'coordinates': [9.892894570891675, 45.54919943007517]}","Via Pontoglio, CHIARI, Brescia,  Lombardia, Italia",POINT
F.P. Parco Francesca,COCCAGLIO,Parco Francesca,"{'type': 'Point', 'coordinates': [9.969350000000077, 45.56532000000004]}","Parco Francesca, COCCAGLIO, Brescia,  Lombardia, Italia",POINT
F.P. Piazza Moro,COCCAGLIO,"Piazza Aldo Moro, 25030, Coccaglio, Brescia","{'type': 'Point', 'coordinates': [9.971596891850794, 45.5681403632903]}","Piazza Moro, COCCAGLIO, Brescia,  Lombardia, Italia",POINT
F.P. Piazza Italia (Cizzago),COMEZZANO-CIZZAGO,"Piazza Italia, 25030, Comezzano-Cizzago, Brescia","{'type': 'Point', 'coordinates': [9.94658209471063, 45.473241972967706]}","Piazza Italia (Cizzago), COMEZZANO-CIZZAGO, Brescia,  Lombardia, Italia",POINT
F.P. Via Covour Borgonato,CORTE FRANCA,"Via Camillo Benso di Cavour, 25040, Corte Franca, Brescia","{'type': 'Point', 'coordinates': [10.015185089719601, 45.620968875597114]}","Via Covour Borgonato, CORTE FRANCA, Brescia,  Lombardia, Italia",POINT
F.P. Via A. Moro,CORTE FRANCA,"Via Aldo Moro, 25040, Corte Franca, Brescia","{'type': 'Point', 'coordinates': [9.987933004726706, 45.63395829921917]}","Via A. Moro, CORTE FRANCA, Brescia,  Lombardia, Italia",POINT
F.P. Via Conicchio Timoline,CORTE FRANCA,"Via Conicchio, 25040, Corte Franca, Brescia","{'type': 'Point', 'coordinates': [10.004825668679796, 45.63469119376955]}","Via Conicchio Timoline, CORTE FRANCA, Brescia,  Lombardia, Italia",POINT
F.P. Via Colombo (Bargnano),CORZANO,"Via Cristoforo Colombo, 25030, Corzano, Brescia","{'type': 'Point', 'coordinates': [10.038728226619241, 45.42843164028454]}","Via Colombo (Bargnano), CORZANO, Brescia,  Lombardia, Italia",POINT
F.P. Chiesa (Boldeniga),DELLO,"Boldeniga, Dello, Brescia","{'type': 'Point', 'coordinates': [10.100520000000074, 45.42656000000005]}","Chiesa (Boldeniga), DELLO, Brescia,  Lombardia, Italia",POINT
F.P. Piazza Roma,DELLO,"Via Roma, 25020, Dello, Brescia","{'type': 'Point', 'coordinates': [10.072951251033436, 45.41798662616329]}","Piazza Roma, DELLO, Brescia,  Lombardia, Italia",POINT
F.P. Via Manzoni (Corticelle),DELLO,"Via Alessandro Manzoni, 25020, Dello, Brescia","{'type': 'Point', 'coordinates': [10.124199497876331, 45.42325148483003]}","Via Manzoni (Corticelle), DELLO, Brescia,  Lombardia, Italia",POINT
F.P. Via Puccini,DELLO,"Via Giacomo Puccini, 25020, Dello, Brescia","{'type': 'Point', 'coordinates': [10.073438918803435, 45.4215321854092]}","Via Puccini, DELLO, Brescia,  Lombardia, Italia",POINT
