alias_city,alias_address,georeferencingString,type
ANGOLO TERME,F.P. Loc. Bedosco,"Località Bedosco, ANGOLO TERME, Brescia,  Lombardia, Italia",POINT
ANGOLO TERME,F.P. Piazza Clè,"Piazza Clè, ANGOLO TERME, Brescia,  Lombardia, Italia",POINT
ANGOLO TERME,F.P. Pzza. Zanardelli,"Pzza. Zanardelli, ANGOLO TERME, Brescia,  Lombardia, Italia",POINT
ANGOLO TERME,F.P. Via Italia,"Via Italia, ANGOLO TERME, Brescia,  Lombardia, Italia",POINT
Azzano Mella,F.P Via Marconi,"Via Marconi, Azzano Mella, Brescia,  Lombardia, Italia",POINT
BARBARIGA,F.P. P.zza Marconi,"P.zza Marconi, BARBARIGA, Brescia,  Lombardia, Italia",POINT
BARBARIGA,F.P. Via Caselle,"Via Caselle, BARBARIGA, Brescia,  Lombardia, Italia",POINT
BORGO SAN GIACOMO,F.P. Via Castello,"Via Castello, BORGO SAN GIACOMO, Brescia,  Lombardia, Italia",POINT
BORGO SAN GIACOMO,F.P. Chiesa Motella,"Chiesa Motella, BORGO SAN GIACOMO, Brescia,  Lombardia, Italia",POINT
BORGO SAN GIACOMO,F.P. Via A. Moro (parco giochi),"Via A. Moro (parco giochi), BORGO SAN GIACOMO, Brescia,  Lombardia, Italia",POINT
BORGO SAN GIACOMO,Acqualunga,"Acqualunga, BORGO SAN GIACOMO, Brescia,  Lombardia, Italia",POINT
CALCINATO,Calcinato - P.R. Piazza Repubblica,"Calcinato -  Piazza Repubblica, CALCINATO, Brescia,  Lombardia, Italia",POINT
CALCINATO,Calcinato - P.R. Via Carlo Alberto,"Calcinato -  Via Carlo Alberto, CALCINATO, Brescia,  Lombardia, Italia",POINT
CALCINATO,Calcinato - P.R. Via Faustino,"Calcinato -  Via Faustino, CALCINATO, Brescia,  Lombardia, Italia",POINT
CALVAGESE DELLA RIVIERA,P.R. Piazza Giacomini Mocasina,"Piazza Giacomini Mocasina, CALVAGESE DELLA RIVIERA, Brescia,  Lombardia, Italia",POINT
CALVAGESE DELLA RIVIERA,P.R. Piazza Municipio,"Piazza Municipio, CALVAGESE DELLA RIVIERA, Brescia,  Lombardia, Italia",POINT
CAPRIOLO,F.P. Via Donatori di sangue,"Via Donatori di sangue, CAPRIOLO, Brescia,  Lombardia, Italia",POINT
CAPRIOLO,F.P. Via Molinara,"Via Molinara, CAPRIOLO, Brescia,  Lombardia, Italia",POINT
CARPENEDOLO,P.R. Via 8 Marzo,"Via 8 Marzo, CARPENEDOLO, Brescia,  Lombardia, Italia",POINT
