alias_city,alias_address,urlReport,page,data_report
ANGOLO TERME,F.P. Loc. Bedosco,https://www.acquebresciane.it/public/dam/jcr:c09737ac-7b21-4a2f-a06b-b687dc284c2f/Analisi_Acqua_AngoloTerme_1_sem_2019.pdf,0,1° semestre 2019
ANGOLO TERME,F.P. Piazza Clè,https://www.acquebresciane.it/public/dam/jcr:c09737ac-7b21-4a2f-a06b-b687dc284c2f/Analisi_Acqua_AngoloTerme_1_sem_2019.pdf,1,1° semestre 2019
ANGOLO TERME,F.P. Pzza. Zanardelli,https://www.acquebresciane.it/public/dam/jcr:c09737ac-7b21-4a2f-a06b-b687dc284c2f/Analisi_Acqua_AngoloTerme_1_sem_2019.pdf,2,1° semestre 2019
ANGOLO TERME,F.P. Via Italia,https://www.acquebresciane.it/public/dam/jcr:c09737ac-7b21-4a2f-a06b-b687dc284c2f/Analisi_Acqua_AngoloTerme_1_sem_2019.pdf,3,1° semestre 2019
Azzano Mella,F.P Via Marconi,https://www.acquebresciane.it/public/dam/jcr:410e8ec9-fdd7-480f-b241-6dd05c470f3e/Analisi_Acqua_AzzanoMella_1_sem_2019.pdf,0,1° semestre 2019
BARBARIGA,F.P. P.zza Marconi,https://www.acquebresciane.it/public/dam/jcr:d9ff1e4a-06bd-49d3-8f21-efd0d7e01457/Analisi_Acqua_Barbariga_1_sem_2019.pdf,0,1° semestre 2019
BARBARIGA,F.P. Via Caselle,https://www.acquebresciane.it/public/dam/jcr:d9ff1e4a-06bd-49d3-8f21-efd0d7e01457/Analisi_Acqua_Barbariga_1_sem_2019.pdf,1,1° semestre 2019
BORGO SAN GIACOMO,F.P. Via Castello,https://www.acquebresciane.it/public/dam/jcr:6d9927e5-ec4e-486f-9505-be23c3186373/Analisi_Acqua_BorgoSanGiacomo_1_sem_2019.pdf,0,1° semestre 2019
BORGO SAN GIACOMO,F.P. Chiesa Motella,https://www.acquebresciane.it/public/dam/jcr:6d9927e5-ec4e-486f-9505-be23c3186373/Analisi_Acqua_BorgoSanGiacomo_1_sem_2019.pdf,1,1° semestre 2019
BORGO SAN GIACOMO,F.P. Via A. Moro (parco giochi),https://www.acquebresciane.it/public/dam/jcr:6d9927e5-ec4e-486f-9505-be23c3186373/Analisi_Acqua_BorgoSanGiacomo_1_sem_2019.pdf,2,1° semestre 2019
BORGO SAN GIACOMO,Acqualunga,https://www.acquebresciane.it/public/dam/jcr:6d9927e5-ec4e-486f-9505-be23c3186373/Analisi_Acqua_BorgoSanGiacomo_1_sem_2019.pdf,3,1° semestre 2019
CALCINATO,Calcinato - P.R. Piazza Repubblica,https://www.acquebresciane.it/public/dam/jcr:7d4a7e29-d71f-4f42-8b95-80550028d18e/Analisi_Acqua_Calcinato_1_sem_2019.pdf,0,1° semestre 2019
CALCINATO,Calcinato - P.R. Via Carlo Alberto,https://www.acquebresciane.it/public/dam/jcr:7d4a7e29-d71f-4f42-8b95-80550028d18e/Analisi_Acqua_Calcinato_1_sem_2019.pdf,1,1° semestre 2019
CALCINATO,Calcinato - P.R. Via Faustino,https://www.acquebresciane.it/public/dam/jcr:7d4a7e29-d71f-4f42-8b95-80550028d18e/Analisi_Acqua_Calcinato_1_sem_2019.pdf,2,1° semestre 2019
CALVAGESE DELLA RIVIERA,P.R. Piazza Giacomini Mocasina,https://www.acquebresciane.it/public/dam/jcr:b0268094-9eaa-4b24-b188-2494aab29910/Analisi_Acqua_Calvagese_1_sem_2019.pdf,0,1° semestre 2019
CALVAGESE DELLA RIVIERA,P.R. Piazza Municipio,https://www.acquebresciane.it/public/dam/jcr:b0268094-9eaa-4b24-b188-2494aab29910/Analisi_Acqua_Calvagese_1_sem_2019.pdf,1,1° semestre 2019
CAPRIOLO,F.P. Via Donatori di sangue,https://www.acquebresciane.it/public/dam/jcr:9b5132b3-c5d5-41d0-a338-28e0db7352ea/Analisi_Acqua_Capriolo_1_sem_2019.pdf,0,1° semestre 2019
CAPRIOLO,F.P. Via Molinara,https://www.acquebresciane.it/public/dam/jcr:9b5132b3-c5d5-41d0-a338-28e0db7352ea/Analisi_Acqua_Capriolo_1_sem_2019.pdf,1,1° semestre 2019
CARPENEDOLO,P.R. Via 8 Marzo,https://www.acquebresciane.it/public/dam/jcr:61b316c6-cf12-4df0-a863-739471ee777a/Analisi_Acqua_Carpenedolo_1_sem_2019.pdf,0,1° semestre 2019
CARPENEDOLO,P.R. Via Papa Giovanni XXIII,https://www.acquebresciane.it/public/dam/jcr:61b316c6-cf12-4df0-a863-739471ee777a/Analisi_Acqua_Carpenedolo_1_sem_2019.pdf,1,1° semestre 2019
CASTEGNATO,F.P. Chiesa via Trebeschi/via S.Martino,https://www.acquebresciane.it/public/dam/jcr:5e97aabc-ae6e-460b-a1f0-ec8b158d66ae/Analisi_Acqua_Castegnato_1_sem_2019.pdf,0,1° semestre 2019
CASTEGNATO,F.P. Via del lavoro,https://www.acquebresciane.it/public/dam/jcr:5e97aabc-ae6e-460b-a1f0-ec8b158d66ae/Analisi_Acqua_Castegnato_1_sem_2019.pdf,1,1° semestre 2019
CASTEGNATO,F.P. Via Europa (parco),https://www.acquebresciane.it/public/dam/jcr:5e97aabc-ae6e-460b-a1f0-ec8b158d66ae/Analisi_Acqua_Castegnato_1_sem_2019.pdf,2,1° semestre 2019
CASTEGNATO,F.P. Via Franchi,https://www.acquebresciane.it/public/dam/jcr:5e97aabc-ae6e-460b-a1f0-ec8b158d66ae/Analisi_Acqua_Castegnato_1_sem_2019.pdf,3,1° semestre 2019
CASTEL MELLA,F.P. Via Bevilacqua,https://www.acquebresciane.it/public/dam/jcr:d2373c73-e6d6-4953-b6bd-41008c8a6246/Analisi_Acqua_CastelMella_1_sem_2019.pdf,0,1° semestre 2019
CASTELCOVATI,F.P. Parco Giochi Via Fiume Po',https://www.acquebresciane.it/public/dam/jcr:1b537983-6221-44ba-93ed-cb326a896b47/Analisi_Acqua_Castelcovati_1_sem_2019.pdf,0,1° semestre 2019
CASTREZZATO,Cimitero,https://www.acquebresciane.it/public/dam/jcr:56c48aa1-793a-4a08-9595-afce458955f3/Analisi_Acqua_Castrezzato_1_sem_2019.pdf,0,1° semestre 2019
CAZZAGO SAN MARTINO,F.P. Calino,https://www.acquebresciane.it/public/dam/jcr:b09ef65a-2334-4436-9963-14cb2fc981ee/Analisi_Acqua_CazzagoSanMartino_1_sem_2019.pdf,0,1° semestre 2019
CAZZAGO SAN MARTINO,F.P. Via Caduti,https://www.acquebresciane.it/public/dam/jcr:b09ef65a-2334-4436-9963-14cb2fc981ee/Analisi_Acqua_CazzagoSanMartino_1_sem_2019.pdf,1,1° semestre 2019
CAZZAGO SAN MARTINO,F.p. Via Garibaldi,https://www.acquebresciane.it/public/dam/jcr:b09ef65a-2334-4436-9963-14cb2fc981ee/Analisi_Acqua_CazzagoSanMartino_1_sem_2019.pdf,2,1° semestre 2019
CAZZAGO SAN MARTINO,F.P. Via Ungaretti (barco),https://www.acquebresciane.it/public/dam/jcr:b09ef65a-2334-4436-9963-14cb2fc981ee/Analisi_Acqua_CazzagoSanMartino_1_sem_2019.pdf,3,1° semestre 2019
CEDEGOLO,F.P. Piazza Mazzini,https://www.acquebresciane.it/public/dam/jcr:9013028a-cec1-4802-ae78-1838277acd01/Analisi_Acqua_Cedegolo_1_sem_2019.pdf,0,1° semestre 2019
CHIARI,F.P. Via Cologne,https://www.acquebresciane.it/public/dam/jcr:f6007b6e-8de2-4f44-905a-fa7420c64d22/Analisi_Acqua_Chiari_1_sem_2019.pdf,0,1° semestre 2019
CHIARI,F.P. Via dalla Chiesa,https://www.acquebresciane.it/public/dam/jcr:f6007b6e-8de2-4f44-905a-fa7420c64d22/Analisi_Acqua_Chiari_1_sem_2019.pdf,1,1° semestre 2019
CHIARI,F.P. Via F.lli Sirani (Parcheggio ITC),https://www.acquebresciane.it/public/dam/jcr:f6007b6e-8de2-4f44-905a-fa7420c64d22/Analisi_Acqua_Chiari_1_sem_2019.pdf,2,1° semestre 2019
CHIARI,F.P. Via Milano,https://www.acquebresciane.it/public/dam/jcr:f6007b6e-8de2-4f44-905a-fa7420c64d22/Analisi_Acqua_Chiari_1_sem_2019.pdf,3,1° semestre 2019
CHIARI,F.P. Via Pontoglio,https://www.acquebresciane.it/public/dam/jcr:f6007b6e-8de2-4f44-905a-fa7420c64d22/Analisi_Acqua_Chiari_1_sem_2019.pdf,4,1° semestre 2019
COCCAGLIO,F.P. Parco Francesca,https://www.acquebresciane.it/public/dam/jcr:e1522b85-f47c-476f-9c9f-ac694772d043/Analisi_Acqua_Coccaglio_1_sem_2019.pdf,0,1° semestre 2019
COCCAGLIO,F.P. Piazza Moro,https://www.acquebresciane.it/public/dam/jcr:e1522b85-f47c-476f-9c9f-ac694772d043/Analisi_Acqua_Coccaglio_1_sem_2019.pdf,1,1° semestre 2019
COMEZZANO-CIZZAGO,F.P. Piazza Italia (Cizzago),https://www.acquebresciane.it/public/dam/jcr:abc5760e-cf83-40ef-8b76-919b48d22b6e/Analisi_Acqua_ComezzanoCizzago_1_sem_2019.pdf,0,1° semestre 2019
CORTE FRANCA,F.P. Via Covour Borgonato,https://www.acquebresciane.it/public/dam/jcr:ccab7599-0d84-49ed-b50c-4b9d60fc211e/Analisi_Acqua_CorteFranca_1_sem_2019.pdf,0,1° semestre 2019
CORTE FRANCA,F.P. Via A. Moro,https://www.acquebresciane.it/public/dam/jcr:ccab7599-0d84-49ed-b50c-4b9d60fc211e/Analisi_Acqua_CorteFranca_1_sem_2019.pdf,1,1° semestre 2019
CORTE FRANCA,F.P. Via Conicchio Timoline,https://www.acquebresciane.it/public/dam/jcr:ccab7599-0d84-49ed-b50c-4b9d60fc211e/Analisi_Acqua_CorteFranca_1_sem_2019.pdf,2,1° semestre 2019
CORZANO,F.P. Via Colombo (Bargnano),https://www.acquebresciane.it/public/dam/jcr:8e415b33-7889-4566-b77e-afeb3e236bd2/Analisi_Acqua_Corzano_1_sem_2019.pdf,0,1° semestre 2019
DELLO,F.P. Chiesa (Boldeniga),https://www.acquebresciane.it/public/dam/jcr:0b7f2d63-d3b2-48b9-b910-6bf17b1327c6/Analisi_Acqua_Dello_1_sem_2019.pdf,0,1° semestre 2019
DELLO,F.P. Piazza Roma,https://www.acquebresciane.it/public/dam/jcr:0b7f2d63-d3b2-48b9-b910-6bf17b1327c6/Analisi_Acqua_Dello_1_sem_2019.pdf,1,1° semestre 2019
DELLO,F.P. Via Manzoni (Corticelle),https://www.acquebresciane.it/public/dam/jcr:0b7f2d63-d3b2-48b9-b910-6bf17b1327c6/Analisi_Acqua_Dello_1_sem_2019.pdf,2,1° semestre 2019
DELLO,F.P. Via Puccini,https://www.acquebresciane.it/public/dam/jcr:0b7f2d63-d3b2-48b9-b910-6bf17b1327c6/Analisi_Acqua_Dello_1_sem_2019.pdf,3,1° semestre 2019
