parametro,syn0,syn1,syn2,syn3,syn4,syn5,syn6,syn7,syn8,syn9
residuo_fisso,Residuo fisso a 180°C (mg/l)
durezza,Durezza Totale (°F)
ph,pH (unità di pH)
calcio,Calcio (Ca) (mg/l)
sodio,Sodio (Na) (mg/l)
magnesio,Magnesio (Mg) (mg/l)
potassio,Potassio (K) (mg/l)
solfato,Solfati (SO4) (mg/l)
nitrato,Nitrati (NO3-) (mg/l)
nitrito,Nitriti (NO2-) (mg/l)
cloruro,Cloruri (Cl-) (mg/l)
conducibilita,Conducibilità elettrica a 20°C (μS/cm)
fluoruri,Fluoruri (F-) (mg/l)
ammoniaca,Ammonio (NH4) (mg/l)
manganese,Manganese (Mn) (μg/l)
arsenico,Arsenico (As) (μg/l)
bicarbonato,Bicarbonati (HCO3) (mg/l)
cloro_residuo,Cloro residuo libero (ClO2) (mg/l)
