alias_address,alias_city,arsenico,calcio,cloruro,conducibilita,cromo,data_report,durezza,ferro,fluoruri,magnesio,manganese,nitrato,nitrito,ph,sodio,solfato
Via Sant'Alessandro - Albizzate,Albizzate - Cimitero,,53.07,32.8,470,,30/07/2018,16.0,66,,6.67,,12.8,,7.48,27.0,12.8
Piazza IV Novembre - Albizzate,Albizzate - Municipio,,54.30,32.7,470,,30/07/2018,15.7,,,5.24,,17.7,,7.50,27.1,12.6
Via Parini 2 - Albizzate,Albizzate - Scuola,,,,494,,13/11/2019,18.5,,,,,17.6,,7.5,,
Via Dante Alighieri 7 - Albizzate,Albizzate - Scuola Elementare,,,,486,,17/02/2020,24,,,,,14.8,,7.7,,
Via Campagna 23 Albizzate,Albizzate - Scuola Materna,,,,484,,17/02/2020,23,,,,,14.7,,7.8,,
Capronno,Angera - Bacino Capronno - Cameretta tecnica,,,,,,18/02/2019,,,,,,,,,,
Via S. Isidoro - Angera,Angera - Bar Via Isidoro,,,,,,18/02/2019,,,,,,,,,,
Via S. Isidoro 19 - Barzola,Angera - Debatterizzatore - Barzola,,,,346,,13/02/2020,20,,,,,16.6,,7.9,,
Via Val Castella Sopra Soara Angera,Angera - Debatterizzatore - Sopra Soara,,,,,,18/02/2019,,,,,,,,,,
Via S. Ambrogio Capronno,Angera - debatterizzatore Capronno,,,,,,22/07/2019,,,,,,,,,,
Via Isidoro 7 - Angera,Angera - Fontanella Barzola,7.2,52.50,8.9,344,,23/07/2018,18.2,,,12.48,,17.4,,7.73,7.3,30.1
Via Monterosa - Angera,Angera - Magazzino Monterosa,,,,,,18/02/2019,,,,,,,,,,
Piazza Garibaldi - Angera,Angera - Municipio,,,,345,,13/02/2020,19,,,,,21.0,,7.9,,
Via Bruschera - Angera,Angera - Parco Giochi Bruschera,,,,336,,13/02/2020,20,,,,,20.3,,7.9,,
Via Roncaccio - Arsago Seprio,Arsago Seprio - Cimitero Roncaccio,,,,279,,11/02/2020,15,,,,,10,,7.9,,
Via A.Camera - Bardello,Bardello - Fontanella,,,,294,,16/04/2019,14.9,,,,,8.6,,7.92,,
Via IV Novembre - Bardello,Bardello - Fontanella,,,,,,26/11/2018,,,,,,,,,,
Piazza Garibaldi 14 - Bardello,Bardello - Municipio,,,,276,,13/02/2020,17,,,,,5.1,,8.0,,
Via Boccaccio - Besozzo,Besozzo - Bacino Boccaccio,,,,,,23/04/2018,,,,,,,,,,
Besozzo,Besozzo - Bacino Ingorio,,,,,,23/04/2018,,,,,,,,,,
Via Premunera - Besozzo,Besozzo - Bacino Premunera,,,,,,23/04/2018,,,,,,,,,,
Via del Pozzo - Besozzo,Besozzo - Bacino Repui,,,,,,23/04/2018,,,,,,,,,,
Via S. Michele - Besozzo,Besozzo - Cimitero Bogno,,,,509,,10/03/2020,24,,,,,5.6,,7.6,,
Via Beolchi - Besozzo,Besozzo - Cimitero Cardana,,,,515,,10/03/2020,25,,,,,6.4,,7.8,,
Via Gaggio - Besozzo,Besozzo - Cimitero Olginasio,,,,387,,10/03/2020,19,,,,,5.5,,7.7,,
Via Gorini - Besozzo,Besozzo - Valle debatterizzatore,,,,,,08/07/2019,,,,,,,,,,
Via V. Veneto - Biandronno,Biandronno - Cassinetta Centro Diurno,,,,287,,13/09/2019,12.8,,,,,10.7,,7.9,,
Via Rimembranze - Biandronno,Biandronno - Cimitero,,,,295,,13/02/2020,17,,,,,10.5,,8.0,,
"Piazza Cavour, 4 - Biandronno",Biandronno - Municipio,,,,292,,16/04/2019,14.9,,,,,11.5,,7.98,,
Via Pasubio - Brebbia,Brebbia - Municipio,,,,295,,13/02/2020,17,,,,,10.5,,8.0,,
"Via Piave, 39 - Bregano",Bregano - Municipio,,,,295,,13/02/2020,17,,,,,8.8,,8.1,,
Via S. Maria 7 - Brunello,Brunello - Cimitero,,,,391,,11/02/2020,25,,,,,17,,7.7,,
Piazza Ballerio - Brunello,Brunello - Municipio,,,,372,,11/02/2020,22,,,,,16,,7.6,,
Via Piermarini - Busto Arsizio,Busto Arsizio,,,,317,,19/02/2020,14,,,,,6.2,,7.5,,
Via Palermo - Busto Arsizio,Busto Arsizio,,,,357,,19/02/2020,17,,,,,9.0,,7.7,,
Viale Trentino - Busto Arsizio,Busto Arsizio,,,,501,,17/02/2020,24,,,,,21.2,,7.5,,
Via Lualdi - Busto Arsizio,Busto Arsizio,,,,376,,17/02/2020,18,,,,,16.6,,7.7,,
Via Azimonti - Busto Arsizio,Busto Arsizio,,,,504,,19/02/2020,24,,,,,22.3,,7.6,,
