alias_address,alias_city,geocode,geometry,georeferencingString,type
Via San Giuseppe ang. Via Montegrappa Castelseprio,Castelseprio fontanella Piazza Mercato,"Via Monte Grappa, 21050, Castelseprio, Varese","{'type': 'Point', 'coordinates': [8.854214112119356, 45.733857292338755]}","Via Montegrappa, Castelseprio, Lombardia",POINT
Via Sant'Alessandro - Albizzate,Albizzate - Cimitero,"Via Sant'Alessandro, 21041, Albizzate, Varese","{'type': 'Point', 'coordinates': [8.802781751238099, 45.72025650607796]}","Via Sant'Alessandro - Albizzate, Albizzate - Cimitero, Lombardia",POINT
Piazza IV Novembre - Albizzate,Albizzate - Municipio,"Albizzate, Varese","{'type': 'Point', 'coordinates': [8.801990000000046, 45.72408000000007]}","Piazza IV Novembre - Albizzate, Albizzate - Municipio, Lombardia",POINT
Via Parini 2 - Albizzate,Albizzate - Scuola,"Via Giuseppe Parini 2, 21041, Albizzate, Varese","{'type': 'Point', 'coordinates': [8.802228577990661, 45.72722021065843]}","Via Parini 2 - Albizzate, Albizzate - Scuola, Lombardia",POINT
Via Dante Alighieri 7 - Albizzate,Albizzate - Scuola Elementare,"Via Dante Alighieri 7, 21041, Albizzate, Varese","{'type': 'Point', 'coordinates': [8.800187137668045, 45.723061612192005]}","Via Dante Alighieri 7 - Albizzate, Albizzate - Scuola Elementare, Lombardia",POINT
Via Cristoforo Colombo 18 Albizzate,Albizzate - Scuola Materna,"Via Cristoforo Colombo 18, 21041, Albizzate, Varese","{'type': 'Point', 'coordinates': [8.807754169715547, 45.73556961226845]}","Via Cristoforo Colombo 18 Albizzate, Albizzate - Scuola Materna, Lombardia",POINT
Via Campagna 23 Albizzate,Albizzate - Scuola Materna,"Via Campagna 23, 21041, Albizzate, Varese","{'type': 'Point', 'coordinates': [8.803417552455445, 45.726752126839415]}","Via Campagna 23 Albizzate, Albizzate - Scuola Materna, Lombardia",POINT
Capronno,Angera - Bacino Capronno - Cameretta tecnica,"Capronno, Angera, Varese","{'type': 'Point', 'coordinates': [8.628610000000037, 45.78195000000005]}","Capronno, Angera - Bacino Capronno - Cameretta tecnica, Lombardia",POINT
Via S. Isidoro - Angera,Angera - Bar Via Isidoro,"Via Sant'Isidoro, 21021, Angera, Varese","{'type': 'Point', 'coordinates': [8.616304736268756, 45.78149359745529]}","Via S. Isidoro - Angera, Angera - Bar Via Isidoro, Lombardia",POINT
Via S. Isidoro 19 - Barzola,Angera - Debatterizzatore - Barzola,"Via Sant'Isidoro 19, 21021, Angera, Varese","{'type': 'Point', 'coordinates': [8.619049272693152, 45.78655262170352]}","Via S. Isidoro 19 - Barzola, Angera - Debatterizzatore - Barzola, Lombardia",POINT
Via Val Castella Sopra Soara Angera,Angera - Debatterizzatore - Sopra Soara,"Angera, Varese","{'type': 'Point', 'coordinates': [8.581120000000055, 45.773610000000076]}","Via Val Castella Sopra Soara Angera, Angera - Debatterizzatore - Sopra Soara, Lombardia",POINT
Via S. Ambrogio Capronno,Angera - debatterizzatore Capronno,"Capronno, Angera, Varese","{'type': 'Point', 'coordinates': [8.628610000000037, 45.78195000000005]}","Via S. Ambrogio Capronno, Angera - debatterizzatore Capronno, Lombardia",POINT
Via Isidoro 7 - Angera,Angera - Fontanella Barzola,"Via Sant'Isidoro 7, 21021, Angera, Varese","{'type': 'Point', 'coordinates': [8.619375713168605, 45.78690027976229]}","Via Isidoro 7 - Angera, Angera - Fontanella Barzola, Lombardia",POINT
Via Monterosa - Angera,Angera - Magazzino Monterosa,"Viale Monte Rosa, 21021, Angera, Varese","{'type': 'Point', 'coordinates': [8.57759229144, 45.775899776070005]}","Via Monterosa - Angera, Angera - Magazzino Monterosa, Lombardia",POINT
Piazza Garibaldi - Angera,Angera - Municipio,"Piazza Giuseppe Garibaldi, 21021, Angera, Varese","{'type': 'Point', 'coordinates': [8.57483965998481, 45.771782103153086]}","Piazza Garibaldi - Angera, Angera - Municipio, Lombardia",POINT
Via Bruschera - Angera,Angera - Parco Giochi Bruschera,"Via Bruschera, 21021, Angera, Varese","{'type': 'Point', 'coordinates': [8.591549966019361, 45.767674112257254]}","Via Bruschera - Angera, Angera - Parco Giochi Bruschera, Lombardia",POINT
Via Roncaccio - Arsago Seprio,Arsago Seprio - Cimitero Roncaccio,"Via Roncaccio, 21010, Arsago Seprio, Varese","{'type': 'Point', 'coordinates': [8.728879315520134, 45.68654530695471]}","Via Roncaccio - Arsago Seprio, Arsago Seprio - Cimitero Roncaccio, Lombardia",POINT
Via A.Camera - Bardello,Bardello - Fontanella,"Via Don Alfredo Camera, 21020, Bardello, Varese","{'type': 'Point', 'coordinates': [8.698853917766318, 45.83858871994096]}","Via A.Camera - Bardello, Bardello - Fontanella, Lombardia",POINT
Via IV Novembre - Bardello,Bardello - Fontanella,"Bardello, Varese","{'type': 'Point', 'coordinates': [8.698240000000055, 45.834760000000074]}","Via IV Novembre - Bardello, Bardello - Fontanella, Lombardia",POINT
Piazza Garibaldi 14 - Bardello,Bardello - Municipio,"Via Giuseppe Garibaldi 14, 21020, Bardello, Varese","{'type': 'Point', 'coordinates': [8.698643936546539, 45.83458259716586]}","Piazza Garibaldi 14 - Bardello, Bardello - Municipio, Lombardia",POINT
Via Boccaccio - Besozzo,Besozzo - Bacino Boccaccio,"Via Boccaccio, 21023, Besozzo, Varese","{'type': 'Point', 'coordinates': [8.675444475510284, 45.84123480181432]}","Via Boccaccio - Besozzo, Besozzo - Bacino Boccaccio, Lombardia",POINT
Besozzo,Besozzo - Bacino Ingorio,"Besozzo, Varese","{'type': 'Point', 'coordinates': [8.666870000000074, 45.84569000000005]}","Besozzo, Besozzo - Bacino Ingorio, Lombardia",POINT
Via Premunera - Besozzo,Besozzo - Bacino Premunera,"Via Premunera, 21023, Besozzo, Varese","{'type': 'Point', 'coordinates': [8.675178114344382, 45.842520236914254]}","Via Premunera - Besozzo, Besozzo - Bacino Premunera, Lombardia",POINT
Via del Pozzo - Besozzo,Besozzo - Bacino Repui,"Via del Pozzo, 21023, Besozzo, Varese","{'type': 'Point', 'coordinates': [8.653742364107481, 45.85963008042231]}","Via del Pozzo - Besozzo, Besozzo - Bacino Repui, Lombardia",POINT
