alias_address,alias_city,georeferencingString,type
Via Sant'Alessandro - Albizzate,Albizzate - Cimitero,"Via Sant'Alessandro - Albizzate, Albizzate - Cimitero, Lombardia",POINT
Piazza IV Novembre - Albizzate,Albizzate - Municipio,"Piazza IV Novembre - Albizzate, Albizzate - Municipio, Lombardia",POINT
Via Parini 2 - Albizzate,Albizzate - Scuola,"Via Parini 2 - Albizzate, Albizzate - Scuola, Lombardia",POINT
Via Dante Alighieri 7 - Albizzate,Albizzate - Scuola Elementare,"Via Dante Alighieri 7 - Albizzate, Albizzate - Scuola Elementare, Lombardia",POINT
Via Cristoforo Colombo 18 Albizzate,Albizzate - Scuola Materna,"Via Cristoforo Colombo 18 Albizzate, Albizzate - Scuola Materna, Lombardia",POINT
Via Campagna 23 Albizzate,Albizzate - Scuola Materna,"Via Campagna 23 Albizzate, Albizzate - Scuola Materna, Lombardia",POINT
Capronno,Angera - Bacino Capronno - Cameretta tecnica,"Capronno, Angera - Bacino Capronno - Cameretta tecnica, Lombardia",POINT
Via S. Isidoro - Angera,Angera - Bar Via Isidoro,"Via S. Isidoro - Angera, Angera - Bar Via Isidoro, Lombardia",POINT
Via S. Isidoro 19 - Barzola,Angera - Debatterizzatore - Barzola,"Via S. Isidoro 19 - Barzola, Angera - Debatterizzatore - Barzola, Lombardia",POINT
Via Val Castella Sopra Soara Angera,Angera - Debatterizzatore - Sopra Soara,"Via Val Castella Sopra Soara Angera, Angera - Debatterizzatore - Sopra Soara, Lombardia",POINT
Via S. Ambrogio Capronno,Angera - debatterizzatore Capronno,"Via S. Ambrogio Capronno, Angera - debatterizzatore Capronno, Lombardia",POINT
Via Isidoro 7 - Angera,Angera - Fontanella Barzola,"Via Isidoro 7 - Angera, Angera - Fontanella Barzola, Lombardia",POINT
Via Monterosa - Angera,Angera - Magazzino Monterosa,"Via Monterosa - Angera, Angera - Magazzino Monterosa, Lombardia",POINT
Piazza Garibaldi - Angera,Angera - Municipio,"Piazza Garibaldi - Angera, Angera - Municipio, Lombardia",POINT
Via Bruschera - Angera,Angera - Parco Giochi Bruschera,"Via Bruschera - Angera, Angera - Parco Giochi Bruschera, Lombardia",POINT
Via Roncaccio - Arsago Seprio,Arsago Seprio - Cimitero Roncaccio,"Via Roncaccio - Arsago Seprio, Arsago Seprio - Cimitero Roncaccio, Lombardia",POINT
Via A.Camera - Bardello,Bardello - Fontanella,"Via A.Camera - Bardello, Bardello - Fontanella, Lombardia",POINT
Via IV Novembre - Bardello,Bardello - Fontanella,"Via IV Novembre - Bardello, Bardello - Fontanella, Lombardia",POINT
Piazza Garibaldi 14 - Bardello,Bardello - Municipio,"Piazza Garibaldi 14 - Bardello, Bardello - Municipio, Lombardia",POINT
Via Boccaccio - Besozzo,Besozzo - Bacino Boccaccio,"Via Boccaccio - Besozzo, Besozzo - Bacino Boccaccio, Lombardia",POINT
Besozzo,Besozzo - Bacino Ingorio,"Besozzo, Besozzo - Bacino Ingorio, Lombardia",POINT
Via Premunera - Besozzo,Besozzo - Bacino Premunera,"Via Premunera - Besozzo, Besozzo - Bacino Premunera, Lombardia",POINT
Via del Pozzo - Besozzo,Besozzo - Bacino Repui,"Via del Pozzo - Besozzo, Besozzo - Bacino Repui, Lombardia",POINT
Via S. Michele - Besozzo,Besozzo - Cimitero Bogno,"Via S. Michele - Besozzo, Besozzo - Cimitero Bogno, Lombardia",POINT
Via Beolchi - Besozzo,Besozzo - Cimitero Cardana,"Via Beolchi - Besozzo, Besozzo - Cimitero Cardana, Lombardia",POINT
Via Gaggio - Besozzo,Besozzo - Cimitero Olginasio,"Via Gaggio - Besozzo, Besozzo - Cimitero Olginasio, Lombardia",POINT
Via Gorini - Besozzo,Besozzo - Valle debatterizzatore,"Via Gorini - Besozzo, Besozzo - Valle debatterizzatore, Lombardia",POINT
Via V. Veneto - Biandronno,Biandronno - Cassinetta Centro Diurno,"Via V. Veneto - Biandronno, Biandronno - Cassinetta Centro Diurno, Lombardia",POINT
Via Rimembranze - Biandronno,Biandronno - Cimitero,"Via Rimembranze - Biandronno, Biandronno - Cimitero, Lombardia",POINT
"Piazza Cavour, 4 - Biandronno",Biandronno - Municipio,"Piazza Cavour, 4 - Biandronno, Biandronno - Municipio, Lombardia",POINT
Via Pasubio - Brebbia,Brebbia - Municipio,"Via Pasubio - Brebbia, Brebbia - Municipio, Lombardia",POINT
"Via Piave, 39 - Bregano",Bregano - Municipio,"Via Piave, 39 - Bregano, Bregano - Municipio, Lombardia",POINT
Via S. Maria 7 - Brunello,Brunello - Cimitero,"Via S. Maria 7 - Brunello, Brunello - Cimitero, Lombardia",POINT
Piazza Ballerio - Brunello,Brunello - Municipio,"Piazza Ballerio - Brunello, Brunello - Municipio, Lombardia",POINT
Via Piermarini - Busto Arsizio,Busto Arsizio,"Via Piermarini - Busto Arsizio, Busto Arsizio, Lombardia",POINT
Via Palermo - Busto Arsizio,Busto Arsizio,"Via Palermo - Busto Arsizio, Busto Arsizio, Lombardia",POINT
Viale Trentino - Busto Arsizio,Busto Arsizio,"Viale Trentino - Busto Arsizio, Busto Arsizio, Lombardia",POINT
Via Lualdi - Busto Arsizio,Busto Arsizio,"Via Lualdi - Busto Arsizio, Busto Arsizio, Lombardia",POINT
Via Azimonti - Busto Arsizio,Busto Arsizio,"Via Azimonti - Busto Arsizio, Busto Arsizio, Lombardia",POINT
Viale dell'Industria/Via Tosi - Busto Arsizio,Busto Arsizio,"Viale dell'Industria/Via Tosi - Busto Arsizio, Busto Arsizio, Lombardia",POINT
Via Stradella - Busto Arsizio,Busto Arsizio,"Via Stradella - Busto Arsizio, Busto Arsizio, Lombardia",POINT
Via Don Guanella - Busto Arsizio,Busto Arsizio,"Via Don Guanella - Busto Arsizio, Busto Arsizio, Lombardia",POINT
Piazza S. Giovanni XXIII - Busto Arsizio,Busto Arsizio,"Piazza S. Giovanni XXIII - Busto Arsizio, Busto Arsizio, Lombardia",POINT
Via B. da Busto - Busto Arsizio,Busto Arsizio,"Via B. da Busto - Busto Arsizio, Busto Arsizio, Lombardia",POINT
Via Matteotti - Cadrezzate,Cadrezzate - rete Matteotti,"Via Matteotti - Cadrezzate, Cadrezzate - rete Matteotti, Lombardia",POINT
Via Guido Rossa - Cairate,Cairate,"Via Guido Rossa - Cairate, Cairate, Lombardia",POINT
Via Cattaneo - Cairate,Cairate,"Via Cattaneo - Cairate, Cairate, Lombardia",POINT
Via Corridoni ang. Via Manzoni - Cairate,Cairate,"Via Corridoni ang. Via Manzoni - Cairate, Cairate, Lombardia",POINT
Via Milano - Cairate,Cairate,"Via Milano - Cairate, Cairate, Lombardia",POINT
Piazza Liberta' - Cairate,Cairate - Municipio,"Piazza Liberta' - Cairate, Cairate - Municipio, Lombardia",POINT
Piazza Mazzini - Cardano al Campo,Cardano al Campo - Municipio,"Piazza Mazzini - Cardano al Campo, Cardano al Campo - Municipio, Lombardia",POINT
Via Roma 6 - Casale Litta,Casale Litta - Municipio,"Via Roma 6 - Casale Litta, Casale Litta - Municipio, Lombardia",POINT
