alias_address,alias_city,urlReport
Via Sant'Alessandro - Albizzate,Albizzate - Cimitero,http://www.alfasii.it/files/pdf/punti_di_prelievo/Albizzate-Cimitero.pdf
Piazza IV Novembre - Albizzate,Albizzate - Municipio,http://www.alfasii.it/files/pdf/punti_di_prelievo/Albizzate-Municipio.pdf
Via Parini 2 - Albizzate,Albizzate - Scuola,https://www.alfasii.it/files/pdf/punti_di_prelievo/Albizzate-Via_Parini_2.pdf
Via Dante Alighieri 7 - Albizzate,Albizzate - Scuola Elementare,https://www.alfasii.it/files/pdf/punti_di_prelievo/Albizzate-Via_Dante_Alighieri.pdf
Via Cristoforo Colombo 18 Albizzate,Albizzate - Scuola Materna,https://www.alfasii.it/files/pdf/punti_di_prelievo/Albizzate-Via_Cristoforo_Colombo.pdf
Via Campagna 23 Albizzate,Albizzate - Scuola Materna,https://www.alfasii.it/files/pdf/punti_di_prelievo/Albizzate-Via_Campagna_.pdf
Capronno,Angera - Bacino Capronno - Cameretta tecnica,http://www.alfasii.it/files/pdf/punti_di_prelievo/Angera-Bacino_Capronno__cameretta_tecnica.pdf
Via S. Isidoro - Angera,Angera - Bar Via Isidoro,http://www.alfasii.it/files/pdf/punti_di_prelievo/Angera_Bar-Via_Isidoro.pdf
Via S. Isidoro 19 - Barzola,Angera - Debatterizzatore - Barzola,https://www.alfasii.it/files/pdf/punti_di_prelievo/Angera-Via_Barzola_.pdf
Via Val Castella Sopra Soara Angera,Angera - Debatterizzatore - Sopra Soara,http://www.alfasii.it/files/pdf/punti_di_prelievo/Angera-Debatterizzatore-Sopra-Soara.pdf
Via S. Ambrogio Capronno,Angera - debatterizzatore Capronno,https://www.alfasii.it/files/pdf/punti_di_prelievo/Angera-Debaterizzatore_Capronno.pdf
Via Isidoro 7 - Angera,Angera - Fontanella Barzola,http://www.alfasii.it/files/pdf/punti_di_prelievo/Angera-Fontanella_Barzola.pdf
