alias_address,alias_city,ammoniaca,arsenico,calcio,cloruro,conducibilita,data_report,durezza,ferro,fluoruri,magnesio,manganese,nitrato,nitrito,ph,potassio,residuo_fisso,sodio,solfato
Piazza Trivulzio,AGRATE BRIANZA,<0.15,<1.0,99.2,25.4,615,16/03/2020,34.6,<30,<0.15,23.9,<5.0,31.2,<0.15,7.4,2.4,440,15.3,27.9
Via S. Paolo,AGRATE BRIANZA,<0.15,<1.0,98.8,25.4,615,16/03/2020,34.3,<30,<0.15,23.3,<5.0,31.2,<0.15,7.4,2.4,440,15.3,27.6
Via S. Domenico Savio,AGRATE BRIANZA,<0.15,<1.0,119.0,27.9,716,16/03/2020,39.8,<30,<0.15,24.4,<5.0,42.0,<0.15,7.3,2.3,512,17.5,33.6
Piazza Trivulzio,AGRATE BRIANZA,<0.15,<1.0,98.1,25.5,615,16/03/2020,34.1,<30,<0.15,23.2,<5.0,29.9,<0.15,7.4,2.4,440,15.5,29.1
Via Fratelli Kennedy,AGRATE BRIANZA,<0.15,<1.0,121.0,28.8,715,16/03/2020,40.0,<30,<0.15,23.8,<5.0,43.3,<0.15,7.3,2.1,511,16.0,36.2
Via Battisti,AGRATE BRIANZA,<0.15,<1.0,123.0,28.1,720,16/03/2020,41.0,76,<0.15,24.9,<5.0,41.2,<0.15,7.3,2.3,515,18.2,35.5
Via Garibaldi,AGRATE BRIANZA,<0.15,<1.0,121.0,32.8,724,16/03/2020,40.3,<30,<0.15,24.5,<5.0,40.2,<0.15,7.3,1.8,518,15.3,33.9
Via Chiesa,AGRATE BRIANZA,<0.15,<1.0,100.0,25.2,614,16/03/2020,34.7,<30,<0.15,23.6,<5.0,31.3,<0.15,7.4,2.4,439,15.3,27.6
Viale Bartolomeo Colleoni,AGRATE BRIANZA,<0.15,<1.0,117.0,51.1,714,16/03/2020,39.8,32,<0.15,25.6,<5.0,23.8,<0.15,7.4,1.5,511,14.3,18.6
Via Don Giovanni Minzoni,AGRATE BRIANZA,<0.15,<1.0,124.0,32.5,708,16/03/2020,41.5,<30,<0.15,25.7,<5.0,39.3,<0.15,7.2,1.7,506,10.8,37.7
"Via Parrocchia, 8",AICURZIO,<0.15,<1.0,72.1,8.4,462,16/03/2020,27.9,<30,<0.15,24.0,<5.0,12.9,<0.15,7.7,1.2,330,6.1,19.4
Str. per Cascina Restelli,AICURZIO,<0.15,<1.0,88.3,14.6,562,16/03/2020,30.9,<30,<0.15,21.6,<5.0,30.8,<0.15,7.5,1.8,402,7.7,27.2
Str. per Castel Negrino e Commenda,AICURZIO,<0.15,<1.0,55.8,6.2,463,16/03/2020,22.9,<30,0.23,21.8,<5.0,7.6,<0.15,7.6,1.1,331,5.2,16.3
"VIA ROMA, n. 2",AICURZIO,<0.15,<1.0,69.8,8.8,462,16/03/2020,26.7,<30,<0.15,22.6,<5.0,14.5,<0.15,7.7,1.2,330,6.1,19.8
"VIA DELLA VITTORIA, n. 11",AICURZIO,<0.15,<1.0,73.4,10.0,472,16/03/2020,27.3,<30,<0.15,21.8,<5.0,17.8,<0.15,7.8,1.2,337,6.6,20.9
VIA DANTE ALIGHERI,ALBIATE,<0.15,<1.0,85.1,15.4,543,16/03/2020,28.5,<30,<0.15,17.5,<5.0,23.4,<0.15,7.5,2.3,388,14.4,23.6
PIAZZA CONCILIAZIONE,ALBIATE,<0.15,<1.0,84.5,14.7,548,16/03/2020,28.3,<30,<0.15,17.5,<5.0,21.8,<0.15,7.5,1.9,392,14.2,22.3
Cascina Canzi,ALBIATE,<0.15,<1.0,83.5,16.3,544,16/03/2020,27.7,<30,<0.15,16.7,<5.0,25.6,<0.15,7.4,2.3,389,14.2,25.2
via Carducci,ALBIATE,<0.15,<1.0,85.9,18.7,546,16/03/2020,28.7,<30,<0.15,17.7,<5.0,19.8,<0.15,7.6,1.9,390,15.5,21.6
via Carducci,ALBIATE,<0.15,<1.0,86.0,18.4,547,16/03/2020,28.8,<30,<0.15,17.7,<5.0,19.3,<0.15,7.4,2.0,391,15.4,20.6
VIA FERRINI,ALBIATE,<0.15,<1.0,107.0,15.2,572,16/03/2020,36.3,<30,<0.15,23.3,<5.0,24.1,<0.15,7.6,1.5,409,13.7,19.7
"Piazza Conte Durini, / Via Tiziano 5, 20862 Arcore MB, Italia",ARCORE,<0.15,<1.0,84.6,40.7,494,16/03/2020,26.8,<30,<0.15,13.8,<5.0,36.4,<0.15,7.6,1.5,353,8.0,18.2
VIA DE GASPERI,ARCORE,<0.15,<1.0,93.0,32.0,574,16/03/2020,31.4,<30,<0.15,19.9,<5.0,33.5,<0.15,7.3,1.3,410,11.7,25.7
VIA ROMA angolo VIA MONTE BIANCO,ARCORE,<0.15,<1.0,74.4,13.4,444,16/03/2020,24.6,<30,<0.15,14.5,<5.0,36.2,<0.15,7.6,1.8,317,7.5,15.8
VIA BUONARROTI,ARCORE,<0.15,<1.0,102.0,28.2,619,16/03/2020,36.5,159,<0.15,26.9,<5.0,39.6,<0.15,7.3,1.5,443,14.9,28.7
VIA FERRINI,ARCORE,<0.15,<1.0,43.3,5.3,334,16/03/2020,18.3,<30,<0.15,18.1,<5.0,<5.0,<0.15,8.0,1.2,239,10.2,13.2
VIA CASATI angolo VIA UMBERTO,ARCORE,<0.15,<1.0,100.0,33.3,656,16/03/2020,34.9,<30,<0.15,24.1,<5.0,38.2,<0.15,7.4,1.8,469,17.7,27.4
PIAZZA CONTE DURINI,ARCORE,<0.15,<1.0,99.4,35.3,587,16/03/2020,31.7,<30,<0.15,16.7,<5.0,36.4,<0.15,7.4,2.0,420,16.9,18.4
