alias_address,alias_city,geocode,geometry,georeferencingString,type
VIA DALLA CHIESA,DESIO,"Via Carlo Alberto dalla Chiesa, 20832, Desio, Monza e Brianza","{'type': 'Point', 'coordinates': [9.20010292325035, 45.6314416896882]}","Via Carlo Alberto dalla Chiesa, 20832, Desio, Monza e Brianza",POINT
Via Leone Tolstoi,LIMBIATE,"Via Lev Tolstoj, 20812, Limbiate, MB","{'type': 'Point', 'coordinates': [9.129952281224272, 45.59025441357108]}",Via Lev Tolstoj 20812 Limbiate MB,POINT
"Piazza Giovanni Paolo II, 24",DESIO,"Via Antonio Gramsci, 20832, Desio, MB","{'type': 'Point', 'coordinates': [9.208720918018388, 45.6196396579922]}","Via Antonio Gramsci, 20832 Desio MB",POINT
VIA BRAMANTE,DESIO,"Via Bramante da Urbino, 20832, Desio, MB","{'type': 'Point', 'coordinates': [9.226168233197829, 45.620728161351764]}","Via Bramante da Urbino, 20832 Desio MB",POINT
Via Tolstoi,DESIO,"Via Lev Tolstoj, 20832, Desio, MB","{'type': 'Point', 'coordinates': [9.202166229345751, 45.62775467747341]}",Via Tolstoi 20832 Desio MB,POINT
Via Giambattista Tiepolo,LIMBIATE,"Via Gian Battista Tiepolo, 20812, Limbiate, MB","{'type': 'Point', 'coordinates': [9.11560950000094, 45.58662899998935]}",Via Gian battista Tiepolo Limbiate MB,POINT
"Via DALLA CHIESA, 32",LISSONE,"Via Damiano Chiesa, 20851, Lissone, Monza e Brianza","{'type': 'Point', 'coordinates': [9.23340569191793, 45.615459035812165]}","Via Damiano Chiesa, 32 LISSONE",POINT
Via Riccardo Wagner,SEREGNO,"Via Richard Wagner, 20831, Seregno, MB","{'type': 'Point', 'coordinates': [9.185541194875055, 45.65610028298101]}",Via Richiard Wagner 20831 Seregno MB,POINT
Via Giovanni Pascoli n.14,GIUSSANO,"Via Giovanni Pascoli 14, 20092, Cinisello Balsamo, Milano","{'type': 'Point', 'coordinates': [9.211434533845118, 45.56197620569543]}","Via Giovanni Pascoli n.14, GIUSSANO, Monza, Lombardia",POINT
Piazza Trivulzio,AGRATE BRIANZA,"Piazza Trivulzio, 20864, Agrate Brianza, Monza e Brianza","{'type': 'Point', 'coordinates': [9.378366612144989, 45.57944031345123]}","Piazza Trivulzio, AGRATE BRIANZA, Monza, Lombardia",POINT
Via S. Paolo,AGRATE BRIANZA,"Via San Paolo, 20864, Agrate Brianza, Monza e Brianza","{'type': 'Point', 'coordinates': [9.349605000000004, 45.576099]}","Via S. Paolo, AGRATE BRIANZA, Monza, Lombardia",POINT
Via S. Domenico Savio,AGRATE BRIANZA,"Via San Domenico Savio, 20864, Agrate Brianza, Monza e Brianza","{'type': 'Point', 'coordinates': [9.346546442983028, 45.57272704172338]}","Via S. Domenico Savio, AGRATE BRIANZA, Monza, Lombardia",POINT
Piazza Trivulzio,AGRATE BRIANZA,"Piazza Trivulzio, 20864, Agrate Brianza, Monza e Brianza","{'type': 'Point', 'coordinates': [9.378366612144989, 45.57944031345123]}","Piazza Trivulzio, AGRATE BRIANZA, Monza, Lombardia",POINT
Via Fratelli Kennedy,AGRATE BRIANZA,"Via Fratelli John e Robert Kennedy, 20864, Agrate Brianza, Monza e Brianza","{'type': 'Point', 'coordinates': [9.351788362584912, 45.58373819349302]}","Via Fratelli Kennedy, AGRATE BRIANZA, Monza, Lombardia",POINT
Via Battisti,AGRATE BRIANZA,"Via Cesare Battisti, 20864, Agrate Brianza, Monza e Brianza","{'type': 'Point', 'coordinates': [9.347700138902166, 45.577307187073195]}","Via Battisti, AGRATE BRIANZA, Monza, Lombardia",POINT
Via Garibaldi,AGRATE BRIANZA,"Via Giuseppe Garibaldi, 20864, Agrate Brianza, Monza e Brianza","{'type': 'Point', 'coordinates': [9.352218517502013, 45.57648639678756]}","Via Garibaldi, AGRATE BRIANZA, Monza, Lombardia",POINT
Via Chiesa,AGRATE BRIANZA,"Via Chiesa, 20875, Burago di Molgora, Monza e Brianza","{'type': 'Point', 'coordinates': [9.37819826775173, 45.59671254644965]}","Via Chiesa, AGRATE BRIANZA, Monza, Lombardia",POINT
Viale Bartolomeo Colleoni,AGRATE BRIANZA,"Viale Gian Bartolomeo Colleoni, 20864, Agrate Brianza, Monza e Brianza","{'type': 'Point', 'coordinates': [9.337141196502628, 45.57548305866418]}","Viale Bartolomeo Colleoni, AGRATE BRIANZA, Monza, Lombardia",POINT
