alias_address,alias_city,georeferencingString,type
Piazza Trivulzio,AGRATE BRIANZA,"Piazza Trivulzio, AGRATE BRIANZA, Monza, Lombardia",POINT
Via S. Paolo,AGRATE BRIANZA,"Via S. Paolo, AGRATE BRIANZA, Monza, Lombardia",POINT
Via S. Domenico Savio,AGRATE BRIANZA,"Via S. Domenico Savio, AGRATE BRIANZA, Monza, Lombardia",POINT
Piazza Trivulzio,AGRATE BRIANZA,"Piazza Trivulzio, AGRATE BRIANZA, Monza, Lombardia",POINT
Via Fratelli Kennedy,AGRATE BRIANZA,"Via Fratelli Kennedy, AGRATE BRIANZA, Monza, Lombardia",POINT
Via Battisti,AGRATE BRIANZA,"Via Battisti, AGRATE BRIANZA, Monza, Lombardia",POINT
Via Garibaldi,AGRATE BRIANZA,"Via Garibaldi, AGRATE BRIANZA, Monza, Lombardia",POINT
Via Chiesa,AGRATE BRIANZA,"Via Chiesa, AGRATE BRIANZA, Monza, Lombardia",POINT
Viale Bartolomeo Colleoni,AGRATE BRIANZA,"Viale Bartolomeo Colleoni, AGRATE BRIANZA, Monza, Lombardia",POINT
Via Don Giovanni Minzoni,AGRATE BRIANZA,"Via Don Giovanni Minzoni, AGRATE BRIANZA, Monza, Lombardia",POINT
"Via Parrocchia, 8",AICURZIO,"Via Parrocchia, 8, AICURZIO, Monza, Lombardia",POINT
Str. per Cascina Restelli,AICURZIO,"Str. per Cascina Restelli, AICURZIO, Monza, Lombardia",POINT
Str. per Castel Negrino e Commenda,AICURZIO,"Str. per Castel Negrino e Commenda, AICURZIO, Monza, Lombardia",POINT
"VIA ROMA, n. 2",AICURZIO,"VIA ROMA, n. 2, AICURZIO, Monza, Lombardia",POINT
"VIA DELLA VITTORIA, n. 11",AICURZIO,"VIA DELLA VITTORIA, n. 11, AICURZIO, Monza, Lombardia",POINT
VIA DANTE ALIGHERI,ALBIATE,"VIA DANTE ALIGHERI, ALBIATE, Monza, Lombardia",POINT
PIAZZA CONCILIAZIONE,ALBIATE,"PIAZZA CONCILIAZIONE, ALBIATE, Monza, Lombardia",POINT
Cascina Canzi,ALBIATE,"Cascina Canzi, ALBIATE, Monza, Lombardia",POINT
via Carducci,ALBIATE,"via Carducci, ALBIATE, Monza, Lombardia",POINT
via Carducci,ALBIATE,"via Carducci, ALBIATE, Monza, Lombardia",POINT
VIA FERRINI,ALBIATE,"VIA FERRINI, ALBIATE, Monza, Lombardia",POINT
"Piazza Conte Durini, / Via Tiziano 5, 20862 Arcore MB, Italia",ARCORE,"Piazza Conte Durini, / Via Tiziano 5, 20862 Arcore MB, Italia, ARCORE, Monza, Lombardia",POINT
VIA DE GASPERI,ARCORE,"VIA DE GASPERI, ARCORE, Monza, Lombardia",POINT
VIA ROMA angolo VIA MONTE BIANCO,ARCORE,"VIA ROMA angolo VIA MONTE BIANCO, ARCORE, Monza, Lombardia",POINT
VIA BUONARROTI,ARCORE,"VIA BUONARROTI, ARCORE, Monza, Lombardia",POINT
VIA FERRINI,ARCORE,"VIA FERRINI, ARCORE, Monza, Lombardia",POINT
VIA CASATI angolo VIA UMBERTO,ARCORE,"VIA CASATI angolo VIA UMBERTO, ARCORE, Monza, Lombardia",POINT
PIAZZA CONTE DURINI,ARCORE,"PIAZZA CONTE DURINI, ARCORE, Monza, Lombardia",POINT
Via San Martino,ARCORE,"Via San Martino, ARCORE, Monza, Lombardia",POINT
Via del Bruno,ARCORE,"Via del Bruno, ARCORE, Monza, Lombardia",POINT
Via Grandi angolo via Gilera,ARCORE,"Via Grandi angolo via Gilera, ARCORE, Monza, Lombardia",POINT
Via Piave,BARLASSINA,"Via Piave, BARLASSINA, Monza, Lombardia",POINT
Via Paganini,BARLASSINA,"Via Paganini, BARLASSINA, Monza, Lombardia",POINT
Via Longoni,BARLASSINA,"Via Longoni, BARLASSINA, Monza, Lombardia",POINT
"Piazza Cavour, 3",BARLASSINA,"Piazza Cavour, 3, BARLASSINA, Monza, Lombardia",POINT
Via Tiziano Vecellio,BARLASSINA,"Via Tiziano Vecellio, BARLASSINA, Monza, Lombardia",POINT
"Piazza Fumagalli, 6",BELLUSCO,"Piazza Fumagalli, 6, BELLUSCO, Monza, Lombardia",POINT
Via Dolomiti,BELLUSCO,"Via Dolomiti, BELLUSCO, Monza, Lombardia",POINT
VIA CASCINA SAN NAZZARO,BELLUSCO,"VIA CASCINA SAN NAZZARO, BELLUSCO, Monza, Lombardia",POINT
"Via Giovanni Pascoli, 9",BELLUSCO,"Via Giovanni Pascoli, 9, BELLUSCO, Monza, Lombardia",POINT
Via Vittorio Emanuele II,BERNAREGGIO,"Via Vittorio Emanuele II, BERNAREGGIO, Monza, Lombardia",POINT
Via Giovanni XXIII 20881 Bernareggio MB,BERNAREGGIO,"Via Giovanni XXIII 20881 Bernareggio MB, BERNAREGGIO, Monza, Lombardia",POINT
Via Obizzone 20881 Bernareggio MB,BERNAREGGIO,"Via Obizzone 20881 Bernareggio MB, BERNAREGGIO, Monza, Lombardia",POINT
Via Franzolino Prinetti,BERNAREGGIO,"Via Franzolino Prinetti, BERNAREGGIO, Monza, Lombardia",POINT
Via Bachelet,BERNAREGGIO,"Via Bachelet, BERNAREGGIO, Monza, Lombardia",POINT
"Via Obizzone da Bernareggio, 35",BERNAREGGIO,"Via Obizzone da Bernareggio, 35, BERNAREGGIO, Monza, Lombardia",POINT
"Via Morselli, 1",BERNAREGGIO,"Via Morselli, 1, BERNAREGGIO, Monza, Lombardia",POINT
Via Isonzo 20842 Vergo-Zoccorino MB,BESANA IN BRIANZA,"Via Isonzo 20842 Vergo-Zoccorino MB, BESANA IN BRIANZA, Monza, Lombardia",POINT
"Viale John e Robert Kennedy, 5",BESANA IN BRIANZA,"Viale John e Robert Kennedy, 5, BESANA IN BRIANZA, Monza, Lombardia",POINT
Via delle Rose,BESANA IN BRIANZA,"Via delle Rose, BESANA IN BRIANZA, Monza, Lombardia",POINT
Via Vicinale del Brusignone,BESANA IN BRIANZA,"Via Vicinale del Brusignone, BESANA IN BRIANZA, Monza, Lombardia",POINT
"Via Giacomo Matteotti, 62",BESANA IN BRIANZA,"Via Giacomo Matteotti, 62, BESANA IN BRIANZA, Monza, Lombardia",POINT
"Via B. Angelico, 16",BESANA IN BRIANZA,"Via B. Angelico, 16, BESANA IN BRIANZA, Monza, Lombardia",POINT
"Via Leonardo da Vinci, 5",BESANA IN BRIANZA,"Via Leonardo da Vinci, 5, BESANA IN BRIANZA, Monza, Lombardia",POINT
Via Grandi,BIASSONO,"Via Grandi, BIASSONO, Monza, Lombardia",POINT
Via Cesana & Villa,BIASSONO,"Via Cesana & Villa, BIASSONO, Monza, Lombardia",POINT
VIA LOCATELLI,BIASSONO,"VIA LOCATELLI, BIASSONO, Monza, Lombardia",POINT
VIA PORTA MUGNAIA,BIASSONO,"VIA PORTA MUGNAIA, BIASSONO, Monza, Lombardia",POINT
VIA PO,BIASSONO,"VIA PO, BIASSONO, Monza, Lombardia",POINT
PIAZZA ITALIA,BIASSONO,"PIAZZA ITALIA, BIASSONO, Monza, Lombardia",POINT
PIAZZA ITALIA,BIASSONO,"PIAZZA ITALIA, BIASSONO, Monza, Lombardia",POINT
"VIA LOCATELLI, 94",BIASSONO,"VIA LOCATELLI, 94, BIASSONO, Monza, Lombardia",POINT
Via Peregallo 20836 Briosco MB,BRIOSCO,"Via Peregallo 20836 Briosco MB, BRIOSCO, Monza, Lombardia",POINT
"Via XI Febbraio, 32",BRIOSCO,"Via XI Febbraio, 32, BRIOSCO, Monza, Lombardia",POINT
Via Trivulzio Capriano,BRIOSCO,"Via Trivulzio Capriano, BRIOSCO, Monza, Lombardia",POINT
"Via Roma, 4",BRIOSCO,"Via Roma, 4, BRIOSCO, Monza, Lombardia",POINT
"Via XXV Aprile, 57",BRUGHERIO,"Via XXV Aprile, 57, BRUGHERIO, Monza, Lombardia",POINT
Piazza Palmiro Togliatti,BRUGHERIO,"Piazza Palmiro Togliatti, BRUGHERIO, Monza, Lombardia",POINT
Via Montello,BRUGHERIO,"Via Montello, BRUGHERIO, Monza, Lombardia",POINT
"Viale Lombardia, 301-297 20861 Brugherio MB",BRUGHERIO,"Viale Lombardia, 301-297 20861 Brugherio MB, BRUGHERIO, Monza, Lombardia",POINT
"Via S. Francesco D'assisi, Brugherio",BRUGHERIO,"Via S. Francesco D'assisi, Brugherio, BRUGHERIO, Monza, Lombardia",POINT
