alias_address,alias_city,geocode,geometry,georeferencingString,tyoe
Territorio comunale,ABBIATEGRASSO,"Abbiategrasso, Milano, Lombardia, Italia","{'type': 'Point', 'coordinates': [8.9162299, 45.398733]}",ABBIATEGRASSO MI,POINT
Territorio comunale,ALBAIRATE,"Albairate, Milano, Lombardia, 20081, Italia","{'type': 'Point', 'coordinates': [8.9381357, 45.4211259]}",ALBAIRATE MI,POINT
Territorio comunale,ARCONATE,"Arconate, Milano, Lombardia, Italia","{'type': 'Point', 'coordinates': [8.8481616, 45.5406637]}",ARCONATE MI,POINT
Territorio comunale,ARESE,"Arese, Milano, Lombardia, Italia","{'type': 'Point', 'coordinates': [9.0778949, 45.5490397]}",ARESE MI,POINT
Territorio comunale,ARLUNO,"Arluno, Milano, Lombardia, 20010, Italia","{'type': 'Point', 'coordinates': [8.941541, 45.50507]}",ARLUNO MI,POINT
Territorio comunale,ASSAGO,"Assago, Milano, Lombardia, Italia","{'type': 'Point', 'coordinates': [9.125647, 45.408869]}",ASSAGO MI,POINT
Territorio comunale,BARANZATE,"Baranzate, Milano, Lombardia, Italia","{'type': 'Point', 'coordinates': [9.117601, 45.5272224]}",BARANZATE MI,POINT
Territorio comunale,BAREGGIO,"Bareggio, Milano, Lombardia, Italia","{'type': 'Point', 'coordinates': [8.9959733, 45.4777256]}",BAREGGIO MI,POINT
Territorio comunale,BASIANO,"Basiano, Unione Comuni Basiano Masate, Milano, Lombardia, Italia","{'type': 'Point', 'coordinates': [9.4678537, 45.5735877]}",BASIANO MI,POINT
Territorio comunale,BASIGLIO,"Basiglio, Milano, Lombardia, Italia","{'type': 'Point', 'coordinates': [9.164589, 45.349152]}",BASIGLIO MI,POINT
Territorio comunale,BELLINZAGO LOMBARDO,"Bellinzago Lombardo, Milano, Lombardia, Italia","{'type': 'Point', 'coordinates': [9.445951, 45.542075]}",BELLINZAGO LOMBARDO MI,POINT
Territorio comunale,BERNATE TICINO,"Bernate Ticino, Milano, Lombardia, Italia","{'type': 'Point', 'coordinates': [8.8180386, 45.4793424]}",BERNATE TICINO MI,POINT
Territorio comunale,BESATE,"Besate, Milano, Lombardia, Italia","{'type': 'Point', 'coordinates': [8.969645, 45.312965]}",BESATE MI,POINT
Territorio comunale,BINASCO,"Binasco, Milano, Lombardia, Italia","{'type': 'Point', 'coordinates': [9.0999868, 45.3319695]}",BINASCO MI,POINT
Territorio comunale,BOFFALORA SOPRA TICINO,"Boffalora sopra Ticino, Milano, Lombardia, Italia","{'type': 'Point', 'coordinates': [8.8306079, 45.4672778]}",BOFFALORA SOPRA TICINO MI,POINT
Territorio comunale,BOLLATE,"Bollate, Milano, Lombardia, 20021, Italia","{'type': 'Point', 'coordinates': [9.1177075, 45.543835]}",BOLLATE MI,POINT
Territorio comunale,BRESSO,"Bresso, Milano, Lombardia, 20091, Italia","{'type': 'Point', 'coordinates': [9.1877303, 45.53668]}",BRESSO MI,POINT
Territorio comunale,BUBBIANO,"Bubbiano, Milano, Lombardia, Italia","{'type': 'Point', 'coordinates': [9.014546, 45.327266]}",BUBBIANO MI,POINT
Territorio comunale,BUCCINASCO,"Buccinasco, Milano, Lombardia, Italia","{'type': 'Point', 'coordinates': [9.1097883, 45.4171504]}",BUCCINASCO MI,POINT
Territorio comunale,BUSCATE,"Buscate, Milano, Lombardia, Italia","{'type': 'Point', 'coordinates': [8.8129426, 45.5449159]}",BUSCATE MI,POINT
